period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs
2020,0.0,84.76089996548166,11.778221696017395,51.29396479695401,14.5800529978,160.69917850424815,0.35064,542.068769005046,32.82867,14.388414789181034,-0.41283835301720084,27.621726610310343,trd_cut90_vestas2_1axis
2030,0.0,65.54320922780813,11.660088553642124,43.44294406750429,0.0,164.14200617207052,0.35064,639.7920013960708,32.82867,128.6603273397937,-0.6200525896209872,169.45624680023556,trd_cut90_vestas2_1axis
2040,0.0,54.67945001844607,0.0,47.27174819062415,0.0,118.2537204640731,2.10384,763.5246294233098,32.82867,269.66084792911875,-0.5844938336542589,372.78699259870626,trd_cut90_vestas2_1axis
2050,-31.746307623318657,29.82497520031211,0.0,180.0432636288613,0.0,24.25450789743971,2.10384,783.7845532599159,32.82867,406.69323723400197,-0.6726808409125272,878.697997707491,trd_cut90_vestas2_1axis
2020,0.0,84.76089996548166,11.778221696017367,51.251182718250014,14.580052997800001,160.69917850424815,0.35064,542.4783646237499,32.82867,14.348175777181034,-0.4556204317212008,27.295152082310345,trd_cut90_vestas7_1axis
2030,0.0,66.44107035763422,13.459953835232382,44.970126245562476,0.0,160.85354353872944,0.35064,637.7636291321943,32.82867,215.98417974842187,-0.5803485976157455,84.7117988854034,trd_cut90_vestas7_1axis
2040,-0.08760030050448268,55.11570478123342,0.0,49.18287266238079,0.0,119.07895043285097,2.10384,765.0847613396594,32.82867,334.33839974078114,-0.6009250070101658,305.3177107186424,trd_cut90_vestas7_1axis
2050,-32.844446386734006,42.48690214919707,0.0,209.83826852858843,0.0034874999999999997,24.234255281288622,2.10384,806.9861755666245,50.01814549564126,421.28628318966696,-0.6995295509497824,811.3957127589636,trd_cut90_vestas7_1axis
2020,0.0,84.76089996548167,11.778221696017422,51.29254377569954,14.580052997800001,160.69917850424815,0.35064,542.0701900263005,32.82867,14.388414789181034,-0.41425937427165965,27.621726610310343,trd_cut90_vestas3_1axis
2030,0.0,65.47760561117958,14.045337397044495,46.41578194844616,0.0,160.26059988944345,0.35064,635.6179316207838,32.82867,260.2977999599987,-0.6012263299966931,43.53577875154648,trd_cut90_vestas3_1axis
2040,-2.8432145933443356,56.197674449924634,0.0,51.5762797786598,0.0,119.61354561509155,2.10384,770.9891792685805,32.82867,372.21780959076136,-0.6357908337755959,260.37544627095485,trd_cut90_vestas3_1axis
2050,-37.560910305719844,95.31693937158565,0.0,145.54561829562792,0.0,24.236677677207677,2.10384,794.4612827331341,120.05037,456.83008593181177,-0.6730910354032525,665.9731711323618,trd_cut90_vestas3_1axis
2020,0.0,84.76089996548166,11.778221696017269,51.25061440279401,14.5800529978,160.69917850424815,0.35064,542.440851751206,32.82867,14.353472961181033,-0.4561887471772007,27.327936086310345,trd_cut90_siemens36_1axis
2030,0.0,65.82359138970037,14.038159199676027,45.62592752585492,0.0,159.6398156707205,0.35064,635.7239914290286,32.82867,239.50560847685009,-0.597773471809249,64.50043420583322,trd_cut90_siemens36_1axis
2040,-0.20370759140318956,55.55898706114677,0.0,49.708637241785425,0.0,118.61473127264176,2.10384,776.4796068903566,32.82867,349.3002048306312,-0.6511393679218953,279.0500453991848,trd_cut90_siemens36_1axis
2050,-35.29790597540046,44.648442800876396,0.0,207.76216385078448,0.0034874999999999997,24.233054667263392,2.10384,800.6000454681486,83.33324245835743,446.61579499823284,-0.681356500491999,757.6041572745739,trd_cut90_siemens36_1axis
2020,0.0,84.76089996548166,11.778221696017338,51.251449967850014,14.5800529978,160.69917850424815,0.35064,542.4678192881499,32.82867,14.354357953181035,-0.4553531821212008,27.299247992310345,trd_cut90_siemens23_1axis
2030,0.0,66.25835666344835,12.902113566744196,44.6225615203407,0.0,162.18418329449457,0.35064,635.8282067866011,32.82867,201.9684865337221,-0.5781631591690022,100.07064321415841,trd_cut90_siemens23_1axis
2040,-0.0916720410898351,54.9960063845376,0.0,48.91035493708678,0.0,118.58110878962951,2.10384,765.7918279956848,32.82867,323.29919177857903,-0.5929506807327205,316.2600431578128,trd_cut90_siemens23_1axis
2050,-33.91949137471824,38.15788083627011,0.0,207.06884512825218,0.0034874999999999997,24.234615045341158,2.10384,800.4152530689857,39.3006471232865,443.6436002771847,-0.7015849462069053,811.3005618489356,trd_cut90_siemens23_1axis
2020,0.0,84.76089996548167,11.778221696017432,51.24969846825,14.580052997800001,160.69917850424815,0.35064,542.50221021575,32.82867,14.349692065181035,-0.4571046817212009,27.271274452310344,trd_cut90_ge25_1axis
2030,0.0,65.37018787452087,12.15327068988956,43.8915164236871,0.0,163.1486494845488,0.35064,638.58735048545,32.82867,152.8596954297752,-0.585063416279604,147.0997363520947,trd_cut90_ge25_1axis
2040,-0.0061889549842204525,54.99513209270249,0.0,48.253462075951234,0.0,116.82885942421535,2.10384,763.5826415008441,32.82867,292.8412090740421,-0.584075629843101,350.6583307615244,trd_cut90_ge25_1axis
2050,-31.75113615848182,30.065880458309646,0.0,188.43728755692308,0.00290625,24.241688409872275,2.10384,788.6955461543416,32.82867,414.5769744931247,-0.6985846802935319,865.7621578636254,trd_cut90_ge25_1axis
2020,0.0,84.76089996548166,11.778221696017344,51.250599368250015,14.580052997800001,160.69917850424815,0.35064,542.48400500675,32.82867,14.351568188181034,-0.4562037817212009,27.286702638310345,trd_cut90_ge15_1axis
2030,0.0,65.26588599619608,13.281443974898114,44.75458255317656,0.0,160.64577238516173,0.35064,641.4675683103058,32.82867,196.98867511065313,-0.5399854384357919,101.52446656122083,trd_cut90_ge15_1axis
