period,Scenario,trade
2030,Trade Emission cut 90% Enercon E126 7000 Single-Axis,3.59627
2030,Trade Emission cut 90% GE 1.5sle Fixed,4.22593
2030,Trade Emission cut 90% GE 1.5sle Single-Axis,3.24953
2030,Trade Emission cut 90% GE 2.5xl Fixed,4.1484
2030,Trade Emission cut 90% GE 2.5xl Single-Axis,3.65095
2030,Trade Emission cut 90% Gamesa G80 2000 Fixed,3.80957
2030,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,3.62748
2030,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,4.22925
2030,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,3.39652
2030,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,3.88832
2030,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,3.57658
2030,Trade Emission cut 90% Vestas V164 7000 Fixed,3.928
2030,Trade Emission cut 90% Vestas V164 7000 Single-Axis,3.36821
2030,Trade Emission cut 90% Vestas V90 2000 Fixed,3.98733
2030,Trade Emission cut 90% Vestas V90 2000 Single-Axis,3.8087
2030,Trade Emission cut 90% Vestas V90 3000 Fixed,3.73004
2030,Trade Emission cut 90% Vestas V90 3000 Single-Axis,3.53823
2030,Trade Enercon E101 3000 Fixed,4.46214
2030,Trade Enercon E101 3000 Single-Axis,3.96262
2030,Trade Enercon E126 7000 Fixed,4.35372
2030,Trade Enercon E126 7000 Single-Axis,3.8561
2030,Trade GE 1.5sle Fixed,4.58838
2030,Trade GE 1.5sle Single-Axis,4.01418
2030,Trade GE 2.5xl Fixed,4.40635
2030,Trade GE 2.5xl Single-Axis,3.92131
2030,Trade Gamesa G80 2000 Fixed,4.38288
2030,Trade Gamesa G80 2000 Single-Axis,3.82034
2030,Trade Siemens SWT 2.3 93 Fixed,4.56345
2030,Trade Siemens SWT 2.3 93 Single-Axis,3.96426
2030,Trade Siemens SWT 3.6 107 Fixed,4.30387
2030,Trade Siemens SWT 3.6 107 Single-Axis,4.00432
2030,Trade Vestas V164 7000 Fixed,4.59965
2030,Trade Vestas V164 7000 Single-Axis,4.01517
2030,Trade Vestas V90 2000 Fixed,4.40509
2030,Trade Vestas V90 2000 Single-Axis,4.11222
2030,Trade Vestas V90 3000 Fixed,4.37928
2030,Trade Vestas V90 3000 Single-Axis,3.96464
2030,Vestas V90 2000 Single-Axis,39.32455
2035,Emission cut 90% Vestas V90 2000 Single-Axis,33.87625
2035,Trade Emission cut 90% Enercon E101 3000 Fixed,3.81586
2035,Trade Emission cut 90% Enercon E101 3000 Single-Axis,4.07977
2035,Trade Emission cut 90% Enercon E126 7000 Fixed,4.1164
2035,Trade Emission cut 90% Enercon E126 7000 Single-Axis,3.98544
2035,Trade Emission cut 90% GE 1.5sle Fixed,3.87721
2035,Trade Emission cut 90% GE 1.5sle Single-Axis,4.19486
2035,Trade Emission cut 90% GE 2.5xl Fixed,3.89433
2035,Trade Emission cut 90% GE 2.5xl Single-Axis,4.19822
2035,Trade Emission cut 90% Gamesa G80 2000 Fixed,4.14441
2035,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,4.16682
2035,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,3.75569
2035,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,4.1088
2035,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,4.12032
2035,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,4.23161
2035,Trade Emission cut 90% Vestas V164 7000 Fixed,3.64639
2035,Trade Emission cut 90% Vestas V164 7000 Single-Axis,4.04523
2035,Trade Emission cut 90% Vestas V90 2000 Fixed,3.65548
2035,Trade Emission cut 90% Vestas V90 2000 Single-Axis,4.18229
2035,Trade Emission cut 90% Vestas V90 3000 Fixed,4.14843
2035,Trade Emission cut 90% Vestas V90 3000 Single-Axis,4.06287
2035,Trade Enercon E101 3000 Fixed,3.50821
2035,Trade Enercon E101 3000 Single-Axis,3.65348
2035,Trade Enercon E126 7000 Fixed,4.30137
2035,Trade Enercon E126 7000 Single-Axis,3.99741
2035,Trade GE 1.5sle Fixed,3.77755
2035,Trade GE 1.5sle Single-Axis,3.94301
2035,Trade GE 2.5xl Fixed,3.6655
2035,Trade GE 2.5xl Single-Axis,3.87022
2035,Trade Gamesa G80 2000 Fixed,4.36433
2035,Trade Gamesa G80 2000 Single-Axis,3.93561
2035,Trade Siemens SWT 2.3 93 Fixed,3.77224
2035,Trade Siemens SWT 2.3 93 Single-Axis,3.88285
2035,Trade Siemens SWT 3.6 107 Fixed,3.9925
2035,Trade Siemens SWT 3.6 107 Single-Axis,3.92974
2035,Trade Vestas V164 7000 Fixed,3.74947
2035,Trade Vestas V164 7000 Single-Axis,3.92602
2035,Trade Vestas V90 2000 Fixed,3.55746
2035,Trade Vestas V90 2000 Single-Axis,3.67784
2035,Trade Vestas V90 3000 Fixed,4.22971
2035,Trade Vestas V90 3000 Single-Axis,3.87328
2035,Vestas V90 2000 Single-Axis,33.17288
2040,Emission cut 90% Vestas V90 2000 Single-Axis,36.10162
2040,Trade Emission cut 90% Enercon E101 3000 Fixed,3.2479
2040,Trade Emission cut 90% Enercon E101 3000 Single-Axis,3.45504
2040,Trade Emission cut 90% Enercon E126 7000 Fixed,3.21837
2040,Trade Emission cut 90% Enercon E126 7000 Single-Axis,3.86152
2040,Trade Emission cut 90% GE 1.5sle Fixed,3.11455
2040,Trade Emission cut 90% GE 1.5sle Single-Axis,3.49914
2040,Trade Emission cut 90% GE 2.5xl Fixed,3.01203
2040,Trade Emission cut 90% GE 2.5xl Single-Axis,3.54247
2040,Trade Emission cut 90% Gamesa G80 2000 Fixed,3.39618
2040,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,3.91507
2040,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,3.26443
2040,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,3.51526
2040,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,3.38699
2040,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,3.74252
2040,Trade Emission cut 90% Vestas V164 7000 Fixed,3.31341
2040,Trade Emission cut 90% Vestas V164 7000 Single-Axis,3.57681
2040,Trade Emission cut 90% Vestas V90 2000 Fixed,3.15847
2040,Trade Emission cut 90% Vestas V90 2000 Single-Axis,3.4099
2040,Trade Emission cut 90% Vestas V90 3000 Fixed,3.36277
2040,Trade Emission cut 90% Vestas V90 3000 Single-Axis,3.87677
2040,Trade Enercon E101 3000 Fixed,3.7243
2040,Trade Enercon E101 3000 Single-Axis,3.74826
2040,Trade Enercon E126 7000 Fixed,4.00999
2040,Trade Enercon E126 7000 Single-Axis,4.36923
2040,Trade GE 1.5sle Fixed,3.67588
2040,Trade GE 1.5sle Single-Axis,3.8215
2040,Trade GE 2.5xl Fixed,3.75278
2040,Trade GE 2.5xl Single-Axis,3.70529
2040,Trade Gamesa G80 2000 Fixed,3.90362
2040,Trade Gamesa G80 2000 Single-Axis,4.33977
2040,Trade Siemens SWT 2.3 93 Fixed,3.62943
2040,Trade Siemens SWT 2.3 93 Single-Axis,3.83285
2040,Trade Siemens SWT 3.6 107 Fixed,3.50981
2040,Trade Siemens SWT 3.6 107 Single-Axis,4.2197
2040,Trade Vestas V164 7000 Fixed,3.67794
2040,Trade Vestas V164 7000 Single-Axis,4.03256
2040,Trade Vestas V90 2000 Fixed,3.73051
2040,Trade Vestas V90 2000 Single-Axis,3.64803
2040,Trade Vestas V90 3000 Fixed,4.39995
2040,Trade Vestas V90 3000 Single-Axis,4.57458
2040,Vestas V90 2000 Single-Axis,23.72687
2045,Emission cut 90% Vestas V90 2000 Single-Axis,59.92102
2045,Trade Emission cut 90% Enercon E101 3000 Fixed,3.54271
2045,Trade Emission cut 90% Enercon E101 3000 Single-Axis,3.607
2045,Trade Emission cut 90% Enercon E126 7000 Fixed,3.3109
2045,Trade Emission cut 90% Enercon E126 7000 Single-Axis,3.54676
2045,Trade Emission cut 90% GE 1.5sle Fixed,3.37676
2045,Trade Emission cut 90% GE 1.5sle Single-Axis,3.46576
2045,Trade Emission cut 90% GE 2.5xl Fixed,3.22861
2045,Trade Emission cut 90% GE 2.5xl Single-Axis,3.44277
2045,Trade Emission cut 90% Gamesa G80 2000 Fixed,3.52923
2045,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,3.39538
2045,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,3.2439
