period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2040,0.0,81.71,11.93,16.93,0.0,486.2,0.35,732.24,32.83,238.8,-0.61,29.82,trd_enercon7_1axis,498.13,1115.74,268.61,1613.86,0.45,0.3,0.15,0.02,0.69,0.17,0.31
2050,-2.25,81.54,10.3,2.35,0.02,778.91,0.35,777.31,32.83,339.85,-0.58,132.15,trd_enercon7_1axis,789.23,1364.04,472.01,2153.26,0.36,0.36,0.16,0.06,0.63,0.22,0.37
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_enercon3_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,69.2,17.65,42.78,0.0,199.71,0.35,633.49,32.83,113.37,-0.59,145.8,trd_enercon3_1axis,217.36,995.04,259.17,1212.4,0.52,0.16,0.09,0.12,0.82,0.21,0.18
2040,0.0,80.81,9.77,18.77,0.0,415.28,0.35,747.17,32.83,155.99,-0.56,171.61,trd_enercon3_1axis,425.05,1188.76,327.6,1613.81,0.46,0.26,0.1,0.11,0.74,0.2,0.26
2050,-1.33,74.51,2.81,2.96,0.02,562.9,0.35,771.73,32.83,288.14,-0.51,419.77,trd_enercon3_1axis,565.72,1587.33,707.9,2153.05,0.36,0.26,0.13,0.19,0.74,0.33,0.26
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_vestas2_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,76.37,19.79,40.37,0.0,213.38,0.35,638.78,32.83,14.76,-0.61,216.16,trd_vestas2_fixed,233.17,979.25,230.92,1212.42,0.53,0.18,0.01,0.18,0.81,0.19,0.19
2040,0.0,82.27,11.2,15.19,0.0,450.5,0.35,730.1,32.83,18.35,-0.54,288.2,trd_vestas2_fixed,461.7,1152.09,306.55,1613.79,0.45,0.28,0.01,0.18,0.71,0.19,0.29
2050,-1.48,82.21,7.39,2.59,0.02,752.61,0.35,771.81,32.83,52.79,-0.55,453.1,trd_vestas2_fixed,760.02,1393.09,505.89,2153.11,0.36,0.35,0.02,0.21,0.65,0.23,0.35
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_vestas7_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,85.55,21.65,37.01,0.0,261.53,0.35,639.29,32.83,31.75,-0.64,139.5,trd_vestas7_fixed,283.18,929.27,171.25,1212.45,0.53,0.22,0.03,0.12,0.77,0.14,0.23
2040,0.0,88.99,12.61,15.2,0.0,555.53,0.35,699.59,32.83,57.17,-0.54,166.72,trd_vestas7_fixed,568.15,1045.65,223.89,1613.8,0.43,0.34,0.04,0.1,0.65,0.14,0.35
2050,-1.3,82.31,13.4,1.08,0.02,814.86,0.35,777.45,32.83,166.45,-0.57,265.44,trd_vestas7_fixed,828.28,1324.82,431.88,2153.1,0.36,0.38,0.08,0.12,0.62,0.2,0.38
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_vestas3_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,85.92,21.69,37.01,0.0,312.36,0.35,640.95,32.83,72.32,-0.59,45.98,trd_vestas3_fixed,334.05,878.35,118.3,1212.4,0.53,0.26,0.06,0.04,0.72,0.1,0.28
2040,0.0,88.37,13.14,15.19,0.0,573.88,0.35,698.83,32.83,149.36,-0.59,57.08,trd_vestas3_fixed,587.02,1026.82,206.44,1613.84,0.43,0.36,0.09,0.04,0.64,0.13,0.36
2050,-1.26,82.84,16.27,0.93,0.02,883.0,0.35,777.48,32.83,214.44,-0.62,145.92,trd_vestas3_fixed,899.29,1253.86,360.35,2153.15,0.36,0.41,0.1,0.07,0.58,0.17,0.42
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_siemens36_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,85.92,22.63,37.01,0.0,273.67,0.35,639.29,32.83,49.94,-0.59,107.78,trd_siemens36_fixed,296.3,916.1,157.71,1212.4,0.53,0.23,0.04,0.09,0.76,0.13,0.24
2040,0.0,88.99,12.98,15.2,0.0,556.76,0.35,699.59,32.83,87.7,-0.51,134.57,trd_siemens36_fixed,569.74,1044.02,222.27,1613.76,0.43,0.35,0.05,0.08,0.65,0.14,0.35
2050,-1.13,82.65,12.82,0.95,0.02,813.46,0.35,777.48,32.83,182.73,-0.6,250.77,trd_siemens36_fixed,826.3,1326.81,433.5,2153.12,0.36,0.38,0.08,0.12,0.62,0.2,0.38
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_siemens23_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,84.86,21.3,37.52,0.0,252.63,0.35,638.87,32.83,24.89,-0.63,156.72,trd_siemens23_fixed,273.93,938.52,181.61,1212.44,0.53,0.21,0.02,0.13,0.77,0.15,0.23
2040,0.0,88.46,11.57,15.2,0.0,546.39,0.35,699.59,32.83,52.45,-0.51,182.12,trd_siemens23_fixed,557.96,1055.81,234.57,1613.77,0.43,0.34,0.03,0.11,0.65,0.15,0.35
2050,-1.27,82.29,10.66,1.1,0.02,801.62,0.35,777.43,32.83,154.42,-0.57,293.48,trd_siemens23_fixed,812.3,1340.79,447.9,2153.1,0.36,0.37,0.07,0.14,0.62,0.21,0.38
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_ge25_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,81.52,20.57,38.46,0.0,237.34,0.35,638.22,32.83,17.64,-0.61,183.95,trd_ge25_fixed,257.91,954.51,201.59,1212.42,0.53,0.2,0.01,0.15,0.79,0.17,0.21
2040,0.0,82.99,11.54,15.19,0.0,453.38,0.35,729.94,32.83,30.67,-0.54,272.1,trd_ge25_fixed,464.92,1148.88,302.77,1613.8,0.45,0.28,0.02,0.17,0.71,0.19,0.29
2050,-1.51,82.24,6.19,2.55,0.02,746.12,0.35,772.18,32.83,105.83,-0.56,407.37,trd_ge25_fixed,752.33,1400.79,513.19,2153.13,0.36,0.35,0.05,0.19,0.65,0.24,0.35
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_ge15_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,84.93,21.28,37.35,0.0,253.54,0.35,639.28,32.83,19.7,-0.64,160.54,trd_ge15_fixed,274.83,937.62,180.24,1212.45,0.53,0.21,0.02,0.13,0.77,0.15,0.23
2040,0.0,88.46,11.46,15.19,0.0,546.02,0.35,699.59,32.83,50.44,-0.52,184.62,trd_ge15_fixed,557.48,1056.29,235.06,1613.77,0.43,0.34,0.03,0.11,0.65,0.15,0.35
2050,-1.27,82.27,8.02,1.09,0.02,774.82,0.35,777.42,32.83,151.32,-0.56,326.05,trd_ge15_fixed,782.86,1370.24,477.37,2153.09,0.36,0.36,0.07,0.15,0.64,0.22,0.36
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_gamesa2_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,85.92,21.93,37.01,0.0,302.57,0.35,639.29,32.83,60.75,-0.6,68.78,trd_gamesa2_fixed,324.5,887.91,129.53,1212.41,0.53,0.25,0.05,0.06,0.73,0.11,0.27
2040,0.0,88.93,12.89,15.19,0.0,568.03,0.35,699.59,32.83,124.89,-0.54,86.27,trd_gamesa2_fixed,580.92,1032.87,211.16,1613.79,0.43,0.35,0.08,0.05,0.64,0.13,0.36
2050,-1.16,82.79,14.49,0.94,0.02,864.23,0.35,777.48,32.83,204.41,-0.6,176.52,trd_gamesa2_fixed,878.74,1274.38,380.93,2153.12,0.36,0.4,0.09,0.08,0.59,0.18,0.41
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_enercon7_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,85.92,21.95,37.01,0.0,304.24,0.35,639.29,32.83,65.32,-0.59,62.5,trd_enercon7_fixed,326.19,886.22,127.83,1212.41,0.53,0.25,0.05,0.05,0.73,0.11,0.27
2040,0.0,88.79,13.07,15.19,0.0,569.74,0.35,699.59,32.83,137.44,-0.55,71.98,trd_enercon7_fixed,582.82,1030.99,209.43,1613.8,0.43,0.35,0.09,0.04,0.64,0.13,0.36
2050,-1.2,82.83,15.12,0.93,0.02,869.7,0.35,777.48,32.83,205.99,-0.61,168.8,trd_enercon7_fixed,884.85,1268.29,374.8,2153.13,0.36,0.4,0.1,0.08,0.59,0.17,0.41
2020,0.0,83.11,19.35,51.25,11.41,162.37,0.35,542.45,32.83,14.35,-0.47,27.32,trd_enercon3_fixed,193.13,700.41,41.67,893.54,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,75.32,18.7,40.07,0.0,210.91,0.35,632.91,32.83,14.39,-0.62,227.02,trd_enercon3_fixed,229.62,982.82,241.41,1212.44,0.52,0.17,0.01,0.19,0.81,0.2,0.19
2040,0.0,82.02,11.3,15.19,0.0,446.71,0.35,730.66,32.83,14.96,-0.54,294.96,trd_enercon3_fixed,458.01,1155.78,309.92,1613.79,0.45,0.28,0.01,0.18,0.72,0.19,0.28
2050,-1.43,82.2,8.43,2.63,0.02,694.83,0.35,771.81,32.83,42.51,-0.56,520.13,trd_enercon3_fixed,703.27,1449.84,562.64,2153.11,0.36,0.32,0.02,0.24,0.67,0.26,0.33
