period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2040,-0.06,54.71,0.0,48.46,0.0,117.8,2.1,766.9,32.83,316.27,-0.59,323.25,trd_cut90_ge15_1axis,117.8,1496.05,639.52,1613.85,0.48,0.07,0.2,0.2,0.93,0.4,0.07
2050,-33.04,34.24,0.0,204.05,0.0,24.24,2.1,804.29,32.83,414.81,-0.72,846.6,trd_cut90_ge15_1axis,24.25,2134.87,1261.4,2159.12,0.37,0.01,0.19,0.39,0.99,0.58,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.54,32.83,14.35,-0.46,27.23,trd_cut90_gamesa2_1axis,187.06,702.06,41.58,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,65.34,14.04,46.18,0.0,159.87,0.35,637.8,32.83,250.54,-0.61,51.65,trd_cut90_gamesa2_1axis,173.91,1038.51,302.19,1212.42,0.53,0.13,0.21,0.04,0.86,0.25,0.14
2040,-0.63,55.75,0.0,50.52,0.0,119.2,2.1,774.04,32.83,358.48,-0.64,271.59,trd_cut90_gamesa2_1axis,119.2,1494.79,630.08,1614.0,0.48,0.07,0.22,0.17,0.93,0.39,0.07
2050,-34.82,71.4,0.0,164.95,0.0,24.24,2.1,799.63,120.05,443.7,-0.66,697.47,trd_cut90_gamesa2_1axis,24.24,2134.35,1141.16,2158.58,0.37,0.01,0.21,0.32,0.99,0.53,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.44,32.83,14.35,-0.46,27.33,trd_cut90_enercon7_1axis,187.06,702.06,41.68,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,65.71,13.76,46.18,0.0,161.41,0.35,635.4,32.83,257.38,-0.63,45.6,trd_cut90_enercon7_1axis,175.18,1037.26,302.98,1212.44,0.52,0.13,0.21,0.04,0.86,0.25,0.14
2040,-0.86,55.84,0.0,51.56,0.0,119.52,2.1,773.35,32.83,364.22,-0.67,266.21,trd_cut90_enercon7_1axis,119.52,1494.54,630.43,1614.06,0.48,0.07,0.23,0.16,0.93,0.39,0.07
2050,-35.15,51.57,0.0,177.72,0.0,24.24,2.1,800.1,120.05,443.54,-0.7,717.38,trd_cut90_enercon7_1axis,24.24,2134.74,1160.92,2158.98,0.37,0.01,0.21,0.33,0.99,0.54,0.01
