period,load_zone,tot_imp_twh,tot_exp_twh_excl_loss,net_imp_twh,Scenario
2025,Uruguay,1.4582851377224144,0.17490125928998906,1.1846006745716886,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2030,Argentina,0.6314868936407941,1.130629847400627,-0.6318479137153771,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2030,Brazil,0.7074710497608938,2.130093280597298,-1.7585421692727048,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2030,Chile,0.00376316325,0.0018001170000000002,0.0018821632499999997,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2030,Paraguay,0.0,0.00780834,-0.0087726,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2030,Uruguay,2.0254924075699297,0.09788192922369299,1.816931922122336,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2035,Argentina,0.3863860199396591,1.5650340679664005,-1.3763454383986042,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2035,Brazil,0.9977904741720363,2.1282331243921013,-1.4611173673785387,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2035,Chile,0.003358113,0.0026205052500000003,0.0006198629999999996,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2035,Paraguay,0.0,0.0078048475,-0.0087691075,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2035,Uruguay,2.657694361051733,0.34153642305492693,2.183386132989728,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2040,Argentina,0.47366780939285114,1.3772881306116147,-1.0669977623198625,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2040,Brazil,0.9507754628201674,1.9391480793724325,-1.2950171786619797,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2040,Chile,0.005367813,0.00180215,0.0034779,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2040,Paraguay,0.00033018999999999995,0.00745109,-0.00806481,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2040,Uruguay,2.1466711442150266,0.25112296944399864,1.7656768439716757,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2045,Argentina,0.6466167728238694,1.34708686261598,-0.8777803579568089,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2045,Brazil,1.0366919528990333,1.9485905952537632,-1.2325819814745484,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2045,Chile,0.00530584725,0.0030490545,0.0021115924999999995,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2045,Paraguay,0.00205946,0.00570488,-0.00439595,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2045,Uruguay,1.9011159873085683,0.28735862791172784,1.449204290999282,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2050,Argentina,0.5345353790145833,1.6884140626842972,-1.373687331101028,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2050,Brazil,1.1946668772392077,1.722511949730861,-0.8121288381402199,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2050,Chile,0.0058295655,0.0018368782500000002,0.00389656075,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2050,Paraguay,0.00451497,0.00315947,0.0009360699999999998,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2050,Uruguay,2.0238668678351686,0.3474912989238021,1.481453987541465,Trade Emission cut 90% Vestas V164 7000 Single-Axis
2020,Argentina,1.3214105607779991,0.3849988657345001,0.8543417567185017,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2020,Brazil,1.15188081928,0.6514967719786094,0.3803264018733379,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2020,Chile,0.006447309,0.0,0.006447309,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2020,Paraguay,0.0,0.008606582500000001,-0.009570842500000001,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2020,Uruguay,0.16002967379765679,1.5946661426425464,-1.6458039993634992,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2025,Argentina,0.8530797621149998,1.1112199595956496,-0.38121404039886075,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2025,Brazil,0.7138228025551343,1.6735033354137936,-1.2287453288827024,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2025,Chile,0.003647127,0.00192476625,0.001635877,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2025,Paraguay,0.0,0.00784893,-0.00881319,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2025,Uruguay,1.4714944460130173,0.24754714642370818,1.099530998413794,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2030,Argentina,0.9541351456858214,1.1158877357609476,-0.2926831778071708,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2030,Brazil,0.8028651609174275,2.075772841505876,-1.6098526366994026,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2030,Chile,0.00396891825,0.002732235,0.00111391825,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2030,Paraguay,0.0,0.00774834,-0.008706,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2030,Uruguay,1.7772643882709596,0.33609246085738476,1.3089015662598804,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2035,Argentina,0.4843186109716105,1.3673201353648277,-1.0485149381679106,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2035,Brazil,0.759876507361332,2.3217298067853207,-1.9279644505445919,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2035,Chile,0.004720881,0.00255963325,0.0020462979999999998,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2035,Paraguay,0.00016376,0.0075294,-0.00829624,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2035,Uruguay,2.8137934953287767,0.3637342792615709,2.356646784248245,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2040,Argentina,0.5212254413109135,1.5181834419362135,-1.1801005683661683,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2040,Brazil,0.8910423394949907,2.160284780398439,-1.6069417920510836,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2040,Chile,0.0056405579999999995,0.0023457525,0.0031880579999999993,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2040,Paraguay,5.34e-05,0.00684766,-0.0076406,Trade Emission cut 90% Vestas V90 3000 Single-Axis
2040,Uruguay,2.4588091163269534,0.18910922029820554,2.155704068641656,Trade Emission cut 90% Vestas V90 3000 Single-Axis
