,lz_from,lz_to,period,transmission_flow_mw,transmission_losses_lz_from,transmission_losses_lz_to,tx_flow_twh,tx_loss_from_twh,tx_loss_to_twh,net_flow_twh,scenario
3,Argentina,Brazil,2035,10350.0,1436.400000000001,3609.9000000000115,0.3140999999999999,0.043715699999999975,0.10967670000000003,0.24813899999999994,trd_cut90_vestas7_1axis
4,Argentina,Brazil,2040,6120.0,1530.9000000000015,2778.3000000000075,0.18953999999999943,0.04656960000000001,0.0851823,0.15092729999999988,trd_cut90_vestas7_1axis
5,Argentina,Brazil,2045,2848.1580081642833,2400.3000000000056,3111.8131817145086,0.0838247402449286,0.073521,0.09460179545143509,0.06274394479349353,trd_cut90_vestas7_1axis
6,Argentina,Brazil,2050,9720.0,1852.200000000003,3969.000000000013,0.29177999999999915,0.05683229999999999,0.12044969999999998,0.22816260000000016,trd_cut90_vestas7_1axis
7,Argentina,Chile,2020,221.0,0.0,9.502999999999993,0.006736999999999986,0.0,0.0002896910000000002,0.006447309000000004,trd_cut90_vestas7_1axis
8,Argentina,Chile,2025,68.0,2.408,5.33200000000001,0.0021160000000000024,7.288500000000002e-05,0.00016387300000000014,0.002025012,trd_cut90_vestas7_1axis
9,Argentina,Chile,2030,67.0,2.666000000000001,5.54700000000001,0.00205125,8.088299999999999e-05,0.00016908674999999994,0.0019630462500000007,trd_cut90_vestas7_1axis
10,Argentina,Chile,2035,26.0,3.870000000000005,4.988000000000008,0.0007707500000000002,0.00011774474999999983,0.00015088700000000018,0.0007376077499999999,trd_cut90_vestas7_1axis
11,Argentina,Chile,2040,122.0,2.8810000000000016,8.041000000000018,0.003723000000000009,8.776299999999997e-05,0.00024510000000000065,0.0035656630000000015,trd_cut90_vestas7_1axis
12,Argentina,Chile,2045,77.0,4.773000000000008,7.912000000000019,0.002352500000000002,0.00014520024999999993,0.00024090750000000044,0.002256792750000001,trd_cut90_vestas7_1axis
13,Argentina,Chile,2050,138.0,3.1390000000000025,8.729000000000006,0.004161000000000005,9.612649999999993e-05,0.00026443925000000013,0.0039926872500000024,trd_cut90_vestas7_1axis
14,Argentina,Paraguay,2020,-288.0,31.67999999999989,26.509999999999916,-0.00876599999999999,0.000964260000000004,0.0008048425000000028,-0.008606582499999993,trd_cut90_vestas7_1axis
15,Argentina,Paraguay,2025,-288.0,31.67999999999989,1.2100000000000002,-0.008765999999999982,0.0009642600000000052,3.718e-05,-0.007838920000000024,trd_cut90_vestas7_1axis
16,Argentina,Paraguay,2030,-288.0,31.67999999999989,0.22,-0.008765999999999984,0.000964260000000004,6.5999999999999995e-06,-0.007808340000000029,trd_cut90_vestas7_1axis
17,Argentina,Paraguay,2035,-288.0,31.67999999999989,0.11,-0.008765999999999994,0.000964260000000004,3.1075e-06,-0.007804847500000022,trd_cut90_vestas7_1axis
18,Argentina,Paraguay,2040,-264.0,31.019999999999893,1.3200000000000003,-0.008023999999999974,0.000943910000000005,4.081000000000001e-05,-0.007120900000000027,trd_cut90_vestas7_1axis
19,Argentina,Paraguay,2045,-138.0,24.749999999999925,8.360000000000008,-0.004138000000000006,0.0007505300000000025,0.00025794999999999995,-0.00364542,trd_cut90_vestas7_1axis
20,Argentina,Paraguay,2050,50.0,13.74999999999998,18.699999999999957,0.0015039999999999997,0.00041943000000000123,0.0005679300000000018,0.001355500000000001,trd_cut90_vestas7_1axis
21,Argentina,Uruguay,2020,-34885.93411785977,2651.5417247923615,669.2410071314757,-1.0589700765171097,0.08040765979860962,0.02013315482499734,-0.9986955715434966,trd_cut90_vestas7_1axis
22,Argentina,Uruguay,2025,3760.523563849533,1366.7407982173177,1611.1748298675395,0.1344090110754141,0.04075437966873684,0.04949096538863871,0.12567242535551212,trd_cut90_vestas7_1axis
23,Argentina,Uruguay,2030,15863.82121152441,975.5121255492377,2006.6605042983301,0.48533780482334976,0.029880515892026425,0.061427473205544106,0.4537908475098323,trd_cut90_vestas7_1axis
24,Argentina,Uruguay,2035,33120.60727499903,759.0362152332724,2896.8606881082087,1.0022736232906315,0.023169360357971833,0.08786669587186297,0.9375762877767395,trd_cut90_vestas7_1axis
25,Argentina,Uruguay,2040,26373.87297547152,888.072414371192,2546.069899582782,0.806954894347322,0.02720259497253866,0.07790923110109872,0.7562482582187624,trd_cut90_vestas7_1axis
26,Argentina,Uruguay,2045,22665.737020234155,1295.861612466924,2709.074518782144,0.681569975666969,0.03975441179491042,0.0822096152132635,0.6391147722486165,trd_cut90_vestas7_1axis
27,Argentina,Uruguay,2050,32538.377140580087,1206.1668788079137,3246.0863929456145,0.9818936913579818,0.037000783243045336,0.0985265781813143,0.9203678964197118,trd_cut90_vestas7_1axis
28,Brazil,Paraguay,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas7_1axis
29,Brazil,Paraguay,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas7_1axis
30,Brazil,Paraguay,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas7_1axis
31,Brazil,Paraguay,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas7_1axis
32,Brazil,Paraguay,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas7_1axis
33,Brazil,Paraguay,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas7_1axis
34,Brazil,Paraguay,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas7_1axis
35,Brazil,Uruguay,2020,-2400.805630579963,3789.4667974193458,3718.4055583051204,-0.08084667414379655,0.1161678707200003,0.11290675287759407,-0.07758555630139043,trd_cut90_vestas7_1axis
36,Brazil,Uruguay,2025,43270.82475705604,1924.052857393546,6946.915682830054,1.3099052417120542,0.05802882419199994,0.21022261282714313,1.157711453076912,trd_cut90_vestas7_1axis
37,Brazil,Uruguay,2030,54656.303535565494,2658.975503814681,9173.702356367061,1.6736023289408308,0.08079804033187439,0.2805807384363006,1.4738196308364042,trd_cut90_vestas7_1axis
38,Brazil,Uruguay,2035,50483.42308714767,3624.743303972469,9364.701459127364,1.555938222729434,0.10960244464910629,0.2869590171584735,1.3785816502200672,trd_cut90_vestas7_1axis
39,Brazil,Uruguay,2040,42208.240687441015,3372.865744040433,8491.36055203289,1.2967061428351645,0.10266873582681381,0.26007496210971476,1.1392999165522617,trd_cut90_vestas7_1axis
40,Brazil,Uruguay,2045,35494.06042323051,4119.984549649903,8065.4642838234195,1.097006269665396,0.12479865660264815,0.24716233911981844,0.9746425871482203,trd_cut90_vestas7_1axis
41,Brazil,Uruguay,2050,26599.432998241184,5203.106606412861,7419.994030187737,0.8255383400133628,0.15792079812685605,0.2274514656485667,0.7560076724916518,trd_cut90_vestas7_1axis
0,Argentina,Brazil,2020,2160.0,1814.4000000000028,2268.000000000005,0.07073999999999998,0.05454539999999999,0.0694008,0.05588460000000006,trd_cut90_vestas3_1axis
1,Argentina,Brazil,2025,630.0,1814.4000000000028,1984.5000000000036,0.02700000000000001,0.05409179999999993,0.060895800000000014,0.020195999999999978,trd_cut90_vestas3_1axis
2,Argentina,Brazil,2030,270.0,2230.200000000005,2305.800000000005,0.014309999999999996,0.0669816,0.07055369999999998,0.010737900000000012,trd_cut90_vestas3_1axis
3,Argentina,Brazil,2035,6941.194449785657,1471.8491655450134,2816.1000000000076,0.21454702794335517,0.04475792413189534,0.08633519999999997,0.1729697520752505,trd_cut90_vestas3_1axis
4,Argentina,Brazil,2040,6306.690447866608,1570.4351294388123,3080.700000000009,0.19640740388386427,0.04773848901260314,0.09468900000000002,0.14945689289646788,trd_cut90_vestas3_1axis
5,Argentina,Brazil,2045,6259.310780827209,1688.038643729529,3485.9201326168427,0.18884691346149837,0.051548359311885804,0.10602232411112192,0.1343729486622623,trd_cut90_vestas3_1axis
6,Argentina,Brazil,2050,12425.729826385677,1644.300000000002,4063.5000000000136,0.37529762461795496,0.05038740000000001,0.12336029999999995,0.30232472461795584,trd_cut90_vestas3_1axis
7,Argentina,Chile,2020,221.0,0.0,9.502999999999993,0.006736999999999986,0.0,0.0002896910000000002,0.006447309000000004,trd_cut90_vestas3_1axis
8,Argentina,Chile,2025,57.0,2.8810000000000016,5.33200000000001,0.0017997500000000004,8.648374999999998e-05,0.00016387300000000014,0.0017223607499999994,trd_cut90_vestas3_1axis
9,Argentina,Chile,2030,42.0,4.042000000000005,5.848000000000011,0.00129225,0.0001227649999999999,0.00017833175,0.0012366832500000004,trd_cut90_vestas3_1axis
10,Argentina,Chile,2035,74.0,3.7840000000000047,7.009000000000015,0.0022597500000000026,0.00011494974999999982,0.0002134520000000006,0.002161247749999998,trd_cut90_vestas3_1axis
11,Argentina,Chile,2040,112.0,3.526000000000004,8.299000000000014,0.003441500000000012,0.00010674749999999991,0.0002534420000000007,0.003294805500000005,trd_cut90_vestas3_1axis
12,Argentina,Chile,2045,37.0,5.117000000000009,6.837000000000015,0.0011435000000000004,0.0001554772499999999,0.00020864675000000022,0.0010903305000000004,trd_cut90_vestas3_1axis
13,Argentina,Chile,2050,118.0,3.870000000000005,8.901000000000003,0.003569750000000008,0.00011833599999999986,0.00027020125000000006,0.003417884750000001,trd_cut90_vestas3_1axis
14,Argentina,Paraguay,2020,-288.0,31.67999999999989,26.509999999999916,-0.00876599999999999,0.000964260000000004,0.0008048425000000028,-0.008606582499999993,trd_cut90_vestas3_1axis
15,Argentina,Paraguay,2025,-288.0,31.67999999999989,1.5400000000000005,-0.008765999999999982,0.0009642600000000052,4.719000000000001e-05,-0.007848930000000023,trd_cut90_vestas3_1axis
16,Argentina,Paraguay,2030,-286.0,31.45999999999989,0.0,-0.008705999999999983,0.000957660000000004,0.0,-0.007748340000000029,trd_cut90_vestas3_1axis
17,Argentina,Paraguay,2035,-272.0,30.579999999999895,0.66,-0.008275999999999985,0.0009306000000000038,2.024e-05,-0.007365640000000016,trd_cut90_vestas3_1axis
18,Argentina,Paraguay,2040,-251.0,27.82999999999991,0.22,-0.007633999999999976,0.0008463400000000043,6.5999999999999995e-06,-0.006794260000000023,trd_cut90_vestas3_1axis
19,Argentina,Paraguay,2045,-138.0,22.659999999999936,7.480000000000008,-0.004165500000000007,0.0006875825000000023,0.00022937749999999985,-0.003707295000000003,trd_cut90_vestas3_1axis
20,Argentina,Paraguay,2050,43.0,14.299999999999978,18.589999999999957,0.0012800000000000003,0.00043714000000000133,0.0005636400000000018,0.0011534999999999994,trd_cut90_vestas3_1axis
21,Argentina,Uruguay,2020,-34885.93411785978,2651.541724792363,383.956007131476,-1.05897007651711,0.08040765979860964,0.011574604824997328,-0.9901370215434975,trd_cut90_vestas3_1axis
22,Argentina,Uruguay,2025,7955.058191787877,1503.679952806453,2020.7587352726687,0.2610382531878607,0.04499949346099999,0.06196697991821088,0.24407076673064967,trd_cut90_vestas3_1axis
23,Argentina,Uruguay,2030,5129.961144148714,1632.1879637899835,1965.6354381596518,0.16847737628355744,0.049247526523613264,0.060198555982044426,0.15752634682512628,trd_cut90_vestas3_1axis
24,Argentina,Uruguay,2035,24708.4315210858,975.7873874767897,2581.835436347368,0.764958464778572,0.029222221564086253,0.0789445217746935,0.7152361645679652,trd_cut90_vestas3_1axis
25,Argentina,Uruguay,2040,29489.90293516948,960.2956266395637,2877.361476401284,0.9101683948204031,0.029025693149295328,0.08819352574086833,0.8510005622288304,trd_cut90_vestas3_1axis
26,Argentina,Uruguay,2045,33586.87733155249,749.0851050866133,2947.2471316375245,1.0176164428519694,0.02301989486964981,0.08963042865502797,0.9510059090665908,trd_cut90_vestas3_1axis
27,Argentina,Uruguay,2050,33053.11710291634,1191.568934942369,3229.356164351666,0.9973886301904052,0.03656326198321346,0.09800794109490188,0.935943951078716,trd_cut90_vestas3_1axis
28,Brazil,Paraguay,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas3_1axis
29,Brazil,Paraguay,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas3_1axis
30,Brazil,Paraguay,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas3_1axis
31,Brazil,Paraguay,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas3_1axis
32,Brazil,Paraguay,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas3_1axis
33,Brazil,Paraguay,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas3_1axis
34,Brazil,Paraguay,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas3_1axis
35,Brazil,Uruguay,2020,-16697.48557889799,4275.866797419348,2138.5886433204128,-0.5097470725933377,0.1307598707200003,0.06551224542805276,-0.44449944730139085,trd_cut90_vestas3_1axis
36,Brazil,Uruguay,2025,36890.86336337304,2618.2063256167376,7099.596836128491,1.115432721168186,0.0794168077145152,0.214972996024043,0.9798765328586578,trd_cut90_vestas3_1axis
37,Brazil,Uruguay,2030,48322.80437023659,2727.528245653814,8869.69721891077,1.4705861020693205,0.08302283463008119,0.2699633561109543,1.2836455805884486,trd_cut90_vestas3_1axis
38,Brazil,Uruguay,2035,65442.79840317895,2095.929073014531,10545.567268621417,1.9919860682330734,0.06419021025487436,0.32135322698870755,1.73482305149924,trd_cut90_vestas3_1axis
39,Brazil,Uruguay,2040,53152.17117910121,2772.353413996753,9481.111324921705,1.6236900616971524,0.08497013423779691,0.28996086213503197,1.418699333799914,trd_cut90_vestas3_1axis
40,Brazil,Uruguay,2045,31728.247709219264,3563.677562013915,7349.898805460829,0.9799202532771942,0.10828805882287025,0.22528774287902312,0.862920569221039,trd_cut90_vestas3_1axis
41,Brazil,Uruguay,2050,21517.098884332885,4670.821936496365,7235.570593690979,0.6699898912140617,0.14171189449986857,0.22167092057526863,0.5900308651386612,trd_cut90_vestas3_1axis
0,Argentina,Brazil,2020,2160.0,1814.4000000000028,2268.000000000005,0.07073999999999998,0.05454539999999999,0.0694008,0.05588460000000006,trd_cut90_siemens36_1axis
1,Argentina,Brazil,2025,-1530.0,1814.4000000000028,1493.1000000000013,-0.039959999999999954,0.05409179999999993,0.04570020000000002,-0.031568399999999906,trd_cut90_siemens36_1axis
2,Argentina,Brazil,2030,2430.0,1776.6000000000026,2286.900000000005,0.07524,0.05418630000000002,0.06998669999999999,0.059439600000000016,trd_cut90_siemens36_1axis
3,Argentina,Brazil,2035,2340.0,2249.100000000005,2853.900000000008,0.07776000000000001,0.06764309999999996,0.08741249999999996,0.05799060000000003,trd_cut90_siemens36_1axis
4,Argentina,Brazil,2040,4212.138235875467,1960.5423228154464,2845.0913523492986,0.13025823125333338,0.05985071200727874,0.08714824057047874,0.10296070269013338,trd_cut90_siemens36_1axis
5,Argentina,Brazil,2045,270.0,2759.4000000000074,2835.0000000000077,0.00414000000000018,0.08457750000000001,0.08597610000000007,0.002741400000000035,trd_cut90_siemens36_1axis
6,Argentina,Brazil,2050,11651.465295574035,1618.613180645156,3996.6077120705604,0.3516554241627941,0.049506058599999785,0.12130553907418688,0.2798559436886079,trd_cut90_siemens36_1axis
7,Argentina,Chile,2020,221.0,0.0,9.502999999999993,0.006736999999999986,0.0,0.0002896910000000002,0.006447309000000004,trd_cut90_siemens36_1axis
8,Argentina,Chile,2025,66.0,2.494,5.33200000000001,0.002054000000000002,7.555100000000001e-05,0.00016387300000000014,0.0019656779999999998,trd_cut90_siemens36_1axis
9,Argentina,Chile,2030,59.0,3.3970000000000034,5.934000000000012,0.0018022499999999998,0.00010358699999999993,0.00018104075000000003,0.0017247962499999992,trd_cut90_siemens36_1axis
10,Argentina,Chile,2035,78.0,3.9990000000000054,7.525000000000017,0.002386750000000002,0.00012152874999999981,0.00022949100000000064,0.0022787877499999974,trd_cut90_siemens36_1axis
11,Argentina,Chile,2040,138.0,2.8380000000000014,8.944000000000003,0.004226750000000009,8.592474999999998e-05,0.0002728457500000008,0.004039829000000003,trd_cut90_siemens36_1axis
12,Argentina,Chile,2045,85.0,4.945000000000008,8.342000000000013,0.002603500000000005,0.0001501022499999999,0.0002539150000000005,0.0024996872500000016,trd_cut90_siemens36_1axis
13,Argentina,Chile,2050,160.0,2.666000000000001,9.545999999999992,0.004861,8.108724999999998e-05,0.00029018549999999983,0.004651901750000019,trd_cut90_siemens36_1axis
14,Argentina,Paraguay,2020,-288.0,31.67999999999989,26.509999999999916,-0.00876599999999999,0.000964260000000004,0.0008048425000000028,-0.008606582499999993,trd_cut90_siemens36_1axis
15,Argentina,Paraguay,2025,-288.0,31.67999999999989,1.5400000000000005,-0.008765999999999982,0.0009642600000000052,4.719000000000001e-05,-0.007848930000000023,trd_cut90_siemens36_1axis
16,Argentina,Paraguay,2030,-286.0,31.56999999999989,0.11,-0.008703999999999983,0.000960850000000004,3.41e-06,-0.007746560000000029,trd_cut90_siemens36_1axis
17,Argentina,Paraguay,2035,-282.0,31.34999999999989,0.33,-0.00858399999999999,0.0009542500000000039,1.001e-05,-0.007639760000000019,trd_cut90_siemens36_1axis
18,Argentina,Paraguay,2040,-278.0,31.129999999999892,0.77,-0.008461999999999971,0.0009475400000000051,2.3429999999999998e-05,-0.007537890000000025,trd_cut90_siemens36_1axis
19,Argentina,Paraguay,2045,-118.0,22.659999999999936,10.01,-0.003550000000000009,0.000687610000000002,0.0003072300000000003,-0.0031696199999999993,trd_cut90_siemens36_1axis
20,Argentina,Paraguay,2050,67.0,12.209999999999988,19.359999999999953,0.002028500000000001,0.0003720475000000009,0.0005885825000000018,0.0018119650000000007,trd_cut90_siemens36_1axis
21,Argentina,Uruguay,2020,-34885.93411785975,2651.5417247923606,729.3010071314757,-1.058970076517109,0.08040765979860957,0.021934954824997348,-1.0004973715434964,trd_cut90_siemens36_1axis
22,Argentina,Uruguay,2025,7820.09403875448,1355.1202609269951,1863.4263734460399,0.26025569579746727,0.04039414301273685,0.057310763239572134,0.24333907557063186,trd_cut90_siemens36_1axis
23,Argentina,Uruguay,2030,14634.575504317387,1109.0937823626687,2045.3261901433048,0.46276461765369237,0.033057528776771004,0.06267176392426098,0.4331503825062021,trd_cut90_siemens36_1axis
24,Argentina,Uruguay,2035,20665.514422559314,1322.5464675903077,2680.819905056662,0.64184712287305,0.03976111444920581,0.08194664243595416,0.5996615948863018,trd_cut90_siemens36_1axis
25,Argentina,Uruguay,2040,23514.733365033662,1087.7543851046835,2541.4652591196605,0.7247421446682802,0.03295399901145641,0.07779013277881597,0.6799060109009208,trd_cut90_siemens36_1axis
26,Argentina,Uruguay,2045,23102.85660885628,1392.9597794127756,2669.420458988433,0.6995451529508929,0.042583128955075995,0.08123675389688413,0.6608915280090852,trd_cut90_siemens36_1axis
27,Argentina,Uruguay,2050,37692.08847082918,976.6764855200332,3456.6922361239235,1.140272742595704,0.029920364801121105,0.10501031431984197,1.0651827930769802,trd_cut90_siemens36_1axis
28,Brazil,Paraguay,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_siemens36_1axis
29,Brazil,Paraguay,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_siemens36_1axis
30,Brazil,Paraguay,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_siemens36_1axis
31,Brazil,Paraguay,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_siemens36_1axis
32,Brazil,Paraguay,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_siemens36_1axis
33,Brazil,Paraguay,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_siemens36_1axis
34,Brazil,Paraguay,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_siemens36_1axis
