index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_wind_vestas_v90_2mw_100m
60,-41.25,-69.25,p_wind_Argentina_AR200,Argentina,732,0.08,133.401802,0.5167809653916243
61,-43.25,-69.25,p_wind_Argentina_AR204,Argentina,501,0.06,18.17050807,0.5656366120218552
62,-43.75,-69.25,p_wind_Argentina_AR205,Argentina,183,0.08,72.20959144,0.6088746584699444
63,-44.25,-69.25,p_wind_Argentina_AR206,Argentina,342,0.08,125.9671844,0.6335796903460821
64,-44.75,-69.25,p_wind_Argentina_AR207,Argentina,498,0.08,114.2050419,0.6433175091074664
65,-45.25,-69.25,p_wind_Argentina_AR208,Argentina,312,0.08,61.12862316,0.6225225409836024
66,-45.75,-69.25,p_wind_Argentina_AR209,Argentina,408,0.1,24.59839249,0.607321038251367
67,-46.25,-69.25,p_wind_Argentina_AR210,Argentina,498,0.12,1.500585535,0.5955787795992733
68,-46.75,-69.25,p_wind_Argentina_AR211,Argentina,294,0.14,18.63054534,0.572578324225866
69,-47.25,-69.25,p_wind_Argentina_AR212,Argentina,324,0.16,70.58234636,0.6083892304189455
70,-47.75,-69.25,p_wind_Argentina_AR213,Argentina,363,0.19,108.9835494,0.6701961520947195
71,-48.25,-69.25,p_wind_Argentina_AR214,Argentina,585,0.2,83.76694881,0.6847611566484504
72,-48.75,-69.25,p_wind_Argentina_AR215,Argentina,867,0.2,61.25668969,0.6698438069216744
73,-49.25,-69.25,p_wind_Argentina_AR216,Argentina,1008,0.23,44.1121307,0.6281039389799624
74,-49.75,-69.25,p_wind_Argentina_AR217,Argentina,1158,0.28,26.59705091,0.5929571948998174
75,-50.25,-69.25,p_wind_Argentina_AR218,Argentina,1158,0.35,8.16251301,0.5907526183970849
76,-50.75,-69.25,p_wind_Argentina_AR219,Argentina,858,0.43,48.6575365,0.6040589708561028
77,-51.25,-69.25,p_wind_Argentina_AR220,Argentina,987,0.49,46.06726633,0.6025145719489947
78,-51.75,-69.25,p_wind_Argentina_AR221,Argentina,1053,0.54,13.95812981,0.599924977231331
79,-39.25,-68.75,p_wind_Argentina_AR246,Argentina,102,0.07,0.39539936,0.42821231785063774
80,-39.75,-68.75,p_wind_Argentina_AR247,Argentina,117,0.09,23.56852484,0.46917406648451815
81,-40.25,-68.75,p_wind_Argentina_AR248,Argentina,405,0.1,50.40666688,0.5267262067395282
82,-40.75,-68.75,p_wind_Argentina_AR249,Argentina,810,0.11,103.3996328,0.5588056693989079
83,-41.25,-68.75,p_wind_Argentina_AR250,Argentina,906,0.1,157.7185239,0.5219710837887067
84,-41.75,-68.75,p_wind_Argentina_AR251,Argentina,726,0.06,152.685745,0.5553746584699449
85,-42.75,-68.75,p_wind_Argentina_AR253,Argentina,270,0.07,43.50423932,0.590927823315117
86,-43.25,-68.75,p_wind_Argentina_AR254,Argentina,264,0.09,11.06688153,0.5799437613843352
87,-43.75,-68.75,p_wind_Argentina_AR255,Argentina,222,0.11,66.15070405,0.5733710154826955
88,-44.25,-68.75,p_wind_Argentina_AR256,Argentina,429,0.09,121.0035559,0.5834927140255004
89,-44.75,-68.75,p_wind_Argentina_AR257,Argentina,660,0.06,112.1387932,0.5994895264116568
90,-45.25,-68.75,p_wind_Argentina_AR258,Argentina,531,0.06,57.72245616,0.5923521174863393
91,-45.75,-68.75,p_wind_Argentina_AR259,Argentina,636,0.07,4.229655845,0.6031705373406195
92,-46.25,-68.75,p_wind_Argentina_AR260,Argentina,276,0.09,32.18298216,0.6073307149362498
93,-46.75,-68.75,p_wind_Argentina_AR261,Argentina,468,0.13,21.79471138,0.581835268670308
94,-47.25,-68.75,p_wind_Argentina_AR262,Argentina,258,0.16,71.17336338,0.5996148679417109
95,-47.75,-68.75,p_wind_Argentina_AR263,Argentina,312,0.19,73.78720503,0.6469459244080111
96,-48.25,-68.75,p_wind_Argentina_AR264,Argentina,432,0.22,49.04785967,0.6593522313296871
97,-48.75,-68.75,p_wind_Argentina_AR265,Argentina,999,0.23,30.09502115,0.644044285063748
98,-49.25,-68.75,p_wind_Argentina_AR266,Argentina,1107,0.27,7.710260203,0.619758993624769
99,-49.75,-68.75,p_wind_Argentina_AR267,Argentina,1104,0.34,4.922884035,0.5928767076502732
100,-50.25,-68.75,p_wind_Argentina_AR268,Argentina,720,0.41,31.44482198,0.5806081511839687
101,-52.25,-68.75,p_wind_Argentina_AR269,Argentina,654,0.58,79.16825459,0.622111908014567
102,-38.25,-68.25,p_wind_Argentina_AR297,Argentina,447,0.06,3.206002332,0.4087204007285966
103,-38.75,-68.25,p_wind_Argentina_AR298,Argentina,510,0.09,2.51217759,0.41984209927140437
104,-39.25,-68.25,p_wind_Argentina_AR299,Argentina,165,0.1,13.05202954,0.4553571265938084
105,-39.75,-68.25,p_wind_Argentina_AR300,Argentina,342,0.12,42.10188447,0.49721117941712345
106,-40.25,-68.25,p_wind_Argentina_AR301,Argentina,450,0.12,78.6263095,0.541759221311473
107,-40.75,-68.25,p_wind_Argentina_AR302,Argentina,570,0.12,119.6074205,0.564968465391619
108,-41.25,-68.25,p_wind_Argentina_AR303,Argentina,981,0.09,169.1049632,0.5459012978142076
109,-42.75,-68.25,p_wind_Argentina_AR306,Argentina,441,0.08,47.60708779,0.630413023679416
110,-43.25,-68.25,p_wind_Argentina_AR307,Argentina,324,0.12,4.757373324,0.6049840619307839
111,-43.75,-68.25,p_wind_Argentina_AR308,Argentina,456,0.14,59.85767787,0.5703800091074681
112,-44.25,-68.25,p_wind_Argentina_AR309,Argentina,276,0.11,114.9627307,0.5726675774134818
113,-44.75,-68.25,p_wind_Argentina_AR310,Argentina,549,0.07,85.06047698,0.593635245901638
