period,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2050,15.41102956019313,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,106.16597954528382,0.04,0.2,133.136,75.165,3.745,0.0,0.0,196.91545907167617,0.0,268.54792715618305,trd_cut90_ge25_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_ge15_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,11.149912417807093,0.04,0.0,133.21,14.823,3.745,0.0,6.027,77.87573605188958,7.117,18.631620657542705,trd_cut90_ge15_1axis
2040,0.062241136249977964,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,44.179961441115545,0.04,0.2,133.21,59.032,3.745,0.0,6.027,135.8026638276518,7.117,77.02577938107498,trd_cut90_ge15_1axis
2050,15.696684680385248,12.7672,0.2838504699180912,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,97.30764559595836,0.04,0.2,133.136,81.637,3.745,0.0,0.0,200.55694854264826,0.0,283.0825540299047,trd_cut90_ge15_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_gamesa2_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,13.520263645600794,0.04,0.0,133.21,14.077,3.745,0.0,6.027,102.53909510437619,7.117,5.636810835193094,trd_cut90_gamesa2_1axis
2040,0.5267364092021732,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,38.354410540188404,0.04,0.2,133.21,65.267,3.745,0.0,6.027,156.02479545838617,7.117,70.03422440487498,trd_cut90_gamesa2_1axis
2050,16.147940063654435,12.7672,8.172261993375333,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,82.66764125344729,0.04,0.2,133.136,81.637,3.745,9.95,0.0,207.5369530342938,0.0,253.88525351618247,trd_cut90_gamesa2_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_enercon7_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,14.520707133393257,0.04,0.0,133.21,13.331,3.745,0.0,6.027,106.29989381543953,7.117,3.6012629328534054,trd_cut90_enercon7_1axis
2040,0.6129113819528474,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,38.327162316638535,0.04,0.2,133.21,65.267,3.745,0.0,6.027,158.51831732677718,7.117,69.56281041126836,trd_cut90_enercon7_1axis
2050,16.104222840232556,12.7672,3.834424195974925,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,85.00235054164254,0.04,0.2,133.136,81.637,3.745,9.95,0.0,208.27648495741167,0.0,270.2600193771983,trd_cut90_enercon7_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_enercon3_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,9.345792469645607,0.04,0.0,133.21,14.452,3.745,0.0,6.027,43.73024593326443,7.117,36.03258024283464,trd_cut90_enercon3_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,43.58566350963733,0.04,0.2,133.21,58.638,3.745,0.0,6.027,109.88384706294097,7.117,85.43009192290101,trd_cut90_enercon3_1axis
2050,15.306811581741716,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,109.19597324448465,0.04,0.2,133.136,73.829,3.745,0.0,0.0,190.99388158524474,0.0,254.82972139018858,trd_cut90_enercon3_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_vestas2_fixed
