type,period,load_zone,trade,Scenario,multiplier,trade_1,short_name
import,2020,Uruguay,0.4,Trade Vestas V90 3000 Fixed,1,0.4,trd_vestas3_fixed
import,2030,Argentina,0.3,Trade Vestas V90 3000 Fixed,1,0.3,trd_vestas3_fixed
import,2030,Brazil,0.6,Trade Vestas V90 3000 Fixed,1,0.6,trd_vestas3_fixed
import,2030,Chile,0.0,Trade Vestas V90 3000 Fixed,1,0.0,trd_vestas3_fixed
import,2030,Paraguay,0.0,Trade Vestas V90 3000 Fixed,1,0.0,trd_vestas3_fixed
import,2030,Uruguay,3.5,Trade Vestas V90 3000 Fixed,1,3.5,trd_vestas3_fixed
import,2040,Argentina,0.1,Trade Vestas V90 3000 Fixed,1,0.1,trd_vestas3_fixed
import,2040,Brazil,0.7,Trade Vestas V90 3000 Fixed,1,0.7,trd_vestas3_fixed
import,2040,Chile,0.0,Trade Vestas V90 3000 Fixed,1,0.0,trd_vestas3_fixed
import,2040,Paraguay,0.0,Trade Vestas V90 3000 Fixed,1,0.0,trd_vestas3_fixed
import,2040,Uruguay,3.6,Trade Vestas V90 3000 Fixed,1,3.6,trd_vestas3_fixed
import,2050,Argentina,0.1,Trade Vestas V90 3000 Fixed,1,0.1,trd_vestas3_fixed
import,2050,Brazil,1.1,Trade Vestas V90 3000 Fixed,1,1.1,trd_vestas3_fixed
import,2050,Chile,0.0,Trade Vestas V90 3000 Fixed,1,0.0,trd_vestas3_fixed
import,2050,Paraguay,0.0,Trade Vestas V90 3000 Fixed,1,0.0,trd_vestas3_fixed
import,2050,Uruguay,3.0,Trade Vestas V90 3000 Fixed,1,3.0,trd_vestas3_fixed
export,2020,Argentina,1.4,Trade Siemens SWT 3.6 107 Fixed,-1,-1.4,trd_siemens36_fixed
export,2020,Brazil,0.5,Trade Siemens SWT 3.6 107 Fixed,-1,-0.5,trd_siemens36_fixed
export,2020,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
export,2020,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
