period,load_zone,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,tCO2_per_mwh,total_costs,costs_per_mwh,var_om_cost_per_mwh,fuel_cost_per_mwh,startup_cost_per_mwh,capacity_cost_per_mwh,tx_capacity_cost_per_mwh,scs_id
2020,Argentina,940379139.624455,1315519334.2368424,3315752.648894105,718415728.7671233,0.0,136540472.225,31.936467987484036,0.2338974478926447,2977629955.277315,21.807672895481048,6.887182417787738,9.634647608871944,0.024284027987175837,5.261558840834186,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Brazil,3302340321.6055717,6684639242.144144,0.0,2606094344.3630137,0.0,656823855.8249996,47.78404170007637,0.07275016167014445,12593073908.11273,19.1726804628545,5.027741139909859,10.177217503386725,0.0,3.9677218195579163,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Chile,321828079.4832025,1346617995.4219964,0.0,752655864.8630136,0.0,82922909.17500006,21.829982888245,0.26325635587838725,2421101939.7682123,29.19702123159635,3.8810514812501125,16.23939643241533,0.0,9.076573317930908,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Paraguay,327500129.60999936,0.0,0.0,3046485.205479452,0.0,22203743.300000023,0.0,0.0,330546614.8154788,14.886976954713688,14.74977102667184,0.0,0.0,0.13720592804184728,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Uruguay,40973288.87189648,83897635.82384472,1230115.5147633993,154103578.1506849,0.0,13524698.624999994,0.2892174241957289,0.021384389568660647,280204618.3611895,20.71799351175484,3.0295158515516643,6.2032905981921465,0.09095326623319858,11.394233795777831,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Argentina,1025629928.6397705,1719862889.4147227,2581807.5,1048555550.2186501,0.0,161775906.44999993,38.58437372967531,0.23850506899555268,3796630175.773143,23.468452497569945,6.339818772437303,10.631143580989797,0.015959159535279495,6.48153098460757,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Brazil,3452013936.7631288,5546790465.547821,0.0,7642254452.859699,0.0,750779774.2499998,36.27426000709718,0.04831544648806473,16641058855.170649,22.165033510385157,4.597904811982393,7.388039283675233,0.0,10.179089414727533,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Chile,321027248.23344386,1236736354.7892263,7925973.5670869965,1092764679.6818664,0.0,94186385.82500002,20.83034079473481,0.22116084625476504,2658454256.2716236,28.225462023896732,3.408425171233539,13.130733746245497,0.08415200878196555,11.602151097635732,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Paraguay,327500129.60999966,0.0,0.0,3046485.205479452,0.0,28176675.1,0.0,0.0,330546614.8154791,11.731214333925406,11.623093514323116,0.0,0.0,0.10812081960229054,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Uruguay,46842836.770319775,172102593.79902327,875151.4368222228,154103578.1506849,0.0,16125299.37499999,1.0587504684936004,0.06565772478835613,373924160.15685016,23.188664685293656,2.9049281927095882,10.67283092218704,0.054271949715179985,9.556633620681847,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Argentina,936499942.6414578,1190529515.0186348,0.0,2589465602.3224244,0.0,191675397.175,28.887935811429816,0.15071280006298918,4716495059.982517,24.606679466934132,4.885864103813133,6.211175417216843,0.0,13.509639945904155,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Brazil,3541961524.4612613,5206804041.353487,0.0,11856050441.483345,0.0,858175727.6999997,34.5448791871843,0.04025385252944426,20604816007.298096,24.010019559188827,4.1273149660782025,6.067293531254099,0.0,13.815411061856521,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Chile,376899646.0540362,1029873422.8021559,24710612.81929314,1616463677.0691576,0.0,106979753.05000007,21.9410229348083,0.20509509799067802,3047947358.7446427,28.4908804876386,3.5230932518406664,9.626806881119036,0.23098401440264985,15.109996340276245,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Paraguay,327500129.6100001,0.0,0.0,3046485.205479452,0.0,35756362.07500001,0.0,0.0,330546614.8154795,9.244414018466095,9.159212811500762,0.0,0.0,0.08520120696533279,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Uruguay,47805520.059010655,186989889.18157062,688400.6025539257,214591409.73944205,0.0,19225896.900000002,1.1899160665777135,0.061891316320213566,450075219.5825772,23.409842564097865,2.486517030007097,9.725938412869082,0.035805903159395684,11.161581218062292,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Argentina,767168515.3272357,516216829.5790945,8399715.272795165,4808336818.696208,0.0,227100883.425,12.47890845924619,0.054948744677020794,6100121878.875334,26.86084610009849,3.3780956892692706,2.2730727498450043,0.03698671333248762,21.172690947651727,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Brazil,3875547626.7993836,4569079534.963085,0.0,18731433512.050125,0.0,980934147.5749993,37.61175167973887,0.038342789648744685,27176060673.81259,27.704266123261643,3.9508744153521995,4.65788610403508,0.0,19.09550560387437,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Chile,379697717.2744029,930890934.5645689,57676983.62924672,2364341075.5517154,0.0,121510838.54999991,20.64054868296563,0.1698659060316858,3732606711.0199337,30.71830262683951,3.124805340868115,7.66097037657691,0.4746653411128711,19.457861568281615,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Paraguay,327500129.6100006,0.0,0.0,3046485.205479452,0.0,45374992.75,0.0,0.0,330546614.81548005,7.284775044189512,7.217634863644151,0.0,0.0,0.06714018054536113,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Uruguay,42293208.73377708,111742428.98797028,5130064.251900393,412578000.5790753,0.0,22922726.72500001,0.5565881780484936,0.02428106327514112,571743702.552723,24.942220417833944,1.8450339368942186,4.874744192893144,0.22379816823037185,17.99864411981621,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2040,Argentina,725031261.6126639,348243987.6333337,14545001.143349625,8622658631.537674,0.0,269073705.87500006,8.432744107901426,0.03133990398831059,9710478881.927021,36.088546260399326,2.6945451962871534,1.29423269546491,0.05405582494971322,32.04571254369755,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2040,Brazil,3817644126.220907,3180522887.597182,0.0,27113169452.030327,0.0,1121252719.1249998,24.678622975361517,0.022009866780631004,34111336465.848415,30.422522847898314,3.404802557981853,2.8365798658478973,0.0,24.181140424068563,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2040,Chile,380651900.50662756,761501902.237269,125507703.12843044,3294618213.4813137,0.0,138015707.74999994,17.80848791673665,0.12903232687829083,4562279719.353641,33.056235364294196,2.7580331739930357,5.51750170072413,0.9093726009489705,23.871327888628063,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2040,Paraguay,327500129.6100003,0.0,0.0,3046485.205479452,0.0,57581093.275000006,0.0,0.0,330546614.81547976,5.740540792388762,5.687633057710475,0.0,0.0,0.052907734678287965,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2040,Uruguay,34804948.913322106,35316789.68505191,1717902.2534168332,664012525.5501734,0.0,27330430.574999996,0.0,0.0,735852166.4019642,26.924280039520173,1.2734870318932805,1.2922149026571608,0.06285675773393239,24.2957213472358,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2045,Argentina,694643603.3211786,247535522.5523755,18956436.52618401,10812971809.405968,0.0,318804005.775,5.989246644570133,0.018786610381543077,11774107371.805706,36.932118663889796,2.178904878037926,0.7764504776237877,0.059461098928483225,33.91730220929959,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2045,Brazil,3582289596.8016186,1667504933.687541,0.0,38251711591.77528,0.0,1281643269.475,7.997751702661474,0.006240232280810555,43501506122.26444,33.94197680301788,2.7950754177244916,1.3010679128917064,0.0,29.845833472401683,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2045,Chile,380998522.9216748,698815063.0702146,237150094.18810585,5540498471.376265,0.0,156762419.25000003,16.564914652768646,0.10566891434835166,6857462151.55626,43.74429907604439,2.430420025057598,4.457797132843205,1.5127994025781522,35.343282515565434,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2045,Paraguay,327643795.27500045,559467.253125,236110.875,504369981.03447765,0.0,73070680.0,0.0,0.0,832809354.4376031,11.397312224788426,4.483929741381912,0.00765652178308728,0.0032312669732921604,6.902494694650134,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2045,Uruguay,33033579.003553897,28418666.478743274,1297459.5763372725,1275634125.5512233,0.0,32585578.299999997,0.0,0.0,1338383830.6098578,41.07288869597438,1.0137484349496384,0.8721240487772247,0.039816987883172617,39.147199224364336,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2050,Argentina,696165900.4291903,99324280.98627302,21084633.44048401,16176608625.022749,0.0,377725433.59999996,2.397822337470071,0.0063480563503947,16993183439.878696,44.98818964325811,1.8430474585579781,0.2629536487380262,0.055819999303547065,42.826368536658556,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2050,Brazil,3530200279.42847,906009462.4449224,40978243.99516684,49410309805.21292,0.0,1464977015.5749998,0.0,0.0,53887497791.08148,36.78385204557682,2.4097308298334466,0.6184461959557201,0.02797193646009728,33.727703083327555,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2050,Chile,269907541.42379594,342701819.79493093,119757468.38959262,7900407685.660435,0.0,178055542.97499996,7.78614866252989,0.04372876312883509,8632774515.268755,48.48360444741025,1.5158614941950588,1.9246905435740815,0.6725848933914249,44.37046751624968,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2050,Paraguay,327529387.41000026,113936.62499999999,60868.5,2384369075.4342074,0.0,92727099.15,0.0,0.0,2712073267.969208,29.24790371779044,3.5321862800881143,0.0012287306088988117,0.0006564262287719803,25.713832280864654,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2050,Uruguay,30510197.701473523,18592037.36968082,1729427.098136228,2002510367.2863889,0.0,38851223.725,0.0,0.0,2053342029.4556794,52.85141193980961,0.7853085379609499,0.478544446920914,0.04451409588479386,51.54304485904295,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Argentina,949979473.423462,1356392606.4192505,0.0,718415728.7671233,0.0,136540472.225,32.99828145755784,0.24167399540834447,3024787808.6098356,22.15304927044195,6.957493686253157,9.93399674335461,0.0,5.261558840834186,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2020,Brazil,3324865876.200049,6710007935.830013,0.0,2606094344.3630137,0.0,656823855.8249996,51.60489458104481,0.07856732687674202,12640968156.393076,19.24559841164031,5.06203580566341,10.215840786418985,0.0,3.9677218195579163,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2020,Chile,325939104.7857932,944114485.3567398,0.0,752655864.8630136,0.0,82922909.17500006,22.81867553952024,0.27517938970717765,2022709455.0055466,24.392649451514437,3.9306279534637776,11.38544818011975,0.0,9.076573317930908,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2020,Paraguay,327500129.6099992,0.0,0.0,3046485.205479452,0.0,22203743.300000023,0.0,0.0,330546614.8154786,14.88697695471368,14.749771026671834,0.0,0.0,0.13720592804184728,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2020,Uruguay,35926529.376231425,46783991.23674463,542335.7073856213,154103578.1506849,0.0,13524698.624999994,0.08360379962400014,0.006181564701889996,237356434.47104657,17.5498501705835,2.656364505588489,3.4591522172823757,0.04009965193480394,11.394233795777831,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2025,Argentina,1049499283.7862521,1701778643.938501,0.0,980634935.1075091,0.0,161775906.44999993,41.67081179460557,0.2575835469510088,3731912862.832262,23.06840953467743,6.487364570017853,10.51935780353343,0.0,6.061687161126146,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2025,Brazil,3529580200.544685,5514756510.225189,0.0,7492992752.604346,0.0,750779774.2499998,46.882447295255325,0.06244500571700815,16537329463.374222,22.02687130176673,4.701219081281992,7.345371704684266,0.0,9.980280515800468,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2025,Chile,345195709.0841509,1009831386.7235309,44983.54967472282,1021803688.1946294,0.0,94186385.82500002,24.429073619800022,0.25936947687099576,2376875767.5519857,25.23587402502378,3.665027658302238,10.72162794949809,0.00047760139940291425,10.84874081582405,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2025,Paraguay,327500129.6099999,0.0,0.0,3046485.205479452,0.0,28176675.1,0.0,0.0,330546614.81547934,11.731214333925415,11.623093514323125,0.0,0.0,0.10812081960229054,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2025,Uruguay,42039807.78871125,99008953.42938226,483668.1261247165,154103578.1506849,0.0,16125299.37499999,0.4182593661068933,0.025938083776313986,295636007.4949031,18.333675587644912,2.6070714602600225,6.139976141024812,0.029994365678232052,9.556633620681847,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2030,Argentina,1132764567.0959141,2015121719.749664,0.0,1615556166.8496325,0.0,191675397.175,49.711003138215766,0.25934994198983985,4763442453.69521,24.851611233893404,5.909806807713031,10.513199656551926,0.0,8.42860476962845,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2030,Brazil,3671631018.185214,5715717800.879789,0.0,11400015146.92835,0.0,858175727.6999997,51.2295343945616,0.059695855686645996,20787363965.993355,24.222735851205737,4.278413965430563,6.660311654582108,0.0,13.284010231193065,0.0,prm15_fix_wcost_re1_c2p1_tnt1
