period,scs_id,costs_per_mwh
2025,prm15_fix_wcost_re10_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re10_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re11_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re11_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re12_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re12_c2p1_tnt1,272.69152041096373
2025,prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,237.8841393209514
2025,prm15_fix_wcost_re13_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re14_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,237.88341616536343
2025,prm15_fix_wcost_re15_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re16_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,237.88359695426033
2025,prm15_fix_wcost_re17_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re18_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re19_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re1_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re20_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,307.82501700996414
2025,prm15_fix_wcost_re2_c2p1_tnt1,223.39404825621583
2025,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,237.88377774315734
2025,prm15_fix_wcost_re3_c2p1_tnt1,229.76465557188456
2025,prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re4_c2p1_tnt1,294.2587386993996
2025,prm15_fix_wcost_re5_c2p1_co2_cut90p_tnt1,237.88377774315742
2025,prm15_fix_wcost_re5_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re6_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re6_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re7_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re7_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re8_c2p1_co2_cut90p_tnt1,237.8850432654364
2025,prm15_fix_wcost_re8_c2p1_tnt1,237.8850432654364
2025,prm15_fix_wcost_re9_c2p1_co2_cut90p_tnt1,237.88287379867234
2025,prm15_fix_wcost_re9_c2p1_tnt1,237.8850432654364
2030,prm15_fix_wcost_re10_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re10_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re11_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re11_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re12_c2p1_co2_cut90p_tnt1,202.70964045411975
2030,prm15_fix_wcost_re12_c2p1_tnt1,160.8653366002108
2030,prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,160.86836622880992
2030,prm15_fix_wcost_re13_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,160.8653366002108
2030,prm15_fix_wcost_re14_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,160.86836622880992
2030,prm15_fix_wcost_re15_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re16_c2p1_tnt1,160.8653366002108
2030,prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,160.86836622880992
2030,prm15_fix_wcost_re17_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,160.8653366002108
2030,prm15_fix_wcost_re18_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re19_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re1_c2p1_tnt1,217.1262202962507
2030,prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,157.35730430616917
2030,prm15_fix_wcost_re20_c2p1_tnt1,160.8653366002108
2030,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,168.93059405736082
2030,prm15_fix_wcost_re2_c2p1_tnt1,164.15572350151828
2030,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,160.86836622880992
2030,prm15_fix_wcost_re3_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re4_c2p1_tnt1,176.4148914064089
2030,prm15_fix_wcost_re5_c2p1_co2_cut90p_tnt1,157.3602006597955
2030,prm15_fix_wcost_re5_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re6_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re6_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re7_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re7_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re8_c2p1_co2_cut90p_tnt1,160.86547431060168
2030,prm15_fix_wcost_re8_c2p1_tnt1,160.86547431060168
2030,prm15_fix_wcost_re9_c2p1_co2_cut90p_tnt1,160.86836622880992
2030,prm15_fix_wcost_re9_c2p1_tnt1,160.86547431060168
2035,prm15_fix_wcost_re10_c2p1_co2_cut90p_tnt1,109.37991835285573
2035,prm15_fix_wcost_re10_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re11_c2p1_co2_cut90p_tnt1,109.3780443031014
2035,prm15_fix_wcost_re11_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re12_c2p1_co2_cut90p_tnt1,109.3779352314226
2035,prm15_fix_wcost_re12_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,109.37968037828375
2035,prm15_fix_wcost_re13_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,109.37991835285571
2035,prm15_fix_wcost_re14_c2p1_tnt1,102.98659921045711
2035,prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,109.38044388003546
2035,prm15_fix_wcost_re15_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,109.3779352314226
2035,prm15_fix_wcost_re16_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,109.37968037828375
2035,prm15_fix_wcost_re17_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,109.37991835285573
2035,prm15_fix_wcost_re18_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,109.37991835285573
2035,prm15_fix_wcost_re19_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,109.3780443031014
2035,prm15_fix_wcost_re1_c2p1_tnt1,105.32111794831789
2035,prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,144.30659503635235
2035,prm15_fix_wcost_re20_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,108.69278347287012
2035,prm15_fix_wcost_re2_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,109.38044388003546
2035,prm15_fix_wcost_re3_c2p1_tnt1,104.79046618360378
2035,prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,109.37991835285571
2035,prm15_fix_wcost_re4_c2p1_tnt1,133.853332824428
2035,prm15_fix_wcost_re5_c2p1_co2_cut90p_tnt1,113.79732449901604
2035,prm15_fix_wcost_re5_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re6_c2p1_co2_cut90p_tnt1,109.37991835285573
2035,prm15_fix_wcost_re6_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re7_c2p1_co2_cut90p_tnt1,109.37793523142257
2035,prm15_fix_wcost_re7_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re8_c2p1_co2_cut90p_tnt1,109.3780443031014
2035,prm15_fix_wcost_re8_c2p1_tnt1,109.3780443031014
2035,prm15_fix_wcost_re9_c2p1_co2_cut90p_tnt1,109.37968037828374
2035,prm15_fix_wcost_re9_c2p1_tnt1,109.3780443031014
2040,prm15_fix_wcost_re10_c2p1_co2_cut90p_tnt1,69.9553568417682
2040,prm15_fix_wcost_re10_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re11_c2p1_co2_cut90p_tnt1,69.95456304940285
2040,prm15_fix_wcost_re11_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re12_c2p1_co2_cut90p_tnt1,85.93094179437664
2040,prm15_fix_wcost_re12_c2p1_tnt1,69.95198545396939
