period,load_zone,twh,technology,scs
2040,Brazil,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2040,Chile,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2040,Paraguay,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2040,Uruguay,0.058069350555983286,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2045,Argentina,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2045,Brazil,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2045,Chile,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2045,Paraguay,1.1447053707693966,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2045,Uruguay,0.035787264479748435,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2050,Argentina,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2050,Brazil,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2050,Chile,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2050,Paraguay,8.537946110274758,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2050,Uruguay,0.31867140206630834,curt_vre,prm15_fix_wcost_re1_c2p1_tnt1
2020,Argentina,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2020,Brazil,0.30781773399999995,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2020,Chile,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2020,Paraguay,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2020,Uruguay,0.25977011800000005,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2025,Argentina,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2025,Brazil,1.8285577774330153,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2025,Chile,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2025,Paraguay,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2025,Uruguay,0.18496183977641206,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2030,Argentina,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2030,Brazil,3.4300294194348817,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2030,Chile,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2030,Paraguay,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2030,Uruguay,0.13279730425280387,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2035,Argentina,3.865643590514617,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2035,Brazil,8.919965758879076,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2035,Chile,0.26945399941914466,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2035,Paraguay,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2035,Uruguay,0.22146955658610645,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2040,Argentina,16.57612490035703,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2040,Brazil,12.587667066288377,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2040,Chile,1.4351048347106876,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2040,Paraguay,4.974354760329313,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2040,Uruguay,0.6598367245353643,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2045,Argentina,41.207478500087944,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2045,Brazil,22.99009014735584,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2045,Chile,10.223515859094054,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2045,Paraguay,27.31102131129488,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2045,Uruguay,1.8980822193798261,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2050,Argentina,114.24073429022367,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2050,Brazil,32.128230232329024,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2050,Chile,20.481612019539796,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2050,Paraguay,37.83336520058825,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2050,Uruguay,2.9308978320009227,curt_vre,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
2020,Argentina,0.0,curt_vre,prm15_fix_wcost_re2_c2p1_tnt1
2020,Brazil,0.019135962999999746,curt_vre,prm15_fix_wcost_re2_c2p1_tnt1
