project,period,specified_capacity_mw,specified_capacity_mwh
E_Chile_Diesel_10s,2025,1404.0000000000002,
E_Uruguay_Biomass_10s,2025,412.7,
E_Uruguay_Diesel_10s,2025,84.0,
E_Argentina_Gas_OCGT_60s,2025,0,
E_Brazil_Gas_OCGT_60s,2025,0,
E_Argentina_Gas_OCGT_70s,2025,48.9,
E_Brazil_Gas_OCGT_70s,2025,32.1,
E_Argentina_Gas_OCGT_80s,2025,755.4,
E_Brazil_Gas_OCGT_80s,2025,15.5,
E_Argentina_Gas_OCGT_90s,2025,1757.3,
E_Brazil_Gas_OCGT_90s,2025,110.0,
E_Argentina_Gas_OCGT_00s,2025,931.8,
E_Brazil_Gas_OCGT_00s,2025,2643.6,
E_Argentina_Gas_OCGT_10s,2025,1561.8,
E_Brazil_Gas_OCGT_10s,2025,749.5,
E_Chile_Gas_OCGT_10s,2025,1507.7,
E_Uruguay_Gas_OCGT_10s,2025,265.7,
E_Argentina_Gas_CCGT_60s,2025,0,
E_Brazil_Gas_CCGT_60s,2025,0,
E_Argentina_Gas_CCGT_70s,2025,74.6,
E_Brazil_Gas_CCGT_70s,2025,69.6,
E_Argentina_Gas_CCGT_80s,2025,1152.1,
E_Brazil_Gas_CCGT_80s,2025,33.5,
E_Argentina_Gas_CCGT_90s,2025,2680.4,
E_Brazil_Gas_CCGT_90s,2025,238.5,
E_Argentina_Gas_CCGT_00s,2025,1421.2,
E_Brazil_Gas_CCGT_00s,2025,5730.2,
E_Argentina_Gas_CCGT_10s,2025,2382.1,
E_Brazil_Gas_CCGT_10s,2025,1624.7,
E_Chile_Gas_CCGT_10s,2025,1490.4,
E_Argentina_Biomass_2015_rest,2025,46.0,
E_Argentina_Gas_CCGT_2002_rest,2025,3389.7999999999997,
E_Argentina_Gas_OCGT_2002_rest,2025,2222.4,
E_Argentina_Nuclear_2015_rest,2025,1755.0,
E_Brazil_Biomass_2006_rest,2025,1224.5,
E_Brazil_Coal_Sub_1996_rest,2025,3063.2,
E_Brazil_Gas_CCGT_2005_rest,2025,3331.0,
E_Brazil_Gas_OCGT_2005_rest,2025,1536.8000000000002,
E_Brazil_Nuclear_2015_rest,2025,1990.0,
E_Chile_Biomass_2015_rest,2025,88.10000000000002,
E_Chile_Gas_CCGT_2015_rest,2025,1947.6,
E_Chile_Gas_OCGT_2015_rest,2025,1970.3,
E_Chile_Geothermal_2015_rest,2025,40.0,
E_Paraguay_Biomass_2015_rest,2025,22.0,
E_Paraguay_Diesel_2015_rest,2025,25.0,
E_Uruguay_Biomass_2015_rest,2025,12.300000000000011,
E_Uruguay_Gas_OCGT_2015_rest,2025,840.3,
E_Hydro_Argentina_Colorado,2025,74.0,
E_Hydro_Argentina_De_la_Plata,2025,1992.0,
E_Hydro_Argentina_Futaleufu,2025,472.0,
E_Hydro_Argentina_Negro,2025,4199.0,
E_Hydro_Argentina_Unknown,2025,328.0,
E_Hydro_Brazil_Amazonas,2025,8836.0,
E_Hydro_Brazil_De_la_Plata,2025,26062.0,
E_Hydro_Brazil_Doce,2025,131.0,
E_Hydro_Brazil_Jacui_Camaqua_Jaguaron,2025,662.0,
E_Hydro_Brazil_Paraiba_do_Sul,2025,408.0,
E_Hydro_Brazil_Paranaiba,2025,225.0,
E_Hydro_Brazil_Sao_Francisco,2025,6416.0,
E_Hydro_Brazil_Unknown,2025,15657.0,
E_Hydro_Chile_Maule_Itata,2025,400.0,
E_Hydro_Chile_Unknown,2025,377.0,
E_Hydro_Paraguay_De_la_Plata,2025,8810.0,
E_Hydro_Uruguay_De_la_Plata,2025,593.0,
E_Hydro_Argentina_wb_rest,2025,4245.0,
E_Hydro_Brazil_wb_rest,2025,46206.0,
E_Hydro_Chile_wb_rest,2025,6172.0,
E_Hydro_Uruguay_wb_rest,2025,945.0,
E_Argentina_SolarPV,2025,439.0,
E_Argentina_Wind,2025,1609.0,
E_Brazil_SolarPV,2025,2074.0,
E_Brazil_Wind,2025,1487.0,
E_Chile_SolarPV,2025,3258.0,
E_Chile_Wind,2025,2507.0,
E_Uruguay_SolarPV,2025,256.0,
E_Uruguay_Wind,2025,1514.0,
E_Argentina_Coal_Sub_60s,2030,960.6,
E_Brazil_Biomass_60s,2030,0,
E_Brazil_Coal_Sub_60s,2030,252.0,
E_Argentina_Coal_Sub_70s,2030,216.0,
E_Brazil_Biomass_70s,2030,0,
E_Brazil_Coal_Sub_70s,2030,708.0,
E_Argentina_Coal_Sub_80s,2030,1982.2,
E_Brazil_Biomass_80s,2030,519.5,
E_Argentina_Coal_Sub_90s,2030,981.0,
E_Brazil_Biomass_90s,2030,979.0,
E_Brazil_Coal_Sub_90s,2030,387.4,
E_Argentina_Diesel_00s,2030,468.8,
E_Brazil_Biomass_00s,2030,3923.8,
E_Brazil_Coal_Sub_00s,2030,297.1,
E_Brazil_Diesel_00s,2030,180.79999999999973,
E_Argentina_Coal_Sub_10s,2030,13.2,
E_Argentina_Diesel_10s,2030,1194.2,
E_Brazil_Biomass_10s,2030,6653.9,
E_Brazil_Coal_Sub_10s,2030,1148.3,
E_Brazil_Diesel_10s,2030,4116.2,
E_Chile_Biomass_10s,2030,383.9,
E_Chile_Coal_Sub_10s,2030,4600.0,
E_Chile_Diesel_10s,2030,1404.0000000000002,
E_Uruguay_Biomass_10s,2030,412.7,
E_Uruguay_Diesel_10s,2030,84.0,
E_Argentina_Gas_OCGT_60s,2030,0,
E_Brazil_Gas_OCGT_60s,2030,0,
E_Argentina_Gas_OCGT_70s,2030,0,
E_Brazil_Gas_OCGT_70s,2030,32.1,
E_Argentina_Gas_OCGT_80s,2030,755.4,
E_Brazil_Gas_OCGT_80s,2030,15.5,
E_Argentina_Gas_OCGT_90s,2030,1757.3,
E_Brazil_Gas_OCGT_90s,2030,110.0,
E_Argentina_Gas_OCGT_00s,2030,931.8,
E_Brazil_Gas_OCGT_00s,2030,2643.6,
E_Argentina_Gas_OCGT_10s,2030,1561.8,
E_Brazil_Gas_OCGT_10s,2030,749.5,
E_Chile_Gas_OCGT_10s,2030,1507.7,
E_Uruguay_Gas_OCGT_10s,2030,265.7,
E_Argentina_Gas_CCGT_60s,2030,0,
E_Brazil_Gas_CCGT_60s,2030,0,
E_Argentina_Gas_CCGT_70s,2030,0,
E_Brazil_Gas_CCGT_70s,2030,69.6,
