scenario,SolarPV Atacama/Andes,SolarPV Caatinga,SolarPV Cerrado,SolarPV Gran Chaco,SolarPV Monte Desert,SolarPV Pampas,Wind Caatinga,Wind Coastal,Wind Gran Chaco,Wind Pampas,Wind Patagonia,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re7_c2p1_t1,12661.479393697935,47883.9,72731.2,5739.6,0.0,5094.442012828936,48066.0,0.0,337.86308518802696,14503.20448162634,0.0,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re19_c2p1_t1,1868.3083106052807,45012.8,63170.4,2488.623316887591,0.0,5253.395773447498,39735.0,0.0,0.0,15498.227203482047,1491.7352227069246,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re8_c2p1_t1,13473.289999791034,48974.4,78204.2,6374.395324876189,0.0,5696.6594494721985,33714.0,0.0,0.0,11569.809280838828,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,11326.32556084752,45724.1,63337.0,3554.8663669040743,0.0,4574.916552191111,74243.08194082239,0.0,1940.373831368368,18334.528344446535,12750.0,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,13465.595795613011,48974.4,78204.2,6374.395324876188,0.0,5906.6100083079,33714.0,0.0,0.0,10989.338202561741,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re20_c2p1_t1,0.0,15729.0,2432.4,3563.3164188517276,0.0,2463.6679151903427,97609.94076827864,0.0,1840.3347537687443,25720.921896415075,12750.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re1_c2p1_tn,11204.1691618979,46294.7,64457.1999999996,5465.7999999995,0.0,4628.398656574,67890.0,0.0,4232.687901036,17541.8508291999,8991.0,0,0,1,0,"NoCut,Full",000
prm15_wcost_re18_c2p1_tn,373.4,44862.0515290898,63170.4,5376.4934921294,0.0,3372.02078145316,41496.0,0.0,5592.0,7914.0,584.9999999995999,0,0,18,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,501.9,45012.7999999996,63170.4,5011.3,0.0,3372.0207814532,39735.0,0.0,5659.78078323,7914.0,0.0,0,0,19,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_tn,9984.105151789001,47682.5999999997,69969.79999999944,6203.8,0.0,5159.8999999999,44052.72290521,0.0,3724.95670827,13338.0,0.0,0,0,2,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,10795.137486874,47883.8999999995,72152.6999999996,6986.9000299025,0.0,4942.5729781046,38856.708703571,0.0,2238.381143955,9715.701463748,0.0,0,0,4,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_tn,10813.617496071,46478.6,66831.0999999994,5779.79999999981,0.0,4934.94593433572,45519.632667151,0.0,3564.526309204,13996.857578158,0.0,0,0,5,0,"NoCut,Full",000
prm15_wcost_re6_c2p1_tn,9456.2948580738,43442.1,58522.2,4857.2,0.0,4598.1835773198,56349.0,0.0,4574.756488673,14628.71605193,3054.0,0,0,6,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,9896.1436124837,46294.7,65224.39999999944,5779.7999999999,0.0,4805.0627053797,48066.0,0.0,3962.7555379,14137.5928786117,0.0,0,0,7,0,"NoCut,Full",000
prm15_wcost_re8_c2p1_tn,11008.3778851059,48598.1999999995,75530.4999999992,7852.8,0.0,4630.56258784608,33714.0,0.0,683.69588628,6891.0,0.0,0,0,8,0,"NoCut,Full",000
prm15_wcost_re20_c2p1_tn,0.0,14437.2,1288.2,0.0,0.0,2009.1684838231,94025.999999992,0.0,10031.543306193,24236.84494025,12750.0,0,0,20,1,"NoCut,Full",001
prm15_wcost_re3_c2p1_tn,11476.243203080001,48950.8848417219,76805.5,7852.8,0.0,4435.8784417509,25377.0,0.0,372.817087962,4716.0,0.0,0,0,3,0,"NoCut,Full",000
prm15_wcost_re9_c2p1_tn,11171.817496071,48598.2,75530.49999999994,7693.1999999999,0.0,4646.5004338391,33714.0,0.0,1773.096065168,6576.0,0.0,0,0,9,0,"NoCut,Full",000
prm15_wcost_re13_c2p1_tn,501.9,46203.6,65739.6010916327,5621.4,0.0,3339.560881981,35039.306355836,0.0,5287.18857526,5031.0,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_tn,0.0,36012.1,41957.3,516.7,0.0,3402.0087402359,69021.0,0.0,7647.59229429,18173.948707212,5752.827760466,0,0,17,1,"NoCut,Full",001
prm15_wcost_re15_c2p1_tn,0.0,36926.8,44714.9,932.801171671,0.0,3451.5153845876002,62759.999999997,0.0,7161.0,16374.512015371,5786.311695487,0,0,15,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,0.0,38296.0,49887.2,1592.8,0.0,3273.13052669,57422.999999999,0.0,7113.1956125100005,12740.99999999938,5896.776974482,0,0,12,1,"NoCut,Full",001
prm15_wcost_re11_c2p1_tn,0.0,17333.5,3723.2,0.0,0.0,2104.8,88803.0007440957,0.0,9837.501095999,19448.642970647,8991.0,0,0,11,1,"NoCut,Full",001
