Latitude,Longitude,project,load_zone,biome
-39.25,-69.25,p_solar_Argentina_AR196,Argentina,Monte Desert
-39.75,-69.25,p_solar_Argentina_AR197,Argentina,Monte Desert
-40.25,-69.25,p_solar_Argentina_AR198,Argentina,Monte Desert
-40.75,-69.25,p_solar_Argentina_AR199,Argentina,Monte Desert
-41.25,-69.25,p_solar_Argentina_AR200,Argentina,Monte Desert
-41.75,-69.25,p_solar_Argentina_AR201,Argentina,Monte Desert
-42.25,-69.25,p_solar_Argentina_AR202,Argentina,Monte Desert
-42.75,-69.25,p_solar_Argentina_AR203,Argentina,Monte Desert
-27.25,-68.75,p_solar_Argentina_AR222,Argentina,Atacama/Andes
-27.75,-68.75,p_solar_Argentina_AR223,Argentina,Atacama/Andes
-28.25,-68.75,p_solar_Argentina_AR224,Argentina,Atacama/Andes
-28.75,-68.75,p_solar_Argentina_AR225,Argentina,Atacama/Andes
-29.25,-68.75,p_solar_Argentina_AR226,Argentina,Atacama/Andes
-29.75,-68.75,p_solar_Argentina_AR227,Argentina,Atacama/Andes
-30.25,-68.75,p_solar_Argentina_AR228,Argentina,Atacama/Andes
-30.75,-68.75,p_solar_Argentina_AR229,Argentina,Atacama/Andes
-31.75,-68.75,p_solar_Argentina_AR231,Argentina,Monte Desert
-32.25,-68.75,p_solar_Argentina_AR232,Argentina,Monte Desert
-32.75,-68.75,p_solar_Argentina_AR233,Argentina,Monte Desert
-33.25,-68.75,p_solar_Argentina_AR234,Argentina,Monte Desert
-33.75,-68.75,p_solar_Argentina_AR235,Argentina,Monte Desert
-34.25,-68.75,p_solar_Argentina_AR236,Argentina,Monte Desert
-34.75,-68.75,p_solar_Argentina_AR237,Argentina,Monte Desert
-35.25,-68.75,p_solar_Argentina_AR238,Argentina,Monte Desert
-35.75,-68.75,p_solar_Argentina_AR239,Argentina,Monte Desert
-36.25,-68.75,p_solar_Argentina_AR240,Argentina,Monte Desert
-36.75,-68.75,p_solar_Argentina_AR241,Argentina,Monte Desert
-37.25,-68.75,p_solar_Argentina_AR242,Argentina,Monte Desert
-37.75,-68.75,p_solar_Argentina_AR243,Argentina,Monte Desert
-38.25,-68.75,p_solar_Argentina_AR244,Argentina,Monte Desert
-38.75,-68.75,p_solar_Argentina_AR245,Argentina,Monte Desert
-39.25,-68.75,p_solar_Argentina_AR246,Argentina,Monte Desert
-39.75,-68.75,p_solar_Argentina_AR247,Argentina,Monte Desert
-40.25,-68.75,p_solar_Argentina_AR248,Argentina,Monte Desert
-40.75,-68.75,p_solar_Argentina_AR249,Argentina,Monte Desert
-41.25,-68.75,p_solar_Argentina_AR250,Argentina,Monte Desert
-41.75,-68.75,p_solar_Argentina_AR251,Argentina,Monte Desert
-42.25,-68.75,p_solar_Argentina_AR252,Argentina,Monte Desert
-42.75,-68.75,p_solar_Argentina_AR253,Argentina,Monte Desert
-43.25,-68.75,p_solar_Argentina_AR254,Argentina,Monte Desert
-43.75,-68.75,p_solar_Argentina_AR255,Argentina,Monte Desert
-44.25,-68.75,p_solar_Argentina_AR256,Argentina,Monte Desert
-24.75,-68.25,p_solar_Argentina_AR270,Argentina,Atacama/Andes
-25.25,-68.25,p_solar_Argentina_AR271,Argentina,Atacama/Andes
-25.75,-68.25,p_solar_Argentina_AR272,Argentina,Atacama/Andes
-26.25,-68.25,p_solar_Argentina_AR273,Argentina,Atacama/Andes
-26.75,-68.25,p_solar_Argentina_AR274,Argentina,Atacama/Andes
-27.25,-68.25,p_solar_Argentina_AR275,Argentina,Atacama/Andes
-27.75,-68.25,p_solar_Argentina_AR276,Argentina,Atacama/Andes
-28.25,-68.25,p_solar_Argentina_AR277,Argentina,Atacama/Andes
-28.75,-68.25,p_solar_Argentina_AR278,Argentina,Atacama/Andes
-29.25,-68.25,p_solar_Argentina_AR279,Argentina,Atacama/Andes
-29.75,-68.25,p_solar_Argentina_AR280,Argentina,Atacama/Andes
-30.25,-68.25,p_solar_Argentina_AR281,Argentina,Monte Desert
-30.75,-68.25,p_solar_Argentina_AR282,Argentina,Monte Desert
-31.25,-68.25,p_solar_Argentina_AR283,Argentina,Monte Desert
-31.75,-68.25,p_solar_Argentina_AR284,Argentina,Monte Desert
-32.25,-68.25,p_solar_Argentina_AR285,Argentina,Monte Desert
-32.75,-68.25,p_solar_Argentina_AR286,Argentina,Monte Desert
-33.25,-68.25,p_solar_Argentina_AR287,Argentina,Monte Desert
-33.75,-68.25,p_solar_Argentina_AR288,Argentina,Monte Desert
-34.25,-68.25,p_solar_Argentina_AR289,Argentina,Monte Desert
-34.75,-68.25,p_solar_Argentina_AR290,Argentina,Monte Desert
-35.25,-68.25,p_solar_Argentina_AR291,Argentina,Monte Desert
-35.75,-68.25,p_solar_Argentina_AR292,Argentina,Monte Desert
-36.25,-68.25,p_solar_Argentina_AR293,Argentina,Monte Desert
-36.75,-68.25,p_solar_Argentina_AR294,Argentina,Monte Desert
-37.25,-68.25,p_solar_Argentina_AR295,Argentina,Monte Desert
-37.75,-68.25,p_solar_Argentina_AR296,Argentina,Monte Desert
-38.25,-68.25,p_solar_Argentina_AR297,Argentina,Monte Desert
-38.75,-68.25,p_solar_Argentina_AR298,Argentina,Monte Desert
-39.25,-68.25,p_solar_Argentina_AR299,Argentina,Monte Desert
-39.75,-68.25,p_solar_Argentina_AR300,Argentina,Monte Desert
-40.25,-68.25,p_solar_Argentina_AR301,Argentina,Monte Desert
-40.75,-68.25,p_solar_Argentina_AR302,Argentina,Monte Desert
-41.25,-68.25,p_solar_Argentina_AR303,Argentina,Monte Desert
-41.75,-68.25,p_solar_Argentina_AR304,Argentina,Monte Desert
-42.25,-68.25,p_solar_Argentina_AR305,Argentina,Monte Desert
-42.75,-68.25,p_solar_Argentina_AR306,Argentina,Monte Desert
-43.25,-68.25,p_solar_Argentina_AR307,Argentina,Monte Desert
-43.75,-68.25,p_solar_Argentina_AR308,Argentina,Monte Desert
-44.25,-68.25,p_solar_Argentina_AR309,Argentina,Monte Desert
-44.75,-68.25,p_solar_Argentina_AR310,Argentina,Monte Desert
-45.25,-68.25,p_solar_Argentina_AR311,Argentina,Monte Desert
-45.75,-68.25,p_solar_Argentina_AR312,Argentina,Monte Desert
-46.25,-68.25,p_solar_Argentina_AR313,Argentina,Monte Desert
-24.25,-67.75,p_solar_Argentina_AR324,Argentina,Atacama/Andes
-24.75,-67.75,p_solar_Argentina_AR325,Argentina,Atacama/Andes
-25.25,-67.75,p_solar_Argentina_AR326,Argentina,Atacama/Andes
-25.75,-67.75,p_solar_Argentina_AR327,Argentina,Atacama/Andes
-26.25,-67.75,p_solar_Argentina_AR328,Argentina,Atacama/Andes
-26.75,-67.75,p_solar_Argentina_AR329,Argentina,Atacama/Andes
-27.25,-67.75,p_solar_Argentina_AR330,Argentina,Atacama/Andes
-27.75,-67.75,p_solar_Argentina_AR331,Argentina,Atacama/Andes
-28.25,-67.75,p_solar_Argentina_AR332,Argentina,Atacama/Andes
-28.75,-67.75,p_solar_Argentina_AR333,Argentina,Atacama/Andes
-30.25,-67.75,p_solar_Argentina_AR336,Argentina,Monte Desert
-30.75,-67.75,p_solar_Argentina_AR337,Argentina,Monte Desert
-31.25,-67.75,p_solar_Argentina_AR338,Argentina,Monte Desert
-31.75,-67.75,p_solar_Argentina_AR339,Argentina,Monte Desert
-32.25,-67.75,p_solar_Argentina_AR340,Argentina,Monte Desert
-32.75,-67.75,p_solar_Argentina_AR341,Argentina,Monte Desert
-33.25,-67.75,p_solar_Argentina_AR342,Argentina,Monte Desert
-33.75,-67.75,p_solar_Argentina_AR343,Argentina,Monte Desert
-34.25,-67.75,p_solar_Argentina_AR344,Argentina,Monte Desert
-34.75,-67.75,p_solar_Argentina_AR345,Argentina,Monte Desert
-35.25,-67.75,p_solar_Argentina_AR346,Argentina,Monte Desert
