Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_vestas_2,cf_vestas_7,cf_vestas_3,cf_siemens_36,cf_siemens_23,cf_GE_25,cf_GE_15,cf_gamesa_2,cf_enercon_7,cf_enercon_3
-55.25,-67.75,p_wind_Chile_CL303,Chile,213,0.38,1348.204903,0.6288310564662997,0.586516621129326,0.5372854052823315,0.5746689435336976,0.5983933287795992,0.6185058060109291,0.6001599499089254,0.5526879553734062,0.5426579007285975,0.6327636612021857
-55.25,-67.25,p_wind_Chile_CL305,Chile,183,0.45,1358.239269,0.6481273907103787,0.6065786657559198,0.5571180555555556,0.5951634790528232,0.6193229735883424,0.6380776411657559,0.6207847222222224,0.5734666438979964,0.5611130464480873,0.6509357923497268
-20.75,-62.25,p_wind_Paraguay_PY1,Paraguay,1650,0.07,203.4662444,0.4669497950819669,0.41935780965391617,0.37597336065573767,0.4065079690346084,0.42585940346083784,0.45429929417122045,0.4298821721311475,0.3850759335154827,0.389351548269581,0.47745469034608373
-21.25,-62.25,p_wind_Paraguay_PY2,Paraguay,1638,0.07,173.0342403,0.4521428734061943,0.4040073998178506,0.3606841985428051,0.3910514571948998,0.4102895036429873,0.4392999772313297,0.41440664845173036,0.369506033697632,0.37464492258652093,0.46314458105646633
-21.75,-62.25,p_wind_Paraguay_PY3,Paraguay,1629,0.08,156.8788045,0.4405524817850646,0.39178540528233147,0.3482299635701275,0.37867030965391624,0.3979744990892532,0.4275193533697632,0.40221379781420763,0.35695127504553736,0.36264503642987245,0.4518971994535519
-22.25,-62.25,p_wind_Paraguay_PY4,Paraguay,1527,0.08,159.4049544,0.435486224954463,0.38631557377049175,0.34215596539162113,0.3728904826958106,0.39238148907103826,0.422400956284153,0.39673781876138436,0.35087078779599273,0.35693078324225863,0.4472139116575592
-19.75,-61.75,p_wind_Paraguay_PY5,Paraguay,1455,0.1,262.8583231,0.436889571948998,0.3885426912568306,0.3462652550091075,0.3744321493624772,0.39132035519125685,0.4238568989071038,0.3953161429872496,0.3514709699453552,0.3645655737704918,0.4525274362477232
-20.25,-61.75,p_wind_Paraguay_PY6,Paraguay,1638,0.1,213.1399625,0.4500150273224054,0.4018005464480874,0.35904906648451734,0.3891559653916211,0.4082240437158471,0.43703938979963575,0.412281762295082,0.36786737249544627,0.37277698087431693,0.4607355418943534
-20.75,-61.75,p_wind_Paraguay_PY7,Paraguay,1650,0.1,167.0004199,0.4481958105646624,0.39984414845173044,0.3570968806921676,0.3871344489981785,0.40616939890710385,0.4351851092896175,0.41029212204007287,0.365832422586521,0.37095821948998176,0.45902846083788706
-21.25,-61.75,p_wind_Paraguay_PY8,Paraguay,1569,0.1,128.3628662,0.4423961748633876,0.3934951047358834,0.35039469489981784,0.3805625,0.39971425318761383,0.42923428961748633,0.4040021630236794,0.3590806010928962,0.36461179417122047,0.4535140027322404
-21.75,-61.75,p_wind_Paraguay_PY9,Paraguay,1470,0.1,105.7987006,0.4377135701275049,0.3881610883424408,0.3443259335154827,0.3748580373406193,0.3942882513661202,0.424403233151184,0.3987745901639344,0.35307274590163934,0.3589122267759563,0.44912887067395263
-22.25,-61.75,p_wind_Paraguay_PY10,Paraguay,1341,0.09,109.7235304,0.4334852003643001,0.3836566484517305,0.33933629326047354,0.3700725182149362,0.3896369535519126,0.420153460837887,0.3942002504553734,0.3480245901639345,0.3542686703096539,0.44526684881602924
-22.75,-61.75,p_wind_Paraguay_PY11,Paraguay,1371,0.08,137.8978283,0.4278080601092888,0.3778246812386157,0.3333442622950819,0.3640392759562842,0.3834997723132969,0.41447040072859753,0.38810872040072864,0.34178028233151186,0.3487822176684882,0.44017030965391624
-19.75,-61.25,p_wind_Paraguay_PY12,Paraguay,1440,0.11,246.8025539,0.3811392304189441,0.3313688524590164,0.2912340619307833,0.31668123861566483,0.3313890027322404,0.3673964025500911,0.33579587887067397,0.29356079234972676,0.3131284153005465,0.4007687841530055
-20.25,-61.25,p_wind_Paraguay_PY13,Paraguay,1482,0.11,193.0601914,0.3912761839708552,0.34208765938069213,0.3018298041894353,0.330161543715847,0.34819569672131145,0.37775239071038247,0.35248053278688524,0.3098007741347905,0.31643203551912563,0.4027304189435337
-20.75,-61.25,p_wind_Paraguay_PY14,Paraguay,1608,0.1,140.5693216,0.3919002732240457,0.34284836065573765,0.30287522768670305,0.3307108378870674,0.34825341530054643,0.37839139344262296,0.3524767759562841,0.3101009790528233,0.31826218123861566,0.40416928506375227
-21.25,-61.25,p_wind_Paraguay_PY15,Paraguay,1575,0.1,91.51517898,0.4098800091074706,0.36031033697632064,0.3183189890710382,0.34741074681238615,0.3657782331511839,0.39640903916211295,0.3702075364298725,0.3260302823315118,0.3337909836065574,0.4222081056466302
-21.75,-61.25,p_wind_Paraguay_PY16,Paraguay,1479,0.09,55.84966397,0.4229246357012761,0.3730056921675774,0.32936589253187615,0.35978381147540983,0.3791964936247723,0.4095127504553734,0.3837246129326047,0.3380697859744991,0.3441264799635701,0.43446231785063755
-22.25,-61.25,p_wind_Paraguay_PY17,Paraguay,1209,0.08,63.19255594,0.4258767076502744,0.37550614754098366,0.3309179189435336,0.36189913479052827,0.38168738615664843,0.4124225865209472,0.3863229735883424,0.3397813069216758,0.3459188296903461,0.4376720173041894
-22.75,-61.25,p_wind_Paraguay_PY18,Paraguay,1230,0.08,103.9201266,0.4167453324225886,0.3661053051001822,0.3217728825136612,0.3520313069216757,0.3711350182149363,0.4031763433515483,0.37593750000000004,0.3295895947176685,0.33813581511839713,0.4300351775956284
-23.25,-61.25,p_wind_Paraguay_PY19,Paraguay,1425,0.07,147.7662872,0.4038890027322418,0.3528664617486339,0.3092732240437158,0.33765107012750456,0.35492668488160295,0.3900875455373406,0.3599723360655738,0.31430430327868847,0.3289872495446266,0.4208981102003643
-19.75,-60.75,p_wind_Paraguay_PY20,Paraguay,1596,0.09,241.1307087,0.3507251821493632,0.3008339025500911,0.2623030510018215,0.28481853369763205,0.2967130009107468,0.3368541666666667,0.30131693989071034,0.2606849954462659,0.28892509107468123,0.37592975865209477
-20.25,-60.75,p_wind_Paraguay_PY21,Paraguay,1470,0.1,185.7787624,0.3691738387978139,0.3185165072859745,0.2782860883424409,0.29947188069216757,0.3091394581056466,0.3551571038251366,0.3138747723132969,0.27211213570127507,0.31125580601092895,0.40124715391621135
