period,tx_line,twh,technology,scs
2040,Argentina_Chile,-0.00022090174999999998,Trans_loss,trd_vestas7_1axis
2040,Argentina_Paraguay,-0.00096426,Trans_loss,trd_vestas7_1axis
2040,Argentina_Uruguay,-0.1265657716494946,Trans_loss,trd_vestas7_1axis
2040,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas7_1axis
2040,Brazil_Uruguay,-0.3239974894250614,Trans_loss,trd_vestas7_1axis
2045,Argentina_Brazil,-0.1315818,Trans_loss,trd_vestas7_1axis
2045,Argentina_Chile,-0.0001271789851856984,Trans_loss,trd_vestas7_1axis
2045,Argentina_Paraguay,-0.00093456,Trans_loss,trd_vestas7_1axis
2045,Argentina_Uruguay,-0.12329676954542435,Trans_loss,trd_vestas7_1axis
2045,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas7_1axis
2045,Brazil_Uruguay,-0.2920984481218134,Trans_loss,trd_vestas7_1axis
2050,Argentina_Brazil,-0.1452276,Trans_loss,trd_vestas7_1axis
2050,Argentina_Chile,-0.00014349099999999999,Trans_loss,trd_vestas7_1axis
2050,Argentina_Paraguay,-0.00086966,Trans_loss,trd_vestas7_1axis
2050,Argentina_Uruguay,-0.12377100444533809,Trans_loss,trd_vestas7_1axis
2050,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas7_1axis
2050,Brazil_Uruguay,-0.2876049517315852,Trans_loss,trd_vestas7_1axis
2020,Argentina_Brazil,-0.13155040051676087,Trans_loss,trd_vestas3_1axis
2020,Argentina_Chile,-0.00031368499999999996,Trans_loss,trd_vestas3_1axis
2020,Argentina_Paraguay,-0.0014091824999999999,Trans_loss,trd_vestas3_1axis
2020,Argentina_Uruguay,-0.10899638625668774,Trans_loss,trd_vestas3_1axis
2020,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas3_1axis
2020,Brazil_Uruguay,-0.18988737849841922,Trans_loss,trd_vestas3_1axis
2025,Argentina_Brazil,-0.0882819,Trans_loss,trd_vestas3_1axis
2025,Argentina_Chile,-0.00022635199999999998,Trans_loss,trd_vestas3_1axis
2025,Argentina_Paraguay,-0.00100474,Trans_loss,trd_vestas3_1axis
2025,Argentina_Uruguay,-0.12130341783425837,Trans_loss,trd_vestas3_1axis
