period,load_zone,twh,technology,scs
2045,Chile,3.3647893360466694e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2045,Paraguay,4.301127202861224,curt_hydro,prm15_wcost_re2_c2p1_t1
2045,Uruguay,0.0012290949620622636,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Argentina,1.6658589174767255e-14,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Brazil,1.2498228601180017e-14,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Chile,2.1689174900529908e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Paraguay,0.5116816589319437,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Uruguay,3.515197022352368e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2020,Argentina,3.634283984865761e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Brazil,2.1844892885863905,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Chile,3.3014657674357294e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Paraguay,49.10986188724997,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Uruguay,4.288267518859357e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2025,Argentina,3.973468665208202e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2025,Brazil,4.101091256260915,curt_hydro,prm15_wcost_re3_c2p1_t1
2025,Chile,5.925357982050628e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2025,Paraguay,44.555728853823986,curt_hydro,prm15_wcost_re3_c2p1_t1
2025,Uruguay,0.003529034000000305,curt_hydro,prm15_wcost_re3_c2p1_t1
2030,Argentina,3.869530473821214e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2030,Brazil,1.0168262710667724,curt_hydro,prm15_wcost_re3_c2p1_t1
2030,Chile,1.6977992345346137e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2030,Paraguay,37.01267850499998,curt_hydro,prm15_wcost_re3_c2p1_t1
2030,Uruguay,0.007637579591179364,curt_hydro,prm15_wcost_re3_c2p1_t1
2035,Argentina,3.990066943515558e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2035,Brazil,0.9498513977500943,curt_hydro,prm15_wcost_re3_c2p1_t1
2035,Chile,1.6908643374335953e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2035,Paraguay,27.394047829999984,curt_hydro,prm15_wcost_re3_c2p1_t1
2035,Uruguay,4.852154233958572e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2040,Argentina,7.267914270414622e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2040,Brazil,0.15352499086891844,curt_hydro,prm15_wcost_re3_c2p1_t1
2040,Chile,1.3167209544917569e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2040,Paraguay,15.187947304999982,curt_hydro,prm15_wcost_re3_c2p1_t1
2040,Uruguay,2.1736923372372988e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2045,Argentina,5.971628525003325e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2045,Brazil,1.3426415534922854e-14,curt_hydro,prm15_wcost_re3_c2p1_t1
2045,Chile,9.66815605352167e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2045,Paraguay,4.302822586435041,curt_hydro,prm15_wcost_re3_c2p1_t1
2045,Uruguay,5.13409759150818e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2050,Argentina,4.7000811228402505e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2050,Brazil,7.0881469582673155e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2050,Chile,1.3582166502601468e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2050,Paraguay,0.5116807669187106,curt_hydro,prm15_wcost_re3_c2p1_t1
2050,Uruguay,3.0581759347114713e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Argentina,3.634283984865761e-15,curt_hydro,prm15_wcost_re4_c2p1_t1
2020,Brazil,2.18448928858639,curt_hydro,prm15_wcost_re4_c2p1_t1
2020,Chile,3.3014657674357294e-16,curt_hydro,prm15_wcost_re4_c2p1_t1
2020,Paraguay,49.10986188724997,curt_hydro,prm15_wcost_re4_c2p1_t1
2020,Uruguay,4.288267518859357e-16,curt_hydro,prm15_wcost_re4_c2p1_t1
2025,Argentina,3.969915951529401e-15,curt_hydro,prm15_wcost_re4_c2p1_t1
2025,Brazil,4.1355490742648495,curt_hydro,prm15_wcost_re4_c2p1_t1
2025,Chile,1.2832970242016019e-15,curt_hydro,prm15_wcost_re4_c2p1_t1
2025,Paraguay,44.556265068943986,curt_hydro,prm15_wcost_re4_c2p1_t1
