lz_from,lz_to,period,net_flow_twh,scenario
Argentina,Chile,2040,0.004495028999999997,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2045,0.0027188370000000004,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2050,0.0034346730000000027,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2020,0.008348962500000017,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2025,0.008353857499999999,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2030,0.00863479749999998,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2035,0.008631387499999995,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2040,0.008631387499999971,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2045,0.008239814999999985,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2050,0.007886693690642986,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2020,1.5678710946154246,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2025,1.7207042871468392,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2030,1.6703422104204302,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2035,1.8156924488018076,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2040,1.8104681081055323,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2045,1.7045665111217445,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2050,1.5980594727105712,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Paraguay,2020,0.0,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Paraguay,2025,0.0,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Paraguay,2030,0.0,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Paraguay,2035,0.0,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Paraguay,2040,0.0,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Paraguay,2045,0.0,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Paraguay,2050,0.0,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Uruguay,2020,1.3131839524524798,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Uruguay,2025,1.925180771191391,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Uruguay,2030,2.1055514451136395,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Uruguay,2035,2.07467076694293,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Uruguay,2040,1.936891084652737,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Uruguay,2045,1.7700488900658287,prm15_fix_wcost_re1_c2p1_tnt1
Brazil,Uruguay,2050,1.7817421778821185,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Brazil,2020,0.4736447999999988,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2025,0.43184339999999893,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2030,0.418629599999999,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2035,0.616604400000001,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2040,0.48122369999999925,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
