period,load_zone,technology,twh,scenario,emis_policy,exist_trd,op_char,fixed_pv,turbine
2025.0,Paraguay,Battery,-0.2020842599999997,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Paraguay,Curtailment,44.55407170702399,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Paraguay,Fossil,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Paraguay,Hydro,28.223734872976,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Paraguay,Solar,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Paraguay,Wind,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Uruguay,BNG,2.536040426148399,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Uruguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Uruguay,Curtailment,0.0045193800000008,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Uruguay,Fossil,0.269700922,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Uruguay,Hydro,5.71909914,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Uruguay,Solar,0.6111554979310344,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2025.0,Uruguay,Wind,5.871452811655172,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,BNG,15.636248999999983,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,Curtailment,2.801292753318308e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,Fossil,97.12545457270392,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,Hydro,47.849307558,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,Solar,17.75526874092949,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,Trans_loss,-0.2202768471179172,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Argentina,Wind,14.293728137647909,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,BNG,82.13100619964221,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,Curtailment,5.759687015351094,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,Fossil,69.37573467993188,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,Hydro,521.6671629736383,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,Solar,84.07587656049293,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,Trans_loss,-0.3995580173926187,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Brazil,Wind,103.36674622457414,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Chile,BNG,2.93548215113087,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Chile,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Chile,Curtailment,1.4171000067841889e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Chile,Fossil,55.22065596956506,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Chile,Hydro,23.073674232,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Chile,Solar,16.019029918717848,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Chile,Wind,9.729895828586208,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Paraguay,BNG,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Paraguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Paraguay,Curtailment,37.01267850499998,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Paraguay,Fossil,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Paraguay,Hydro,35.765128075,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Paraguay,Solar,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Paraguay,Wind,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Uruguay,BNG,2.5646624999999985,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Uruguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Uruguay,Curtailment,0.000117133285268,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Uruguay,Fossil,0.3654994995557776,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Uruguay,Hydro,5.71909914,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Uruguay,Solar,1.8873376107386743,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2030.0,Uruguay,Wind,5.875972191655173,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Argentina,BNG,15.55654365,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Argentina,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Argentina,Curtailment,5.08718045466594e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Argentina,Fossil,131.95841004212622,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Argentina,Hydro,49.433150688,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
