zone,period,timepoint,prm15_wcost_re1_c2p1_t1,prm15_wcost_re2_c2p1_t1,prm15_wcost_re3_c2p1_t1,prm15_wcost_re4_c2p1_t1,prm15_wcost_re5_c2p1_t1,prm15_wcost_re6_c2p1_t1,prm15_wcost_re7_c2p1_t1,prm15_wcost_re8_c2p1_t1,prm15_wcost_re9_c2p1_t1,prm15_wcost_re10_c2p1_t1,prm15_wcost_re11_c2p1_t1,prm15_wcost_re12_c2p1_t1,prm15_wcost_re13_c2p1_t1,prm15_wcost_re14_c2p1_t1,prm15_wcost_re15_c2p1_t1,prm15_wcost_re16_c2p1_t1,prm15_wcost_re17_c2p1_t1,prm15_wcost_re18_c2p1_t1,prm15_wcost_re19_c2p1_t1,prm15_wcost_re20_c2p1_t1,prm15_wcost_re1_c2p1_co2_cut90p_t1,prm15_wcost_re2_c2p1_co2_cut90p_t1,prm15_wcost_re3_c2p1_co2_cut90p_t1,prm15_wcost_re4_c2p1_co2_cut90p_t1,prm15_wcost_re5_c2p1_co2_cut90p_t1,prm15_wcost_re6_c2p1_co2_cut90p_t1,prm15_wcost_re7_c2p1_co2_cut90p_t1,prm15_wcost_re8_c2p1_co2_cut90p_t1,prm15_wcost_re9_c2p1_co2_cut90p_t1,prm15_wcost_re10_c2p1_co2_cut90p_t1,prm15_wcost_re11_c2p1_co2_cut90p_t1,prm15_wcost_re12_c2p1_co2_cut90p_t1,prm15_wcost_re13_c2p1_co2_cut90p_t1,prm15_wcost_re14_c2p1_co2_cut90p_t1,prm15_wcost_re15_c2p1_co2_cut90p_t1,prm15_wcost_re16_c2p1_co2_cut90p_t1,prm15_wcost_re17_c2p1_co2_cut90p_t1,prm15_wcost_re18_c2p1_co2_cut90p_t1,prm15_wcost_re19_c2p1_co2_cut90p_t1,prm15_wcost_re20_c2p1_co2_cut90p_t1
Argentina,2020,20200210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2020,20200219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
