period,load_zone,technology,twh,scenario
2025,Uruguay,BNG,2.5646624999999994,prm15_wcost_re19_c2p1_co2_cut90p_t1
2025,Uruguay,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2025,Uruguay,Curtailment,0.2999802820000006,prm15_wcost_re19_c2p1_co2_cut90p_t1
2025,Uruguay,Fossil,0.2697009219999999,prm15_wcost_re19_c2p1_co2_cut90p_t1
2025,Uruguay,Hydro,5.664771728,prm15_wcost_re19_c2p1_co2_cut90p_t1
2025,Uruguay,Solar,0.5797477079310345,prm15_wcost_re19_c2p1_co2_cut90p_t1
2025,Uruguay,Wind,5.661727111655172,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,BNG,15.684422814491446,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,Curtailment,0.058636893095246785,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,Fossil,42.3363363746832,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,Hydro,49.37762825013089,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,Solar,3.893277307050862,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,Trans_loss,-0.2528845642681876,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Argentina,Wind,81.84262864863565,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,BNG,84.98913037928011,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,Curtailment,5.835540652625986,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,Fossil,87.0052715004805,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,Hydro,528.4981814515113,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,Solar,108.35037162722924,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,Trans_loss,-0.3488441545369431,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Brazil,Wind,50.87134537025,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Chile,BNG,5.207003999999996,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Chile,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Chile,Curtailment,1.5036856204631024e-15,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Chile,Fossil,48.2907073187506,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Chile,Hydro,24.376078632000258,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Chile,Solar,19.37328208341293,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Chile,Wind,9.729895828586207,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Paraguay,BNG,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Paraguay,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Paraguay,Curtailment,37.01267850499998,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Paraguay,Fossil,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
