,sc_id,technology,2020,2025,2030,2035,2040,2045,2050
0,prm15_wcost_re1_c2p1_t1,Wind,0.029249227941291103,0.08226448368551036,0.10622339384846267,0.10127645283768266,0.09757567446732948,0.10935395095264103,0.17359215148394017
1,prm15_wcost_re1_c2p1_t1,Solar,0.015236195398643527,0.03998442018243068,0.0954398894461104,0.0924721083629194,0.10156935979004561,0.12051708453448602,0.13940047866821054
2,prm15_wcost_re1_c2p1_t1,Fossil,0.20451019356034358,0.1818868751068863,0.17702047692908532,0.2247285081980901,0.26126768062505573,0.2990837936316529,0.2779912227638621
3,prm15_wcost_re1_c2p1_t1,Hydro,0.5740076247544006,0.5627030001221753,0.5054054200017317,0.4798257013674853,0.45835384510914984,0.41145130291733134,0.35828845774180745
4,prm15_wcost_re1_c2p1_t1,BNG,0.12313770995660135,0.08709355720454913,0.0823119588183341,0.07943205187758183,0.06983109593691704,0.05745745457446303,0.05021210849483933
5,prm15_wcost_re1_c2p1_t1,Curtailment,0.054316668570698515,0.04669940093925347,0.034092916407613694,0.02264127511309447,0.011742021837646317,0.002671417384427305,0.0013989377925016954
6,prm15_wcost_re1_c2p1_t1,Battery,0.0,-0.00018331970123680168,0.0,0.0,0.0,-0.000254618573406483,-0.0006524210411098549
7,prm15_wcost_re2_c2p1_t1,Wind,0.029249227941291103,0.038217807533089246,0.03606010816102617,0.03190739428922947,0.0301158456385358,0.04827817944274785,0.08714952597636907
8,prm15_wcost_re2_c2p1_t1,Solar,0.015236195398643527,0.06501163273897065,0.1531230834146527,0.14456569759744342,0.13650420398606747,0.15018932672081853,0.15515638780937324
9,prm15_wcost_re2_c2p1_t1,Fossil,0.20451019356034358,0.19527927899008857,0.18986542522347927,0.2499000887267195,0.30377867420411353,0.32894934150541655,0.34601420652716985
10,prm15_wcost_re2_c2p1_t1,Hydro,0.5740076247544006,0.5632514175467972,0.5033661715966532,0.47242803210672146,0.44936931349101156,0.4117013571223899,0.3586599250190217
11,prm15_wcost_re2_c2p1_t1,BNG,0.12313770995660135,0.09247480062662744,0.08312178881907412,0.08054726904124139,0.07040645657813277,0.058775850028318304,0.053142963009049686
12,prm15_wcost_re2_c2p1_t1,Curtailment,0.05431666857069852,0.046395634698352235,0.0349440833472621,0.021049897998741095,0.010174955205104861,0.0026541163717793033,0.0011495863344866035
13,prm15_wcost_re2_c2p1_t1,Battery,0.0,-0.00018337550319948238,0.0,0.0,0.0,-0.0002546973958227638,-0.0010135951603925976
14,prm15_wcost_re3_c2p1_t1,Wind,0.029249227941291103,0.025031055864855448,0.02198337677565138,0.019340852608200128,0.01766241575599091,0.023330914784248733,0.047120290627160576
15,prm15_wcost_re3_c2p1_t1,Solar,0.015236195398643527,0.07615290917292346,0.16605471857011722,0.15522880311476572,0.14655873297975786,0.15955016135894784,0.15813969008679843
16,prm15_wcost_re3_c2p1_t1,Fossil,0.20451019356034358,0.19800207334437162,0.1913909039567915,0.25268298693405566,0.30621339217703214,0.34320936175455513,0.38061342171112655
17,prm15_wcost_re3_c2p1_t1,Hydro,0.5740076247544006,0.5628525077672064,0.503190325342833,0.4713634833159264,0.4491331572609646,0.41250988937521293,0.36108532509963565
18,prm15_wcost_re3_c2p1_t1,BNG,0.12313770995660135,0.09191225374889905,0.08256023101952051,0.08055926464930284,0.07047680750516774,0.059422738341731736,0.05331616117617121
19,prm15_wcost_re3_c2p1_t1,Curtailment,0.05431666857069852,0.046685112089646444,0.035315100457188456,0.021223864602349807,0.010344413828221067,0.0025876058598594057,0.0010726305872719784
20,prm15_wcost_re3_c2p1_t1,Battery,0.0,-0.0001833197438440134,0.0,0.0,0.0,-0.0002824571014255579,-0.001064630172536597
21,prm15_wcost_re4_c2p1_t1,Wind,0.029249227941291103,0.03222004157394691,0.02837718993460246,0.025053447297236027,0.023705745792242817,0.043894384933533696,0.07917665233530566
22,prm15_wcost_re4_c2p1_t1,Solar,0.015236195398643527,0.06999899599431735,0.16036774683339106,0.15037541062793125,0.14172295585464553,0.15488121532824994,0.15674752186082364
23,prm15_wcost_re4_c2p1_t1,Fossil,0.20451019356034358,0.19648748437865576,0.19062926329004892,0.25151591185590405,0.30511346499632236,0.3280408621203278,0.3499854564150847
24,prm15_wcost_re4_c2p1_t1,Hydro,0.5740076247544006,0.5629483673585016,0.5030317442114192,0.4718075208802869,0.4491679872468119,0.4124842199198625,0.3610405347866176
25,prm15_wcost_re4_c2p1_t1,BNG,0.12313770995660135,0.09249363158143549,0.08299945194689108,0.08054365750556651,0.07041669049301619,0.058632382650623247,0.05317965678122658
26,prm15_wcost_re4_c2p1_t1,Curtailment,0.05431666857069852,0.0464748864759928,0.035081962005941526,0.02110129355576344,0.010235725508437283,0.0026281660226696217,0.001150834528406317
27,prm15_wcost_re4_c2p1_t1,Battery,0.0,-0.0001833632580767944,0.0,0.0,0.0,-0.0002546977849590332,-0.0010174014759524732
28,prm15_wcost_re5_c2p1_t1,Wind,0.029249227941291103,0.04708955496881374,0.051114200097749,0.04552818889519274,0.042545481774666945,0.05454693768408765,0.09106240872160418
29,prm15_wcost_re5_c2p1_t1,Solar,0.015236195398643527,0.06139372338214586,0.14107876033504035,0.13422865906272735,0.12892004699708828,0.14305615689174994,0.1507746713084627
30,prm15_wcost_re5_c2p1_t1,Fossil,0.20451019356034358,0.19214462136573968,0.1875168868068934,0.24586779347293983,0.29877658763364084,0.329941330143796,0.3464813510692268
