sc_id,technology,2020,2025,2030,2035,2040,2045,2050
prm15_wcost_re1_c2p1_t1,Wind,0.030914239460282957,0.08623723146282501,0.1099164617640798,0.1035827409356607,0.09870109835096234,0.10958807638635423,0.17368169844119
prm15_wcost_re1_c2p1_t1,Solar,0.016103515414586225,0.041915363030309336,0.09875804734724376,0.0945779021277755,0.1027408462694067,0.1207751100968062,0.13947238796017564
prm15_wcost_re1_c2p1_t1,Fossil,0.2161519308640666,0.19067062535281246,0.18317494648676752,0.22984607175024452,0.26428110471258537,0.29972412827242806,0.2781346236487977
prm15_wcost_re1_c2p1_t1,Hydro,0.6066829934555357,0.5898772677146116,0.522976846345444,0.49075239037723356,0.4636404328499654,0.4123322149823111,0.35847327969910364
prm15_wcost_re1_c2p1_t1,BNG,0.13014732080552857,0.09129951243944161,0.0851736980564651,0.08124089480908582,0.07063651781708019,0.05758047026210041,0.05023801025073311
prm15_wcost_re2_c2p1_t1,Wind,0.030914239460282957,0.04005073177869217,0.037347221236343486,0.032580225408471684,0.030414685314689917,0.048380065207895444,0.08713880717626303
prm15_wcost_re2_c2p1_t1,Solar,0.016103515414586225,0.06812958757691685,0.1585885890064777,0.14761415399086794,0.13785873583625977,0.15050628470570068,0.15513730462690642
prm15_wcost_re2_c2p1_t1,Fossil,0.2161519308640666,0.20464486399427523,0.1966423952276887,0.2551697310821118,0.3067930713992407,0.32964355275656415,0.3459716491285832
prm15_wcost_re2_c2p1_t1,Hydro,0.6066829934555357,0.5902649289497705,0.5213330944422898,0.4823901204779131,0.4538284072760261,0.4125702073621232,0.3586158122829023
prm15_wcost_re2_c2p1_t1,BNG,0.13014732080552857,0.09690988770034532,0.08608870008720022,0.08224576904063544,0.07110510017378348,0.058899889967716536,0.053136426785345026
prm15_wcost_re3_c2p1_t1,Wind,0.030914239460282957,0.026239357278724586,0.022776463349875865,0.01975218412700233,0.017840021993636622,0.02337712983605133,0.047107341351294026
prm15_wcost_re3_c2p1_t1,Solar,0.016103515414586225,0.07982896935674835,0.1720454164155206,0.15853013117100526,0.1480324693880874,0.15986620635934767,0.15809623121918262
prm15_wcost_re3_c2p1_t1,Fossil,0.2161519308640666,0.20756004750505958,0.19829564647682785,0.2580569215219753,0.3092925524262663,0.3438892081548914,0.38050882413478204
prm15_wcost_re3_c2p1_t1,Hydro,0.6066829934555357,0.5900225754066538,0.5213437462381644,0.4813882046365383,0.453649461902701,0.4133270097531687,0.3609860941011879
prm15_wcost_re3_c2p1_t1,BNG,0.13014732080552857,0.0963490504528137,0.08553872751961125,0.08227255854347879,0.07118549428930872,0.05954044589654092,0.05330150919355339
prm15_wcost_re4_c2p1_t1,Wind,0.030914239460282957,0.033768371347470294,0.029394066001515257,0.025583121572321232,0.023942130169204916,0.04398529969103561,0.07916637478402307
prm15_wcost_re4_c2p1_t1,Solar,0.016103515414586225,0.07336278835212681,0.16611440899533958,0.15355461330092135,0.1431361614510664,0.15520200779759408,0.15672717519742185
prm15_wcost_re4_c2p1_t1,Fossil,0.2161519308640666,0.20592966406951568,0.19746032499628566,0.25683340396404075,0.30815593651179374,0.32872030564084986,0.3499400264383128
prm15_wcost_re4_c2p1_t1,Hydro,0.6066829934555357,0.5900007755975508,0.5210575227597826,0.4817823679996126,0.45364691382213196,0.4133385638839975,0.36099366980177766
prm15_wcost_re4_c2p1_t1,BNG,0.13014732080552857,0.09693840063333639,0.08597367724707687,0.08224649316310409,0.07111885804580297,0.05875382298652299,0.05317275377846453
prm15_wcost_re5_c2p1_t1,Wind,0.030914239460282957,0.049356949734524744,0.05292817721379832,0.04650147941744799,0.0429739387287652,0.054662637196257656,0.09105696882467763
prm15_wcost_re5_c2p1_t1,Solar,0.016103515414586225,0.06434987378824712,0.1460854638013759,0.13709816661071106,0.13021834445088432,0.14335959331307851,0.15076566431334182
prm15_wcost_re5_c2p1_t1,Fossil,0.2161519308640666,0.20139651828922372,0.1941716195600231,0.2511238952182981,0.3017854360789674,0.3306411687151829,0.34646065292535766
prm15_wcost_re5_c2p1_t1,Hydro,0.6066829934555357,0.5892009223912261,0.520639511261699,0.48301815212626775,0.45396326800735914,0.41237448406827015,0.35862217282423536
prm15_wcost_re5_c2p1_t1,BNG,0.13014732080552857,0.09569573579677831,0.08617522816310365,0.08225830662727511,0.07105901273402393,0.058962116707210806,0.05309454111238746
prm15_wcost_re6_c2p1_t1,Wind,0.030914239460282957,0.07533718065150789,0.08131083986508168,0.0740909928213335,0.07333317852591004,0.08940918640865331,0.13677038758534224
prm15_wcost_re6_c2p1_t1,Solar,0.016103515414586225,0.043488501607305684,0.12203817328096188,0.11409835689692757,0.11248903599573616,0.13219853730536799,0.14337343407882472
prm15_wcost_re6_c2p1_t1,Fossil,0.2161519308640666,0.19598705706334513,0.18648855344841303,0.24543700459160078,0.28545953460055806,0.30804675701684386,0.30992866236277483
prm15_wcost_re6_c2p1_t1,Hydro,0.6066829934555357,0.5900955869804192,0.5242259465235487,0.48416367416911665,0.4580223584247586,0.4123776132637882,0.35846384839097123
prm15_wcost_re6_c2p1_t1,BNG,0.13014732080552857,0.09509167369742218,0.0859364868819947,0.08220997152102164,0.07069589245303709,0.05796790600534662,0.05146366758208705
prm15_wcost_re7_c2p1_t1,Wind,0.030914239460282957,0.05597508940378339,0.06344703510889395,0.0556655311566207,0.051125047089094565,0.058936458819651254,0.09984678590293379
prm15_wcost_re7_c2p1_t1,Solar,0.016103515414586225,0.06167650397695836,0.13685791228081337,0.12908253465254013,0.1275883057210659,0.13840946528724513,0.14916407098901707
