period,Battery,Biomass_new,Coal_new,Diesel_new,Gas_new,Geothermal_new,Hydro_new,Nuclear_new,Solar_new,Wind_new,sc_name,total_new_cap,emis_policy,op_char,fixed_pv,turbine,Battery_trd,Biomass_new_trd,Coal_new_trd,Diesel_new_trd,Gas_new_trd,Geothermal_new_trd,Hydro_new_trd,Nuclear_new_trd,Solar_new_trd,Wind_new_trd,sc_name_trd,total_new_cap_trd,gas_diff,hydro_diff,solar_diff,wind_diff,nuclear_diff,battery_diff,total_diff
2050,0.0,0.0,0.0,0.0,161.956762922703,0.0,57.174,0.0,86.026016556259,91.037896618012,prm15_wcost_re15_c2p1_tn,396.194676096974,False,15,True,5,2.5756610444768886,0.0,0.0,0.125,159.90218621462589,0.0,57.174,0.0,88.2709005627753,85.86922192717674,prm15_wcost_re15_c2p1_t1,393.91696974905483,-2.0545767080771213,0.0,2.244884006516301,-5.16867469083526,0.0,2.5756610444768886,-2.2777063479191497
2050,0.4184698737316999,0.0,0.0,0.0,101.571184269555,0.2,81.514,8.75090182026,170.1069445895267,304.4475522915587,prm15_wcost_re18_c2p1_co2_cut90p_tn,667.0090528446322,True,18,True,8,16.59660258331551,15.249722216050024,0.0,0.0,72.30924457137974,0.2,81.637,9.95,193.41085120785095,276.5434450340365,prm15_wcost_re18_c2p1_co2_cut90p_t1,665.8968656126327,-29.26193969817527,0.12300000000000466,23.30390661832425,-27.904107257522185,1.19909817974,16.17813270958381,-1.1121872319994281
2050,6.95635422072,0.0,0.0,0.0,106.2920089798738,0.2,80.877,0.0,192.3784651484276,289.48109439555816,prm15_wcost_re9_c2p1_co2_cut90p_tn,676.1849227445796,True,9,False,9,16.104222840232556,3.834424195974925,0.0,0.0,85.00235054164254,0.2,81.637,9.95,208.27648495741167,270.2600193771983,prm15_wcost_re9_c2p1_co2_cut90p_t1,675.26450191246,-21.289658438231257,0.7600000000000051,15.89801980898406,-19.22107501835984,9.95,9.147868619512556,-0.9204208321195892
2050,0.365588008805,0.0,0.0,0.0,104.624059909648,0.2,80.012,5.6526298459,176.32346536047885,317.24977788526564,prm15_wcost_re19_c2p1_co2_cut90p_tn,684.4275210100975,True,19,True,9,16.44806018436728,9.57869828271685,0.0,0.0,73.44653077219893,0.2,83.764,9.95,193.33190415223888,296.985686085735,prm15_wcost_re19_c2p1_co2_cut90p_t1,683.7048794772569,-31.17752913744907,3.7519999999999953,17.008438791760028,-20.26409179953066,4.297370154099999,16.08247217556228,-0.7226415328406119
2050,0.0,0.0,0.0,0.0,163.07435098464302,0.0,57.174,0.0,93.0491305266908,82.09719212281338,prm15_wcost_re12_c2p1_tn,395.39467363414724,False,12,True,2,2.56991812945088,0.0,0.0,0.125,160.77222878235665,0.0,57.174,0.0,95.2720293657022,78.95482470553857,prm15_wcost_re12_c2p1_t1,394.86800098304826,-2.3021222022863697,0.0,2.2228988390113926,-3.142367417274812,0.0,2.56991812945088,-0.526672651098977
2050,6.8710006065556,0.0,0.0,0.0,100.427810215409,0.2,81.814,8.00272446373,191.1948561554186,265.5597177149495,prm15_wcost_re3_c2p1_co2_cut90p_tn,654.0701091560627,True,3,False,3,16.125763920501374,14.067313291233017,0.0,0.0,75.89449474589397,0.2,83.764,9.95,210.3276033178273,244.07142433897232,prm15_wcost_re3_c2p1_co2_cut90p_t1,654.400599614428,-24.53331546951503,1.9500000000000028,19.13274716240872,-21.48829337597718,1.9472755362699985,9.254763313945773,0.3304904583652615
2050,0.0,0.0,0.0,0.0,160.882020890249,0.0,57.174,0.0,81.88810874023618,99.6358328782099,prm15_wcost_re17_c2p1_tn,399.5799625086951,False,17,True,7,2.5753555688749765,0.0,0.0,0.125,158.73145032041649,0.0,57.174,0.0,86.42939653690237,95.23755288566696,prm15_wcost_re17_c2p1_t1,400.2727553118608,-2.1505705698325244,0.0,4.541287796666197,-4.398279992542939,0.0,2.5753555688749765,0.6927928031657302
2050,6.9617383697934,0.0,0.0,0.0,103.58779179262,0.2,81.814,3.79951409213,189.9207867310456,273.1796459634949,prm15_wcost_re8_c2p1_co2_cut90p_tn,659.463476949084,True,8,False,8,16.147940063654435,8.172261993375333,0.0,0.0,82.66764125344729,0.2,81.637,9.95,207.5369530342938,253.88525351618247,prm15_wcost_re8_c2p1_co2_cut90p_t1,660.1970498609533,-20.92015053917271,-0.1769999999999925,17.61616630324818,-19.294392447312447,6.150485907869999,9.186201693861035,0.7335729118692598
2050,0.0,0.0,0.0,0.0,164.908557658653,0.0,53.27,0.0,132.050267818471,98.65553873023453,prm15_wcost_re1_c2p1_tn,448.88436420735854,False,1,False,1,3.596233569912263,0.0,0.0,0.125,161.25155771984734,0.0,53.32,0.0,134.2638411374437,97.74166968192232,prm15_wcost_re1_c2p1_t1,450.29830210912564,-3.6569999388056544,0.04999999999999716,2.213573318972692,-0.9138690483122076,0.0,3.596233569912263,1.413937901767099
2050,0.0,0.0,0.0,0.0,166.458114944621,0.0,57.174,0.0,117.15436580267306,55.0270804437636,prm15_wcost_re18_c2p1_tn,395.81356119105766,False,18,True,8,2.382265706185433,0.0,0.0,0.125,163.50673432758904,0.0,57.174,0.0,117.0624685085188,58.57999972980276,prm15_wcost_re18_c2p1_t1,398.830468272096,-2.9513806170319583,0.0,-0.09189729415425063,3.552919286039156,0.0,2.382265706185433,3.0169070810383687
