period,scs_id,wt_costs_per_mwh,MtCO2
2020,prm15_wcost_re10_c2p1_co2_cut90p_t1,20.397189940498173,101.83971000000066
2020,prm15_wcost_re10_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re11_c2p1_co2_cut90p_t1,20.397189940498166,101.83971000000057
2020,prm15_wcost_re11_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re12_c2p1_co2_cut90p_t1,20.397189940498155,101.83971000000041
2020,prm15_wcost_re12_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re13_c2p1_co2_cut90p_t1,20.397189940498166,101.83971000000045
2020,prm15_wcost_re13_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re14_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000084
2020,prm15_wcost_re14_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re15_c2p1_co2_cut90p_t1,20.397189940498183,101.83971000000095
2020,prm15_wcost_re15_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re16_c2p1_co2_cut90p_t1,20.397189940498183,101.83971000000092
2020,prm15_wcost_re16_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re17_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000085
2020,prm15_wcost_re17_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re18_c2p1_co2_cut90p_t1,20.39718994049819,101.83971000000103
2020,prm15_wcost_re18_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re19_c2p1_co2_cut90p_t1,20.397189940498183,101.83971000000093
2020,prm15_wcost_re19_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re1_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000082
2020,prm15_wcost_re1_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re20_c2p1_co2_cut90p_t1,20.397189940498166,101.83971000000052
2020,prm15_wcost_re20_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re2_c2p1_co2_cut90p_t1,20.397189940498176,101.8397100000008
2020,prm15_wcost_re2_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re3_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000085
2020,prm15_wcost_re3_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re4_c2p1_co2_cut90p_t1,20.397189940498173,101.83971000000071
2020,prm15_wcost_re4_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re5_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000076
2020,prm15_wcost_re5_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re6_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000086
2020,prm15_wcost_re6_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re7_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000078
2020,prm15_wcost_re7_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re8_c2p1_co2_cut90p_t1,20.397189940498176,101.83971000000085
2020,prm15_wcost_re8_c2p1_t1,20.017603739345763,107.50545537774678
2020,prm15_wcost_re9_c2p1_co2_cut90p_t1,20.397189940498176,101.8397100000008
2020,prm15_wcost_re9_c2p1_t1,20.017603739345763,107.50545537774678
2025,prm15_wcost_re10_c2p1_co2_cut90p_t1,21.630764804035504,96.74772500000147
2025,prm15_wcost_re10_c2p1_t1,21.656425840127987,104.06348285274217
2025,prm15_wcost_re11_c2p1_co2_cut90p_t1,21.81548854698631,96.74772500000083
2025,prm15_wcost_re11_c2p1_t1,21.816527200172363,112.44404224685861
2025,prm15_wcost_re12_c2p1_co2_cut90p_t1,22.46356823787379,96.74772500000105
2025,prm15_wcost_re12_c2p1_t1,22.323554476799373,124.0615675572712
2025,prm15_wcost_re13_c2p1_co2_cut90p_t1,22.99675701411695,96.74772500000032
2025,prm15_wcost_re13_c2p1_t1,22.596637283385146,136.3449655150247
2025,prm15_wcost_re14_c2p1_co2_cut90p_t1,22.65015171807078,96.7477250000012
2025,prm15_wcost_re14_c2p1_t1,22.454394406124237,129.43542878752024
2025,prm15_wcost_re15_c2p1_co2_cut90p_t1,22.33816450973012,96.74772500000032
2025,prm15_wcost_re15_c2p1_t1,22.228931886715227,121.6428433242086
2025,prm15_wcost_re16_c2p1_co2_cut90p_t1,21.976655761286555,96.74772499999949
2025,prm15_wcost_re16_c2p1_t1,21.953809092858897,114.40268081772406
2025,prm15_wcost_re17_c2p1_co2_cut90p_t1,22.248422144614178,96.74772500000098
2025,prm15_wcost_re17_c2p1_t1,22.169199424353497,120.21005678275495
2025,prm15_wcost_re18_c2p1_co2_cut90p_t1,22.86809883563769,96.7477250000004
2025,prm15_wcost_re18_c2p1_t1,22.53758193756504,132.5458734928823
2025,prm15_wcost_re19_c2p1_co2_cut90p_t1,22.942181181745088,96.74772500000105
2025,prm15_wcost_re19_c2p1_t1,22.596637283385146,136.3449655150247
2025,prm15_wcost_re1_c2p1_co2_cut90p_t1,21.66283877424555,96.74772499999946
2025,prm15_wcost_re1_c2p1_t1,21.692917245091085,104.75228273012041
2025,prm15_wcost_re20_c2p1_co2_cut90p_t1,21.764043610787283,96.74772500000037
2025,prm15_wcost_re20_c2p1_t1,21.774782610477533,111.78129241767633
2025,prm15_wcost_re2_c2p1_co2_cut90p_t1,21.948669076858174,96.74772499999989
2025,prm15_wcost_re2_c2p1_t1,21.990919574594603,111.1587402359302
