,sc_id,technology,load_zone,2020,2025,2030,2035,2040,2045,2050
0,prm15_wcost_re1_c2p1_t1,Wind,Argentina,0.04546315120282305,0.03859289540951813,0.07427638799600587,0.0624781810308287,0.05276410459649708,0.04457634916788481,0.13276541040451587
1,prm15_wcost_re1_c2p1_t1,Wind,Brazil,0.009058108006773645,0.09072341068296871,0.11936435647751961,0.11462979250077833,0.10931873526679427,0.12676377577436043,0.2008526748767483
2,prm15_wcost_re1_c2p1_t1,Wind,Chile,0.11734349854704383,0.10330733993077061,0.09095167882323534,0.08007370744112152,0.07049873010552883,0.062067749798957704,0.0
3,prm15_wcost_re1_c2p1_t1,Wind,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.06339918187877151
4,prm15_wcost_re1_c2p1_t1,Wind,Uruguay,0.41450762897729354,0.39111812269650104,0.3580140050624266,0.3765794732086084,0.48310541035920296,0.5710967347878286,0.6101408645172115
5,prm15_wcost_re1_c2p1_t1,Solar,Argentina,0.007630024140916606,0.02013585867449388,0.09226404876843047,0.07760864653113161,0.0655420928650375,0.05537149240166969,0.04404979426564917
6,prm15_wcost_re1_c2p1_t1,Solar,Brazil,0.007771291138699329,0.032099866656118727,0.09708792496112024,0.09551230973591185,0.11305145916258892,0.14410020552449224,0.1688587441095347
7,prm15_wcost_re1_c2p1_t1,Solar,Chile,0.09380234151198483,0.16830027469739442,0.14974031478800787,0.13183112520418086,0.11606714878428206,0.10218661726016318,0.1251851838705418
8,prm15_wcost_re1_c2p1_t1,Solar,Paraguay,0.0,0.0,0.0,0.0,0.0,0.017382792217943966,0.07682050218652806
9,prm15_wcost_re1_c2p1_t1,Solar,Uruguay,0.043112630237358465,0.040711217256474454,0.1149925960992629,0.20692420243174697,0.1895895178969672,0.16966735447707254,0.17662486964286023
10,prm15_wcost_re1_c2p1_t1,Fossil,Argentina,0.5365924390073775,0.5501620671614301,0.5047058317227595,0.5767929368571967,0.6329767836360248,0.6895560082745716,0.6462788906765101
11,prm15_wcost_re1_c2p1_t1,Fossil,Brazil,0.12298101237239074,0.09090322584795316,0.08011270769067226,0.12183504631658618,0.14992582638435742,0.17831085527378185,0.14787033162165186
12,prm15_wcost_re1_c2p1_t1,Fossil,Chile,0.4937823410276032,0.4484675058111118,0.5161834673909381,0.567352823135199,0.6249240071112966,0.6735173315332054,0.7283253547801642
13,prm15_wcost_re1_c2p1_t1,Fossil,Paraguay,0.0,0.0,0.0,0.0,0.0,0.04211373349508446,0.07890933786692318
14,prm15_wcost_re1_c2p1_t1,Fossil,Uruguay,0.00901780964589605,0.017965726999076243,0.022269325894719215,0.014951388888893231,0.0019569694863954897,0.0018620440935770929,0.002234956500803804
15,prm15_wcost_re1_c2p1_t1,Hydro,Argentina,0.29883050656621846,0.2957148397382796,0.2486456786705796,0.2160733230593906,0.19253108452063225,0.16312001975569226,0.1367792338795578
16,prm15_wcost_re1_c2p1_t1,Hydro,Brazil,0.7064695246718383,0.6792955925362097,0.60240326292672,0.5689482844381724,0.5405904505486114,0.4818416886269818,0.4217330202162572
17,prm15_wcost_re1_c2p1_t1,Hydro,Chile,0.25956635935629196,0.24498514160181345,0.21568467381276768,0.20060677147292313,0.1766188064891357,0.1554968702918308,0.13690253167008376
18,prm15_wcost_re1_c2p1_t1,Hydro,Paraguay,0.32520827165536176,0.3888867236971098,0.4914290462393324,0.6235933848887373,0.7913107303075309,0.8841647610565755,0.7694619681333875
19,prm15_wcost_re1_c2p1_t1,Hydro,Uruguay,0.40344136205649966,0.38096930877341134,0.34845596978288707,0.2787501135812977,0.22586323611247908,0.1841451129019865,0.1484178453999216
20,prm15_wcost_re1_c2p1_t1,BNG,Argentina,0.11324767630224346,0.09661438135591977,0.08125270652567983,0.06799797372798123,0.05714551689663455,0.04819924082638543,0.04074683006626322
21,prm15_wcost_re1_c2p1_t1,BNG,Brazil,0.15058945429989043,0.09824803169457126,0.09484205568948058,0.09436343410595946,0.08403390070383525,0.06918609835649475,0.06086432071212896
22,prm15_wcost_re1_c2p1_t1,BNG,Chile,0.035505459557076256,0.03493973795890978,0.02743986518505092,0.020135572746575386,0.011891307509756793,0.006731431115843079,0.009586929679210127
23,prm15_wcost_re1_c2p1_t1,BNG,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0009348165840310803,0.0010299666432012258
24,prm15_wcost_re1_c2p1_t1,BNG,Uruguay,0.1299205690829522,0.1689345724772981,0.1562609664086542,0.12184077842054272,0.0908124612012109,0.06604761199161106,0.04614308900133013
25,prm15_wcost_re1_c2p1_t1,Curtailment,Argentina,2.6622475714272523e-17,2.8305440199151004e-17,1.4556727638315707e-17,2.2236170880147548e-17,1.5856065695637977e-17,3.058863700223362e-17,1.7900504102940175e-17
26,prm15_wcost_re1_c2p1_t1,Curtailment,Brazil,0.0034286455395655443,0.009121163886154304,0.00665108808403088,0.005035791799720329,0.003341352959845562,-1.0741043468904892e-18,1.0291411836469849e-17
27,prm15_wcost_re1_c2p1_t1,Curtailment,Chile,4.87556205952177e-18,1.5908968451453135e-17,1.3246557511825698e-17,1.1437556222980613e-17,2.7478713192869367e-17,2.452414754496635e-17,1.289154288540242e-17
28,prm15_wcost_re1_c2p1_t1,Curtailment,Paraguay,0.6747917283446383,0.6138977371878811,0.5085709537606676,0.37640661511126283,0.20868926969246931,0.06154433768642485,0.02486962007132541
29,prm15_wcost_re1_c2p1_t1,Curtailment,Uruguay,3.2684257616135936e-17,0.00030105179723894146,7.136752050064392e-06,0.0009540434689109889,0.008672404943744398,0.007181141747924129,0.017596472570488936
