sc_id,technology,load_zone,2020,2025,2030,2035,2040,2045,2050
prm15_wcost_re1_c2p1_t1,Wind,Argentina,0.04538310460909766,0.038545867818761015,0.07419146446292745,0.06241881691550294,0.05271352162285287,0.04453968808624116,0.13268312573113628
prm15_wcost_re1_c2p1_t1,Wind,Brazil,0.009086554460584786,0.09152238948155923,0.1201077867146509,0.11517238491281104,0.10965643629111874,0.12673809565072494,0.2008167103035811
prm15_wcost_re1_c2p1_t1,Wind,Chile,0.11734349854704383,0.10330733993077061,0.09095167882323534,0.08007370744112152,0.07049873010552883,0.062067749798957704,0.0
prm15_wcost_re1_c2p1_t1,Wind,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.06406410600844445
prm15_wcost_re1_c2p1_t1,Wind,Uruguay,0.4145076289772936,0.39123590496883626,0.35801656013784605,0.3769390894851089,0.48733174862522394,0.5752275251834789,0.6203382167118116
prm15_wcost_re1_c2p1_t1,Solar,Argentina,0.00761659002061557,0.020111322010135352,0.09215855913425552,0.07753490608979775,0.06547926011195031,0.05532595303288866,0.04402249330734577
prm15_wcost_re1_c2p1_t1,Solar,Brazil,0.007795696420052194,0.03238256229887234,0.09769261216596455,0.09596441082924735,0.11340069109860985,0.14407101334343606,0.16882850835259905
prm15_wcost_re1_c2p1_t1,Solar,Chile,0.09380234151198483,0.16830027469739442,0.14974031478800787,0.1318311252041809,0.11606714878428206,0.10218661726016318,0.1251851838705418
prm15_wcost_re1_c2p1_t1,Solar,Paraguay,0.0,0.0,0.0,0.0,0.0,0.018402354356776604,0.07762618774971224
prm15_wcost_re1_c2p1_t1,Solar,Uruguay,0.04311263023735847,0.04072347713245499,0.11499341677876582,0.20712180563768462,0.19124809885495866,0.17089457262705837,0.17957682075254167
prm15_wcost_re1_c2p1_t1,Fossil,Argentina,0.5356476651449209,0.5494916640659895,0.5041287788591027,0.5762448926942948,0.6323699724675438,0.6889888943321083,0.6458783432201401
prm15_wcost_re1_c2p1_t1,Fossil,Brazil,0.12336722698646718,0.0917037882345438,0.08061166911461227,0.12241174431288225,0.15038896845254116,0.17827473261349494,0.14784385403869646
prm15_wcost_re1_c2p1_t1,Fossil,Chile,0.4937823410276032,0.4484675058111118,0.5161834673909381,0.5673528231351991,0.6249240071112966,0.6735173315332054,0.7283253547801642
prm15_wcost_re1_c2p1_t1,Fossil,Paraguay,0.0,0.0,0.0,0.0,0.0,0.04458385265995328,0.07973693092489921
prm15_wcost_re1_c2p1_t1,Fossil,Uruguay,0.00901780964589605,0.017971137242241447,0.0222694848265107,0.01496566678554788,0.0019740895907214566,0.0018755124140725392,0.002272309577615568
prm15_wcost_re1_c2p1_t1,Hydro,Argentina,0.2983043581686922,0.2953544947494818,0.2483613908896697,0.21586801936044667,0.19234651217076537,0.16298586439138787,0.1366944615390016
prm15_wcost_re1_c2p1_t1,Hydro,Brazil,0.7086881505358188,0.6852779820024636,0.6061551769303833,0.5716413628712776,0.5422604108572883,0.48174407592918156,0.4216575049258987
prm15_wcost_re1_c2p1_t1,Hydro,Chile,0.25956635935629196,0.24498514160181345,0.21568467381276768,0.20060677147292313,0.1766188064891357,0.1554968702918308,0.13690253167008376
prm15_wcost_re1_c2p1_t1,Hydro,Paraguay,1.0,1.0,1.0,1.0,1.0,0.9360241461059307,0.7775320064890217
prm15_wcost_re1_c2p1_t1,Hydro,Uruguay,0.4034413620564997,0.38108403480698905,0.3484584566444918,0.27901630726696536,0.22783914947879752,0.1854770498882206,0.15089836937319173
prm15_wcost_re1_c2p1_t1,BNG,Argentina,0.11304828205667371,0.09649665135563226,0.08115980665404476,0.06793336493995787,0.05709073362688758,0.04815960015737408,0.04072157620237623
prm15_wcost_re1_c2p1_t1,BNG,Brazil,0.15106237159707694,0.09911327798256105,0.0954327550743889,0.09481009707378167,0.08429349330044195,0.06917208246316245,0.06085342237922468
prm15_wcost_re1_c2p1_t1,BNG,Chile,0.035505459557076256,0.03493973795890978,0.02743986518505092,0.02013557274657539,0.011891307509756793,0.006731431115843079,0.009586929679210127
prm15_wcost_re1_c2p1_t1,BNG,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0009896468773396016,0.0010407688279223512
prm15_wcost_re1_c2p1_t1,BNG,Uruguay,0.12992056908295221,0.16898544584947828,0.15626208161238547,0.12195713082469313,0.09160691345029845,0.06652533988716966,0.04691428358483941
prm15_wcost_re2_c2p1_t1,Wind,Argentina,0.04538310460909766,0.03843643659172053,0.03236451125761225,0.027247848064694408,0.023034777437170802,0.019455772307597378,0.0
prm15_wcost_re2_c2p1_t1,Wind,Brazil,0.009086554460584786,0.027000583436726972,0.027233970804312217,0.024036001238744838,0.021035321258970993,0.04588377972493561,0.1141711878736585
prm15_wcost_re2_c2p1_t1,Wind,Chile,0.11734349854704383,0.10330727484927554,0.09095261456987104,0.08007372139303084,0.07049871592101187,0.06206767045179265,0.0
prm15_wcost_re2_c2p1_t1,Wind,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prm15_wcost_re2_c2p1_t1,Wind,Uruguay,0.4145076289772936,0.39048762487886546,0.3581036124643098,0.29407311159360694,0.38493897165838814,0.5034711837931227,0.5471440296160274
prm15_wcost_re2_c2p1_t1,Solar,Argentina,0.00761659002061557,0.021954784844252388,0.12297712262789123,0.103535070439537,0.08752644608315728,0.07392711349314694,0.059711333865058426
prm15_wcost_re2_c2p1_t1,Solar,Brazil,0.007795696420052194,0.06865997662681901,0.17343046944461807,0.16243428706668106,0.155690409135775,0.18025771548518105,0.18371285568108
