,Latitude,Longitude,project,load_zone,biome
75,-50.25,-69.25,p_wind_Argentina_AR218,Argentina,Patagonia
76,-50.75,-69.25,p_wind_Argentina_AR219,Argentina,Patagonia
77,-51.25,-69.25,p_wind_Argentina_AR220,Argentina,Patagonia
78,-51.75,-69.25,p_wind_Argentina_AR221,Argentina,Patagonia
79,-39.25,-68.75,p_wind_Argentina_AR246,Argentina,Patagonia
80,-39.75,-68.75,p_wind_Argentina_AR247,Argentina,Patagonia
81,-40.25,-68.75,p_wind_Argentina_AR248,Argentina,Patagonia
82,-40.75,-68.75,p_wind_Argentina_AR249,Argentina,Patagonia
83,-41.25,-68.75,p_wind_Argentina_AR250,Argentina,Patagonia
84,-41.75,-68.75,p_wind_Argentina_AR251,Argentina,Patagonia
85,-42.75,-68.75,p_wind_Argentina_AR253,Argentina,Patagonia
86,-43.25,-68.75,p_wind_Argentina_AR254,Argentina,Patagonia
87,-43.75,-68.75,p_wind_Argentina_AR255,Argentina,Patagonia
88,-44.25,-68.75,p_wind_Argentina_AR256,Argentina,Patagonia
89,-44.75,-68.75,p_wind_Argentina_AR257,Argentina,Patagonia
90,-45.25,-68.75,p_wind_Argentina_AR258,Argentina,Patagonia
91,-45.75,-68.75,p_wind_Argentina_AR259,Argentina,Patagonia
92,-46.25,-68.75,p_wind_Argentina_AR260,Argentina,Patagonia
93,-46.75,-68.75,p_wind_Argentina_AR261,Argentina,Patagonia
94,-47.25,-68.75,p_wind_Argentina_AR262,Argentina,Patagonia
95,-47.75,-68.75,p_wind_Argentina_AR263,Argentina,Patagonia
96,-48.25,-68.75,p_wind_Argentina_AR264,Argentina,Patagonia
97,-48.75,-68.75,p_wind_Argentina_AR265,Argentina,Patagonia
98,-49.25,-68.75,p_wind_Argentina_AR266,Argentina,Patagonia
99,-49.75,-68.75,p_wind_Argentina_AR267,Argentina,Patagonia
100,-50.25,-68.75,p_wind_Argentina_AR268,Argentina,Patagonia
101,-52.25,-68.75,p_wind_Argentina_AR269,Argentina,Patagonia
