lz_from,lz_to,period,net_flow_twh,scenario,policy,turbine,solar
Argentina,Uruguay,2030,0.453790848,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Argentina,Uruguay,2035,0.937576288,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Argentina,Uruguay,2040,0.756248258,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Argentina,Uruguay,2045,0.639114772,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Argentina,Uruguay,2050,0.920367896,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Paraguay,2020,0,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Paraguay,2025,0,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Paraguay,2030,0,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Paraguay,2035,0,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Paraguay,2040,0,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Paraguay,2045,0,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Paraguay,2050,0,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Uruguay,2020,-0.077585556,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Uruguay,2025,1.157711453,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Uruguay,2030,1.473819631,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Uruguay,2035,1.37858165,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Uruguay,2040,1.139299917,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Uruguay,2045,0.974642587,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Brazil,Uruguay,2050,0.756007672,trd_cut90_vestas7_1axis,cut90,vestas7,1axis
Argentina,Brazil,2020,0.0558846,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Brazil,2025,0.020196,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Brazil,2030,0.0107379,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Brazil,2035,0.172969752,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Brazil,2040,0.149456893,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Brazil,2045,0.134372949,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Brazil,2050,0.302324725,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Chile,2020,0.006447309,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Chile,2025,0.001722361,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Chile,2030,0.001236683,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Chile,2035,0.002161248,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Chile,2040,0.003294806,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Chile,2045,0.001090331,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Chile,2050,0.003417885,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Paraguay,2020,-0.008606582,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Paraguay,2025,-0.00784893,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Paraguay,2030,-0.00774834,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Paraguay,2035,-0.00736564,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Paraguay,2040,-0.00679426,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Paraguay,2045,-0.003707295,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Paraguay,2050,0.0011535,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Uruguay,2020,-0.990137022,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Uruguay,2025,0.244070767,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Uruguay,2030,0.157526347,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Uruguay,2035,0.715236165,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Uruguay,2040,0.851000562,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Uruguay,2045,0.951005909,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Uruguay,2050,0.935943951,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Paraguay,2020,0,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Paraguay,2025,0,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Paraguay,2030,0,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Paraguay,2035,0,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Paraguay,2040,0,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
