scenario,technology,load_zone,new_build_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re18_c2p1_t1,Wind,Paraguay,0.0,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,Wind,Uruguay,7717.999729802756,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Argentina,1868.3083106052807,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Brazil,109583.5,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Chile,0.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Paraguay,2488.623316887591,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Uruguay,3853.0957734474982,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,Wind,Argentina,1491.7352227069246,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,SolarPV,Brazil,109583.5,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re3_c2p1_t1,SolarPV,Argentina,7771.410606093094,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Brazil,156585.40882745563,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Chile,8909.766297753378,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,Wind,Chile,0.0,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,Wind,Paraguay,1809.3780187943678,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,Wind,Uruguay,6658.20628628062,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Argentina,6849.9,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Brazil,140594.5,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Chile,8909.766297753371,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Paraguay,5621.4,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Uruguay,3694.1420128289355,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Argentina,0.0,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Brazil,64402.480640774615,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Chile,0.0,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Paraguay,337.86308518802696,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Uruguay,6589.2044816263415,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Argentina,7771.410606093095,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,Wind,Brazil,82218.0,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Brazil,156434.60882745552,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Uruguay,4296.359449472198,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Argentina,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Brazil,38745.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Chile,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Paraguay,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Uruguay,6538.809280838827,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Argentina,7763.716401915071,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Brazil,156434.6088274554,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Chile,8909.76629775338,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Uruguay,4506.310008307901,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,Wind,Argentina,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,Wind,Brazil,38430.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Chile,8909.766297753376,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re16_c2p1_t1,Wind,Argentina,8318.068708627894,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re6_c2p1_t1,Wind,Argentina,3258.0,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Paraguay,3841.6,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Uruguay,4620.690888917156,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Argentina,0.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Brazil,28587.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Chile,0.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Paraguay,0.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Uruguay,6203.921787464457,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Argentina,7885.829919621343,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Brazil,152104.15894940696,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Chile,8909.766297753376,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Uruguay,4117.086027475342,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,Wind,Argentina,0.0,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,Wind,Brazil,49621.09642138583,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Uruguay,3356.095760393116,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,Wind,Chile,0.0,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,Wind,Uruguay,6622.161585355635,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,SolarPV,Argentina,7111.567052270434,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,SolarPV,Brazil,142634.6986739865,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,SolarPV,Chile,8909.766297753371,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,SolarPV,Paraguay,6060.2,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,SolarPV,Uruguay,3754.941805602406,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,Wind,Argentina,0.0,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,Wind,Brazil,57827.10934414305,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,Wind,Chile,0.0,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,Wind,Paraguay,48.83068719731842,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,Wind,Uruguay,6648.635064140196,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Argentina,6673.886242712206,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Brazil,127899.570739384,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Chile,8909.766297753376,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,Wind,Paraguay,0.0,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re16_c2p1_t1,SolarPV,Uruguay,2748.715863163657,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,Wind,Uruguay,7584.227203482047,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,SolarPV,Chile,0.0,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,Wind,Chile,0.0,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,Wind,Paraguay,114.97840163601856,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,Wind,Uruguay,7651.403284671534,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,SolarPV,Paraguay,3700.5,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,SolarPV,Argentina,1878.8,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,SolarPV,Brazil,114479.8,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,SolarPV,Chile,0.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,SolarPV,Paraguay,2488.6233168875924,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,SolarPV,Uruguay,3957.6207322724927,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Argentina,585.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,Wind,Brazil,75511.11505691762,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Brazil,42544.678027807466,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Paraguay,0.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Uruguay,7709.872733686067,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Argentina,501.9,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Brazil,98261.3,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Chile,0.0,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Paraguay,2488.6233168875924,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Uruguay,3368.607936072067,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Argentina,5769.0322771278625,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Brazil,69850.44998883453,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Chile,0.0,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Chile,0.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,Wind,Argentina,5851.4430192310265,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Uruguay,3351.5398290852872,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Paraguay,2571.0460592699355,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re10_c2p1_t1,SolarPV,Argentina,5420.539481181021,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Brazil,117854.5,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Chile,8909.512464902957,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Paraguay,3554.8663669040743,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Uruguay,3174.616552191111,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Argentina,12750.0,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Brazil,103274.51263953386,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Chile,0.0,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Paraguay,1940.373831368368,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Uruguay,6530.60097365173,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,SolarPV,Argentina,0.0,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,SolarPV,Brazil,23835.891347964265,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,SolarPV,Chile,0.0,0,1,11,1,"NoCut,Lim",011
