period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2050,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.833625890047962,0.0,0.0,0.0,0.2700000000000031,0.0,0.0,0.0,10.79737232388905,0.0,-29.59199999999999,Trade Vestas V164 7000 Single-Axis
2050,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2050,Paraguay,0.46559888998599774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110365397575169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2738542327245725,0.0,-1.8809891765592095,Trade Vestas V164 7000 Single-Axis
2050,Uruguay,0.10149722224073635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8360915668112776,0.0,-0.05858697457823858,Trade Vestas V164 7000 Single-Axis
2025,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0237394811810292,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2025,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.442644290907555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.809908827455615,0.0,-15.975021170674534,Trade Vestas V90 3000 Single-Axis
2025,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2025,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2025,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2030,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470018,0.0,-1.3577452087162036,Trade Vestas V90 3000 Single-Axis
2030,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.003340079368417,0.0,0.0,0.0,-0.7459999999999987,0.0,0.0,0.0,39.83374970889224,0.0,-25.089,Trade Vestas V90 3000 Single-Axis
