,Latitude,Longitude,project,load_zone,biome
79,-36.25,-69.25,p_solar_Argentina_AR190,Argentina,Atacama/Andes
80,-36.75,-69.25,p_solar_Argentina_AR191,Argentina,Atacama/Andes
81,-37.25,-69.25,p_solar_Argentina_AR192,Argentina,Atacama/Andes
82,-37.75,-69.25,p_solar_Argentina_AR193,Argentina,Atacama/Andes
83,-38.25,-69.25,p_solar_Argentina_AR194,Argentina,Atacama/Andes
84,-38.75,-69.25,p_solar_Argentina_AR195,Argentina,Atacama/Andes
85,-39.25,-69.25,p_solar_Argentina_AR196,Argentina,Atacama/Andes
86,-39.75,-69.25,p_solar_Argentina_AR197,Argentina,Atacama/Andes
87,-40.25,-69.25,p_solar_Argentina_AR198,Argentina,Monte Desert
88,-40.75,-69.25,p_solar_Argentina_AR199,Argentina,Monte Desert
89,-41.25,-69.25,p_solar_Argentina_AR200,Argentina,Monte Desert
90,-41.75,-69.25,p_solar_Argentina_AR201,Argentina,Monte Desert
91,-42.25,-69.25,p_solar_Argentina_AR202,Argentina,Monte Desert
92,-42.75,-69.25,p_solar_Argentina_AR203,Argentina,Monte Desert
93,-27.25,-68.75,p_solar_Argentina_AR222,Argentina,Atacama/Andes
94,-27.75,-68.75,p_solar_Argentina_AR223,Argentina,Atacama/Andes
95,-28.25,-68.75,p_solar_Argentina_AR224,Argentina,Atacama/Andes
96,-28.75,-68.75,p_solar_Argentina_AR225,Argentina,Atacama/Andes
97,-29.25,-68.75,p_solar_Argentina_AR226,Argentina,Atacama/Andes
98,-29.75,-68.75,p_solar_Argentina_AR227,Argentina,Atacama/Andes
99,-30.25,-68.75,p_solar_Argentina_AR228,Argentina,Atacama/Andes
100,-30.75,-68.75,p_solar_Argentina_AR229,Argentina,Atacama/Andes
101,-31.75,-68.75,p_solar_Argentina_AR231,Argentina,Atacama/Andes
102,-32.25,-68.75,p_solar_Argentina_AR232,Argentina,Atacama/Andes
103,-32.75,-68.75,p_solar_Argentina_AR233,Argentina,Atacama/Andes
104,-33.25,-68.75,p_solar_Argentina_AR234,Argentina,Atacama/Andes
105,-33.75,-68.75,p_solar_Argentina_AR235,Argentina,Atacama/Andes
106,-34.25,-68.75,p_solar_Argentina_AR236,Argentina,Atacama/Andes
107,-34.75,-68.75,p_solar_Argentina_AR237,Argentina,Atacama/Andes
108,-35.25,-68.75,p_solar_Argentina_AR238,Argentina,Atacama/Andes
109,-35.75,-68.75,p_solar_Argentina_AR239,Argentina,Atacama/Andes
110,-36.25,-68.75,p_solar_Argentina_AR240,Argentina,Atacama/Andes
111,-36.75,-68.75,p_solar_Argentina_AR241,Argentina,Atacama/Andes
112,-37.25,-68.75,p_solar_Argentina_AR242,Argentina,Atacama/Andes
113,-37.75,-68.75,p_solar_Argentina_AR243,Argentina,Atacama/Andes
114,-38.25,-68.75,p_solar_Argentina_AR244,Argentina,Atacama/Andes
115,-38.75,-68.75,p_solar_Argentina_AR245,Argentina,Atacama/Andes
116,-39.25,-68.75,p_solar_Argentina_AR246,Argentina,Atacama/Andes
117,-39.75,-68.75,p_solar_Argentina_AR247,Argentina,Atacama/Andes
118,-40.25,-68.75,p_solar_Argentina_AR248,Argentina,Monte Desert
119,-40.75,-68.75,p_solar_Argentina_AR249,Argentina,Monte Desert
120,-41.25,-68.75,p_solar_Argentina_AR250,Argentina,Monte Desert
121,-41.75,-68.75,p_solar_Argentina_AR251,Argentina,Monte Desert
122,-42.25,-68.75,p_solar_Argentina_AR252,Argentina,Monte Desert
123,-42.75,-68.75,p_solar_Argentina_AR253,Argentina,Monte Desert
124,-43.25,-68.75,p_solar_Argentina_AR254,Argentina,Monte Desert
125,-43.75,-68.75,p_solar_Argentina_AR255,Argentina,Monte Desert
126,-44.25,-68.75,p_solar_Argentina_AR256,Argentina,Monte Desert
127,-24.75,-68.25,p_solar_Argentina_AR270,Argentina,Atacama/Andes
128,-25.25,-68.25,p_solar_Argentina_AR271,Argentina,Atacama/Andes
129,-25.75,-68.25,p_solar_Argentina_AR272,Argentina,Atacama/Andes
130,-26.25,-68.25,p_solar_Argentina_AR273,Argentina,Atacama/Andes
131,-26.75,-68.25,p_solar_Argentina_AR274,Argentina,Atacama/Andes
132,-27.25,-68.25,p_solar_Argentina_AR275,Argentina,Atacama/Andes
133,-27.75,-68.25,p_solar_Argentina_AR276,Argentina,Atacama/Andes
134,-28.25,-68.25,p_solar_Argentina_AR277,Argentina,Atacama/Andes
135,-28.75,-68.25,p_solar_Argentina_AR278,Argentina,Atacama/Andes
136,-29.25,-68.25,p_solar_Argentina_AR279,Argentina,Atacama/Andes
