period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,0.0,0.0,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,Trade Vestas V90 2000 Single-Axis
2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,0.0,0.0,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,Trade Vestas V90 2000 Single-Axis
2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,0.0,0.0,3.258,0.0,2.507,0.0,Trade Vestas V90 2000 Single-Axis
2020,Paraguay,0.0,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2020,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.0,1.514,0.0,Trade Vestas V90 2000 Single-Axis
2025,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.3778,0.0,0.0,0.0,11.31,0.8,1.755,0.0,0.439,0.6608394811810292,1.609,0.0,Trade Vestas V90 2000 Single-Axis
2025,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,8.63687074016807,0.0,0.0,104.603,11.35,1.99,0.0,2.074,9.0458,1.487,15.975021170674534,Trade Vestas V90 2000 Single-Axis
2025,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.275,0.0,0.0,3.258,2.342886904055439,2.507,0.0,Trade Vestas V90 2000 Single-Axis
2025,Paraguay,0.5082599999999998,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2025,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.0,1.514,0.0,Trade Vestas V90 2000 Single-Axis
