scs_id,costs_per_mwh,MtCO2,op_char,scs_id_ref,costs_per_mwh_ref,MtCO2_ref,load_zone,Solar PV,cost_diff,emis_diff
prm15_wcost_re1_c2p1_co2_cut90p_t1,41.86493037225621,10.183971,1,prm15_wcost_re1_c2p1_tn,35.48649055069886,258.2499020320782,Region Wide,Single Axis,6.37843982155735,-248.0659310320782
prm15_wcost_re2_c2p1_co2_cut90p_t1,45.37413875963381,10.183970999999923,2,prm15_wcost_re2_c2p1_tn,36.46755696591706,328.9523512421559,Region Wide,Single Axis,8.906581793716747,-318.76838024215596
prm15_wcost_re3_c2p1_co2_cut90p_t1,48.406521648993454,10.18397099999999,3,prm15_wcost_re3_c2p1_tn,36.94361386220676,373.3014574260413,Region Wide,Single Axis,11.462907786786694,-363.1174864260413
prm15_wcost_re4_c2p1_co2_cut90p_t1,46.22043150464179,10.183970999999945,4,prm15_wcost_re4_c2p1_tn,36.619324786313065,344.027476963044,Region Wide,Single Axis,9.601106718328722,-333.8435059630441
prm15_wcost_re5_c2p1_co2_cut90p_t1,44.66555427974789,10.183970999999914,5,prm15_wcost_re5_c2p1_tn,36.34920763658635,327.1816370231005,Region Wide,Single Axis,8.316346643161538,-316.9976660231006
prm15_wcost_re6_c2p1_co2_cut90p_t1,42.71269801273825,10.18397099999993,6,prm15_wcost_re6_c2p1_tn,35.934868189296495,306.9704281305461,Region Wide,Single Axis,6.777829823441756,-296.7864571305462
prm15_wcost_re7_c2p1_co2_cut90p_t1,44.218321434047965,10.18397099999996,7,prm15_wcost_re7_c2p1_tn,36.2538010037301,323.60939471637124,Region Wide,Single Axis,7.964520430317862,-313.42542371637126
prm15_wcost_re8_c2p1_co2_cut90p_t1,47.56337777964705,10.183970999999987,8,prm15_wcost_re8_c2p1_tn,36.82568857349032,356.1395077444534,Region Wide,Single Axis,10.73768920615673,-345.9555367444534
prm15_wcost_re9_c2p1_co2_cut90p_t1,47.58020232186429,10.183970999999984,9,prm15_wcost_re9_c2p1_tn,36.87839316349944,356.1218199280126,Region Wide,Single Axis,10.701809158364853,-345.9378489280126
prm15_wcost_re10_c2p1_co2_cut90p_t1,41.47326450089248,10.18397099999992,10,prm15_wcost_re10_c2p1_tn,35.608310729619625,253.66655001514545,Region Wide,Single Axis,5.864953771272859,-243.48257901514552
prm15_wcost_re11_c2p1_co2_cut90p_t1,43.78408097660768,10.183970999999952,11,prm15_wcost_re11_c2p1_tn,36.175762621565084,330.46637209048646,Region Wide,Fixed,7.608318355042599,-320.28240109048653
prm15_wcost_re12_c2p1_co2_cut90p_t1,47.89837474537223,10.183970999999923,12,prm15_wcost_re12_c2p1_tn,37.210182758461286,365.6790256227591,Region Wide,Fixed,10.688191986910944,-355.4950546227592
prm15_wcost_re13_c2p1_co2_cut90p_t1,51.29026053780642,10.183971,13,prm15_wcost_re13_c2p1_tn,37.86053759445191,414.79830702889984,Region Wide,Fixed,13.429722943354506,-404.61433602889986
prm15_wcost_re14_c2p1_co2_cut90p_t1,48.83036386654236,10.183970999999936,14,prm15_wcost_re14_c2p1_tn,37.44570133925074,373.2012994867492,Region Wide,Fixed,11.384662527291624,-363.01732848674925
prm15_wcost_re15_c2p1_co2_cut90p_t1,47.13644144406572,10.183970999999966,15,prm15_wcost_re15_c2p1_tn,37.086770488385696,353.3965129321453,Region Wide,Fixed,10.049670955680021,-343.2125419321453
prm15_wcost_re16_c2p1_co2_cut90p_t1,44.80931820724755,10.183971000000026,16,prm15_wcost_re16_c2p1_tn,36.4884495303273,333.74786373846587,Region Wide,Fixed,8.320868676920249,-323.5638927384658
prm15_wcost_re17_c2p1_co2_cut90p_t1,46.65399472244781,10.183971,17,prm15_wcost_re17_c2p1_tn,36.97407873625271,340.8874568815876,Region Wide,Fixed,9.679915986195105,-330.7034858815876
prm15_wcost_re18_c2p1_co2_cut90p_t1,50.317268868252725,10.183970999999955,18,prm15_wcost_re18_c2p1_tn,37.72373175410638,399.5013159343356,Region Wide,Fixed,12.593537114146343,-389.31734493433567
prm15_wcost_re19_c2p1_co2_cut90p_t1,50.35541986716156,10.18397099999995,19,prm15_wcost_re19_c2p1_tn,37.76872984700404,403.6613835712116,Region Wide,Fixed,12.58669002015752,-393.4774125712117
prm15_wcost_re20_c2p1_co2_cut90p_t1,43.24753549735303,10.183970999999987,20,prm15_wcost_re20_c2p1_tn,36.015384735351425,303.9288673236343,Region Wide,Fixed,7.232150762001602,-293.7448963236343
prm15_wcost_re1_c2p1_co2_cut90p_t1,44.55762865635129,3.2147291238358995,1,prm15_wcost_re1_c2p1_tn,41.87458745994346,109.64777148268097,Argentina,Single Axis,2.683041196407828,-106.43304235884507
prm15_wcost_re1_c2p1_co2_cut90p_t1,38.87113494223287,3.704814436119823,1,prm15_wcost_re1_c2p1_tn,33.96040640082207,93.25339623726292,Brazil,Single Axis,4.910728541410798,-89.5485818011431
prm15_wcost_re1_c2p1_co2_cut90p_t1,67.2483743138598,3.062787572241598,1,prm15_wcost_re1_c2p1_tn,42.2836770664753,55.29459038911968,Chile,Single Axis,24.9646972473845,-52.23180281687809
prm15_wcost_re1_c2p1_co2_cut90p_t1,25.70041634189793,0.2016398678026806,1,prm15_wcost_re1_c2p1_tn,14.873832973669424,0.0,Paraguay,Single Axis,10.826583368228507,0.2016398678026806
prm15_wcost_re1_c2p1_co2_cut90p_t1,50.82131412669792,0.0,1,prm15_wcost_re1_c2p1_tn,48.96886473042887,0.0541439230146399,Uruguay,Single Axis,1.8524493962690514,-0.0541439230146399
