period,load_zone,Battery,Biomass,Coal,Curtailment,Diesel,Exports,Gas,Geothermal,Hydro,Imports,Nuclear,Solar,Trans_loss,Wind,scs
2025,Argentina,0.0,-9.159339953157541e-16,-0.06316417787829276,-7.3237060860265e-16,0.0,-0.21570080635678424,0.2156284303233349,0.0,0.0,-0.21950114549391708,0.0,0.3087792104946434,-0.01082923515089454,0.0,Trade Vestas V164 7000 Single-Axis
2025,Brazil,0.0,5.900059422024924,-0.04904514429583351,-0.39309878802036113,0.0,0.22254397738189824,14.590747340588912,0.0,0.42033461499090663,0.16654480909760006,0.0,27.25723428441354,0.01233317699586034,-48.54181212290022,Trade Vestas V164 7000 Single-Axis
2025,Chile,0.0,-4.440892098500626e-16,8.881784197001252e-16,-4.672529030358418e-17,0.0,0.0,5.933399999946687e-05,0.0,-3.552713678800501e-15,-5.9334000000000296e-05,0.0,0.0,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2025,Paraguay,3.300000000011627e-06,0.0,0.0,0.002187268800000197,0.0,-6.6000000000007025e-06,0.0,0.0,-0.002187268800000197,0.0,0.0,0.0,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2025,Uruguay,0.0,-0.0006783696068834999,0.0,0.0396533639999997,0.0,0.1099276153460799,-5.551115123125783e-17,0.0,-0.012674546000000397,-0.06374851597487674,0.0,0.0,0.0,-0.026978817999999904,Trade Vestas V164 7000 Single-Axis
2030,Argentina,0.0,1.532107773982716e-14,0.19344684620070218,-3.4510350133132326e-16,0.0,-0.11402818083846089,2.170897011627744,0.0,0.0,-0.15806298726494467,0.0,5.972952063826085,-0.005208424022266234,-8.049052274785838,Trade Vestas V164 7000 Single-Axis
2030,Brazil,0.0,0.7330258463069157,1.8004062304540192,1.1025386497853962,0.0,0.19120279154806097,13.976137687167423,0.0,-2.0014227472634047,0.08099068879107352,0.0,65.12932200235122,0.021481594801704806,-79.93689543466036,Trade Vestas V164 7000 Single-Axis
2030,Chile,0.0,0.37495184886912636,1.6818824383149464,-7.103755778059551e-16,0.0,0.0006832980000000002,-3.4975913100035143,0.0,3.552713678800501e-15,0.00038662799999999997,0.0,1.4396563948194476,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2030,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2030,Uruguay,0.0,4.440892098500626e-16,0.0,0.003989774003995687,0.0,0.01918990800420539,0.0,0.0,0.0,-0.02036214623993482,0.0,-0.003989774003995583,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2035,Argentina,0.0,0.0016042500000000015,0.16612943744081066,-6.925198192675447e-16,0.0,-0.1452281867544738,2.0917806594759156,0.0,0.0,0.0011222951466363928,0.0,5.972952063826085,-0.040245386151560814,-8.049052274785838,Trade Vestas V164 7000 Single-Axis
2035,Brazil,0.0,1.4697796207911864,1.0523097921801803,-2.3328698592541954,0.0,-0.042964660739606586,33.37899263722734,0.0,-11.678717321982504,0.049193366722048104,0.0,65.27286778602256,0.009303312480982429,-89.49515448103017,Trade Vestas V164 7000 Single-Axis
2035,Chile,0.0,-0.035236727238573184,0.09237862790379645,-2.787634983958399e-16,0.0,2.3925000000000595e-05,-1.4968194674846842,0.0,0.0,-3.827999999999991e-06,0.0,1.4396563948194476,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2035,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2035,Uruguay,0.0,-0.028404760001582652,0.0,0.00790101820631504,0.0,-0.060006628159824466,0.13526035660571528,0.0,0.0,0.19786371678521997,0.0,1.4840043445167908,0.0,-1.7433888646160085,Trade Vestas V164 7000 Single-Axis
2040,Argentina,0.0,0.025039237500000006,0.7857546514683447,4.046317059192006e-15,0.0,0.041310470136877164,3.9276437962779482,0.0,-2.7232727220000044,0.003878764957954639,0.0,5.972952063826085,0.014402020270123689,-8.049052274785838,Trade Vestas V164 7000 Single-Axis
2040,Brazil,0.0,2.842170943040401e-14,1.845525945902387,-2.3787395019792847,0.0,-0.28872373599868095,63.653958107376354,0.0,-13.104625026799567,-0.17136930332636857,0.0,47.52488190238215,-0.029449841793168785,-99.41726642370172,Trade Vestas V164 7000 Single-Axis
2040,Chile,0.0,0.5874958328242792,0.0,-1.961662651761564e-15,0.0,-0.0006978922500000002,-2.0271244586437263,0.0,0.0,0.0007014809999999999,0.0,1.4396563948194476,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2040,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V164 7000 Single-Axis
2040,Uruguay,0.0,0.1447369345623155,0.0,-0.2056701489216562,0.0,-0.13641788962584672,0.4250170030127101,0.0,8.881784197001252e-16,0.551318105106064,0.0,1.7381206440008556,0.0,-2.7343937864990853,Trade Vestas V164 7000 Single-Axis
2045,Argentina,0.0,0.0012730499999999978,0.0,-2.130154461856061e-14,0.0,0.01313268290042835,2.12144290259684,0.0,2.842170943040401e-14,-0.05476255339694108,0.0,5.972952063826085,0.007995991302061245,-8.049052274785838,Trade Vestas V164 7000 Single-Axis
2045,Brazil,0.0,2.2592581324217917,0.3141438597042585,1.7346729084041762e-14,0.0,-0.24226207426893143,54.48431227710441,0.0,0.44385504000001674,-0.04701095012668932,0.0,46.44153922786532,-0.03242836317684289,-103.62436768528448,Trade Vestas V164 7000 Single-Axis
