period,load_zone,Battery,Biomass_new,Coal_new,Diesel_new,Gas_new,Geothermal_new,Hydro_new,Nuclear_new,Solar_new,Wind_new,sc_name,total_new_cap,emis_policy,op_char,fixed_pv,turbine,Battery_trd,Biomass_new_trd,Coal_new_trd,Diesel_new_trd,Gas_new_trd,Geothermal_new_trd,Hydro_new_trd,Nuclear_new_trd,Solar_new_trd,Wind_new_trd,sc_name_trd,total_new_cap_trd,gas_diff,hydro_diff,solar_diff,wind_diff,nuclear_diff,battery_diff,total_diff
2050,Chile,0.0,0.0,0.0,0.0,34.58000000001,0.0,0.575,0.0,5.6408174960710005,0.0,prm15_wcost_re3_c2p1_tn,40.79581749608101,False,3,False,3,0.0,0.0,0.0,0.0,17.19,0.0,0.575,0.0,6.56687939369794,0.0,prm15_wcost_re3_c2p1_t1,24.33187939369794,-17.39000000001,0.0,0.9260618976269397,0.0,0.0,0.0,-16.463938102383068
2050,Brazil,0.0,0.0,0.0,0.0,43.2031897001038,0.0,68.182,0.0,134.7392999999997,181.7853761156429,prm15_wcost_re9_c2p1_co2_cut90p_tn,427.9098658157464,True,9,False,9,0.0,2.4119766959555844,0.0,0.0,20.626773449981474,0.0,68.005,9.95,134.7393,176.35995563530255,prm15_wcost_re9_c2p1_co2_cut90p_t1,412.09300578123964,-22.576416250122325,-0.1770000000000067,2.8421709430404007e-13,-5.425420480340335,9.95,0.0,-15.81686003450676
2050,Brazil,0.0,0.0,0.0,0.0,80.72500000002,0.0,50.905,0.0,112.91939999999984,55.979999999996,prm15_wcost_re7_c2p1_tn,300.5294000000158,False,7,False,7,0.0,0.0,0.0,0.0,56.132206258404615,0.0,50.905,0.0,122.0154,55.98,prm15_wcost_re7_c2p1_t1,285.0326062584046,-24.592793741615388,0.0,9.09600000000016,4.000355602329364e-12,0.0,0.0,-15.496793741611214
2050,Chile,0.0,0.0,0.0,0.0,34.580000000003,0.0,0.575,0.0,0.0,0.0,prm15_wcost_re17_c2p1_tn,35.155000000003,False,17,True,7,0.0,0.0,0.0,0.0,19.409818571428573,0.0,0.575,0.0,0.0,0.0,prm15_wcost_re17_c2p1_t1,19.984818571428573,-15.170181428574423,0.0,0.0,0.0,0.0,0.0,-15.170181428574427
2050,Argentina,0.0,0.0,0.0,0.0,36.934999999990005,0.0,8.295,0.0,1.9166961234762,101.57842707718424,prm15_wcost_re19_c2p1_co2_cut90p_tn,148.72512320065044,True,19,True,9,0.0,0.0,0.0,0.0,27.42567380394305,0.0,11.359,0.0,17.624,77.99731047384753,prm15_wcost_re19_c2p1_co2_cut90p_t1,134.4059842777906,-9.509326196046956,3.064,15.707303876523799,-23.58111660333671,0.0,0.0,-14.31913892285985
2050,Argentina,0.0,0.0,0.0,0.0,62.78569786639,0.0,2.11,0.0,5.4661543116697,0.0,prm15_wcost_re9_c2p1_tn,70.3618521780597,False,9,False,9,0.0,0.0,0.0,0.0,47.84546951422742,0.0,2.11,0.0,7.126616401915071,0.0,prm15_wcost_re9_c2p1_t1,57.08208591614249,-14.940228352162585,0.0,1.660462090245371,0.0,0.0,0.0,-13.279766261917217
2050,Brazil,0.0,0.0,0.0,0.0,78.595430433005,0.0,51.62,0.0,119.05269999999912,51.96672290521,prm15_wcost_re2_c2p1_tn,301.2348533382141,False,2,False,2,0.0,0.0,0.0,0.0,60.47855513851096,0.0,50.905,0.0,126.35917232388906,50.64300000000001,prm15_wcost_re2_c2p1_t1,288.38572746240004,-18.116875294494044,-0.7149999999999963,7.306472323889935,-1.3237229052099906,0.0,0.0,-12.849125875814082
2050,Argentina,0.0,0.0,0.0,0.0,36.934999999959,0.0,9.232,0.0,0.912926470964546,102.3607806407768,prm15_wcost_re12_c2p1_co2_cut90p_tn,149.44070711170033,True,12,True,2,0.0,0.0,0.0,0.0,34.66588504038165,0.0,9.232,0.0,17.624,75.35581825359837,prm15_wcost_re12_c2p1_co2_cut90p_t1,136.87770329398,-2.269114959577344,0.0,16.711073529035453,-27.004962387178423,0.0,0.0,-12.563003817720329
2050,Brazil,0.0,0.0,0.0,0.0,80.72500000008,0.0,50.905,0.0,114.71000000000018,53.433632667155706,prm15_wcost_re5_c2p1_tn,299.7736326672359,False,5,False,5,0.0,0.0,0.0,0.0,62.62134668501936,0.0,50.905,0.0,122.90679867398651,51.231,prm15_wcost_re5_c2p1_t1,287.6641453590059,-18.10365331506064,0.0,8.196798673986336,-2.2026326671557044,0.0,0.0,-12.10948730823003
2050,Brazil,0.0,0.0,0.0,0.0,78.49534913979,0.0,54.489,0.0,78.9542000000001,80.016,prm15_wcost_re17_c2p1_tn,291.9545491397901,False,17,True,7,0.0,0.0,0.0,0.0,62.90505024707491,0.0,54.489,0.0,80.84552113893226,81.609,prm15_wcost_re17_c2p1_t1,279.84857138600717,-15.590298892715083,0.0,1.891321138932156,1.5929999999999893,0.0,0.0,-12.105977753782952
