period,load_zone,scs,scs_id,emis_policy,exist_trd,fixed_pv,capacity_cost,op_char,turbine,group
2020,Argentina,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_co2_cut90p_tn,True,False,False,718415728.7671232,4760,4760,5.0
2020,Argentina,Emission cut 90% Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_co2_cut90p_tn,True,False,True,718415728.7671232,14280,2380,6.0
2020,Argentina,Emission cut 90% Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_co2_cut90p_tn,True,False,False,718415728.7671232,2380,2380,5.0
2020,Argentina,Emission cut 90% Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_co2_cut90p_tn,True,False,True,718415728.7671232,13090,1190,6.0
2020,Argentina,Emission cut 90% Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_co2_cut90p_tn,True,False,False,718415728.7671232,1190,1190,5.0
2020,Argentina,Emission cut 90% Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_co2_cut90p_tn,True,False,True,718415728.7671232,15470,3570,6.0
2020,Argentina,Emission cut 90% Vestas V90 3000 Single-Axis,prm15_wcost_re3_c2p1_co2_cut90p_tn,True,False,False,718415728.7671232,3570,3570,5.0
2020,Argentina,Enercon E101 3000 Fixed,prm15_wcost_re20_c2p1_tn,False,False,True,718415728.7671232,23800,11900,2.0
2020,Argentina,Enercon E101 3000 Single-Axis,prm15_wcost_re10_c2p1_tn,False,False,False,718415728.7671232,11900,11900,1.0
2020,Argentina,Enercon E126 7000 Fixed,prm15_wcost_re19_c2p1_tn,False,False,True,718415728.7671232,22610,10710,2.0
2020,Argentina,Enercon E126 7000 Single-Axis,prm15_wcost_re9_c2p1_tn,False,False,False,718415728.7671232,10710,10710,1.0
2020,Argentina,GE 1.5sle Fixed,prm15_wcost_re17_c2p1_tn,False,False,True,718415728.7671232,20230,8330,2.0
2020,Argentina,GE 1.5sle Single-Axis,prm15_wcost_re7_c2p1_tn,False,False,False,718415728.7671232,8330,8330,1.0
2020,Argentina,GE 2.5xl Fixed,prm15_wcost_re16_c2p1_tn,False,False,True,718415728.7671232,19040,7140,2.0
2020,Argentina,GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_tn,False,False,False,718415728.7671232,7140,7140,1.0
2020,Argentina,Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_tn,False,False,True,718415728.7671232,21420,9520,2.0
2020,Argentina,Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_tn,False,False,False,718415728.7671232,9520,9520,1.0
2020,Argentina,Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_tn,False,False,True,718415728.7671232,17850,5950,2.0
2020,Argentina,Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_tn,False,False,False,718415728.7671232,5950,5950,1.0
2020,Argentina,Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_tn,False,False,True,718415728.7671232,16660,4760,2.0
2020,Argentina,Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_tn,False,False,False,718415728.7671232,4760,4760,1.0
2020,Argentina,Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_tn,False,False,True,718415728.7671232,14280,2380,2.0
2020,Argentina,Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_tn,False,False,False,718415728.7671232,2380,2380,1.0
2020,Argentina,Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_tn,False,False,True,718415728.7671232,13090,1190,2.0
2020,Argentina,Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_tn,False,False,False,718415728.7671232,1190,1190,1.0
2020,Argentina,Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_tn,False,False,True,718415728.7671232,15470,3570,2.0
2020,Argentina,Vestas V90 3000 Single-Axis,prm15_wcost_re3_c2p1_tn,False,False,False,718415728.7671232,3570,3570,1.0
2020,Brazil,Emission cut 90% Enercon E101 3000 Fixed,prm15_wcost_re20_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,24900,12450,6.0
2020,Brazil,Emission cut 90% Enercon E101 3000 Single-Axis,prm15_wcost_re10_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,12450,12450,5.0
2020,Brazil,Emission cut 90% Enercon E126 7000 Fixed,prm15_wcost_re19_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,23655,11205,6.0
2020,Brazil,Emission cut 90% Enercon E126 7000 Single-Axis,prm15_wcost_re9_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,11205,11205,5.0
2020,Brazil,Emission cut 90% GE 1.5sle Fixed,prm15_wcost_re17_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,21165,8715,6.0
2020,Brazil,Emission cut 90% GE 1.5sle Single-Axis,prm15_wcost_re7_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,8715,8715,5.0
2020,Brazil,Emission cut 90% GE 2.5xl Fixed,prm15_wcost_re16_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,19920,7470,6.0
2020,Brazil,Emission cut 90% GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,7470,7470,5.0
2020,Brazil,Emission cut 90% Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,22410,9960,6.0
2020,Brazil,Emission cut 90% Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,9960,9960,5.0
2020,Brazil,Emission cut 90% Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,18675,6225,6.0
2020,Brazil,Emission cut 90% Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,6225,6225,5.0
2020,Brazil,Emission cut 90% Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,17430,4980,6.0
2020,Brazil,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,4980,4980,5.0
2020,Brazil,Emission cut 90% Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,14940,2490,6.0
2020,Brazil,Emission cut 90% Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,2490,2490,5.0
2020,Brazil,Emission cut 90% Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,13695,1245,6.0
2020,Brazil,Emission cut 90% Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,1245,1245,5.0
2020,Brazil,Emission cut 90% Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_co2_cut90p_tn,True,False,True,2606094344.3630137,16185,3735,6.0
2020,Brazil,Emission cut 90% Vestas V90 3000 Single-Axis,prm15_wcost_re3_c2p1_co2_cut90p_tn,True,False,False,2606094344.3630137,3735,3735,5.0
2020,Brazil,Enercon E101 3000 Fixed,prm15_wcost_re20_c2p1_tn,False,False,True,2606094344.3630137,24900,12450,2.0
2020,Brazil,Enercon E101 3000 Single-Axis,prm15_wcost_re10_c2p1_tn,False,False,False,2606094344.3630137,12450,12450,1.0
2020,Brazil,Enercon E126 7000 Fixed,prm15_wcost_re19_c2p1_tn,False,False,True,2606094344.3630137,23655,11205,2.0
2020,Brazil,Enercon E126 7000 Single-Axis,prm15_wcost_re9_c2p1_tn,False,False,False,2606094344.3630137,11205,11205,1.0
2020,Brazil,GE 1.5sle Fixed,prm15_wcost_re17_c2p1_tn,False,False,True,2606094344.3630137,21165,8715,2.0
2020,Brazil,GE 1.5sle Single-Axis,prm15_wcost_re7_c2p1_tn,False,False,False,2606094344.3630137,8715,8715,1.0
2020,Brazil,GE 2.5xl Fixed,prm15_wcost_re16_c2p1_tn,False,False,True,2606094344.3630137,19920,7470,2.0
2020,Brazil,GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_tn,False,False,False,2606094344.3630137,7470,7470,1.0
2020,Brazil,Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_tn,False,False,True,2606094344.3630137,22410,9960,2.0
2020,Brazil,Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_tn,False,False,False,2606094344.3630137,9960,9960,1.0
2020,Brazil,Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_tn,False,False,True,2606094344.3630137,18675,6225,2.0
2020,Brazil,Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_tn,False,False,False,2606094344.3630137,6225,6225,1.0
2020,Brazil,Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_tn,False,False,True,2606094344.3630137,17430,4980,2.0
2020,Brazil,Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_tn,False,False,False,2606094344.3630137,4980,4980,1.0
2020,Brazil,Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_tn,False,False,True,2606094344.3630137,14940,2490,2.0
2020,Brazil,Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_tn,False,False,False,2606094344.3630137,2490,2490,1.0
2020,Brazil,Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_tn,False,False,True,2606094344.3630137,13695,1245,2.0
2020,Brazil,Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_tn,False,False,False,2606094344.3630137,1245,1245,1.0
2020,Brazil,Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_tn,False,False,True,2606094344.3630137,16185,3735,2.0
2020,Brazil,Vestas V90 3000 Single-Axis,prm15_wcost_re3_c2p1_tn,False,False,False,2606094344.3630137,3735,3735,1.0
2020,Chile,Emission cut 90% Enercon E101 3000 Fixed,prm15_wcost_re20_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,4920,2460,6.0
2020,Chile,Emission cut 90% Enercon E101 3000 Single-Axis,prm15_wcost_re10_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,2460,2460,5.0
2020,Chile,Emission cut 90% Enercon E126 7000 Fixed,prm15_wcost_re19_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,4674,2214,6.0
2020,Chile,Emission cut 90% Enercon E126 7000 Single-Axis,prm15_wcost_re9_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,2214,2214,5.0
2020,Chile,Emission cut 90% GE 1.5sle Fixed,prm15_wcost_re17_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,4182,1722,6.0
2020,Chile,Emission cut 90% GE 1.5sle Single-Axis,prm15_wcost_re7_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,1722,1722,5.0
2020,Chile,Emission cut 90% GE 2.5xl Fixed,prm15_wcost_re16_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,3936,1476,6.0
2020,Chile,Emission cut 90% GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,1476,1476,5.0
2020,Chile,Emission cut 90% Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,4428,1968,6.0
2020,Chile,Emission cut 90% Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,1968,1968,5.0
2020,Chile,Emission cut 90% Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,3690,1230,6.0
2020,Chile,Emission cut 90% Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,1230,1230,5.0
2020,Chile,Emission cut 90% Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,3444,984,6.0
2020,Chile,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,984,984,5.0
2020,Chile,Emission cut 90% Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,2952,492,6.0
2020,Chile,Emission cut 90% Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,492,492,5.0
2020,Chile,Emission cut 90% Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,2706,246,6.0
2020,Chile,Emission cut 90% Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_co2_cut90p_tn,True,False,False,752655864.8630137,246,246,5.0
2020,Chile,Emission cut 90% Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_co2_cut90p_tn,True,False,True,752655864.8630137,3198,738,6.0
