period,load_zone,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Wind,scs
2020.0,Argentina,0.0,0.17101563749999937,0.0,3.6567797678799255e-15,0.0,73.7046545039224,0.0,41.046421158,15.38433,1.0480361859051723,6.244675862862069,trd_vestas2_1axis
2020.0,Brazil,0.0,78.50055896843178,16.127423999999998,2.18448928858639,11.409244984999992,50.81809272099997,0.0,450.1121774034136,17.44434,4.951314463706896,5.771182727206897,trd_vestas2_1axis
2020.0,Chile,0.0,2.593403999999996,3.2223753364142858,4.0427217129490597e-16,0.0,37.72110086536158,0.35064,21.522740232,0.0,7.77790864163793,9.729895828586207,trd_vestas2_1axis
2020.0,Paraguay,0.0,0.0,0.0,49.10986188724996,0.0,0.0,0.0,23.667944692749998,0.0,0.0,0.0,trd_vestas2_1axis
2020.0,Uruguay,0.0,1.8417264187368214,0.0,4.633251005081718e-16,0.0,0.12783455599999988,0.0,5.71909914,0.0,0.6111554979310344,5.875972191655173,trd_vestas2_1axis
2025.0,Argentina,0.0,0.24874154999999298,1.804169072438958,4.5800735426482215e-15,0.0,87.2169770480972,0.0,47.849307558,15.38433,3.2581621386096393,6.244675862862069,trd_vestas2_1axis
2025.0,Brazil,0.0,57.10421658331319,11.77919680752466,6.920948851031476,0.0,57.19627434286871,0.0,515.4353226577572,17.44434,24.356709080643103,68.83903115490264,trd_vestas2_1axis
2025.0,Chile,0.0,2.9401233750526257,4.81633478486907,1.498369872621197e-15,0.0,37.42211716803321,0.35064,23.073674232000002,0.0,15.85118871345888,9.729895828586207,trd_vestas2_1axis
2025.0,Paraguay,-0.20208425999999974,0.0,0.0,44.55407170702399,0.0,0.0,0.0,28.223734872976,0.0,0.0,0.0,trd_vestas2_1axis
2025.0,Uruguay,0.0,2.536040426148399,0.0,0.004519380000000824,0.0,0.269700922,0.0,5.71909914,0.0,0.6111554979310344,5.871452811655172,trd_vestas2_1axis
2030.0,Argentina,0.0,0.2519189999999847,4.643269502096619,2.8012927533183076e-15,0.0,92.48218507060731,0.0,47.849307558,15.38433,17.75526874092949,14.293728137647907,trd_vestas2_1axis
2030.0,Brazil,0.0,64.68666619964222,10.863778973738384,5.759687015351094,0.0,58.51195570619349,0.0,521.6671629736383,17.44434,84.07587656049293,103.36674622457414,trd_vestas2_1axis
2030.0,Chile,0.0,2.58484215113087,3.24707601067565,1.4171000067841889e-15,0.0,51.97357995888942,0.35064,23.073674232,0.0,16.019029918717848,9.729895828586207,trd_vestas2_1axis
2030.0,Paraguay,0.0,0.0,0.0,37.01267850499998,0.0,0.0,0.0,35.765128075,0.0,0.0,0.0,trd_vestas2_1axis
2030.0,Uruguay,0.0,2.5646624999999985,0.0,0.00011713328526806264,0.0,0.36549949955577765,0.0,5.71909914,0.0,1.8873376107386743,5.875972191655173,trd_vestas2_1axis
2035.0,Argentina,0.0,0.17221365,1.8849342392468083,5.08718045466594e-15,0.0,130.07347580287941,0.0,49.433150688,15.38433,17.75526874092949,14.293728137647907,trd_vestas2_1axis
2035.0,Brazil,0.0,75.65837177920876,10.370176324177939,4.968512188556045,0.0,109.83711911064667,0.0,561.3469734880825,17.44434,94.23623810388138,113.09830585994396,trd_vestas2_1axis
2035.0,Chile,0.0,2.096068558076401,0.03714576588910462,1.389797402162607e-15,0.0,68.90288515773044,0.35064,24.376078632000002,0.0,16.019029918717848,9.729895828586207,trd_vestas2_1axis
2035.0,Paraguay,0.0,0.0,0.0,27.394047829999984,0.0,0.0,0.0,45.38375875,0.0,0.0,0.0,trd_vestas2_1axis
2035.0,Uruguay,0.0,2.4997998462828552,0.0,0.0195740518720188,0.0,0.3067567371998082,0.0,5.71909914,0.0,4.245451285986452,7.726258166136597,trd_vestas2_1axis
2040.0,Argentina,0.0,0.09631709999999999,1.3458451305558972,4.2953878232054875e-15,0.0,170.12675223323555,0.0,52.15642341,15.38433,17.75526874092949,14.293728137647907,trd_vestas2_1axis
2040.0,Brazil,0.0,77.12815139999996,7.691625679463917,3.760388026887544,0.0,161.03621876921605,0.0,608.3852505623049,17.44434,127.2291070611153,123.02826673861551,trd_vestas2_1axis
2040.0,Chile,0.0,1.2905410987577586,0.0,3.7924798995669916e-15,0.0,86.24900733493818,0.35064,24.376078632,0.0,16.019029918717848,9.729895828586207,trd_vestas2_1axis
2040.0,Paraguay,0.0,0.0,0.0,15.187947304999982,0.0,0.0,0.0,57.589859275,0.0,0.0,0.0,trd_vestas2_1axis
2040.0,Uruguay,0.0,2.2994688188142596,0.0,0.21959458524184317,0.0,0.049552564194542355,0.0,5.719099139999999,0.0,4.800609729232744,12.232746614587315,trd_vestas2_1axis
2045.0,Argentina,0.0,0.0711045,0.0,9.808467260619124e-15,0.0,221.11111165333938,0.0,52.305611825999996,15.38433,17.75526874092949,14.293728137647907,trd_vestas2_1axis
2045.0,Brazil,0.0,71.22037589999995,7.661440140295741,-1.3765071166939154e-15,0.0,220.85095903088464,0.0,617.49914283,17.44434,184.6701011831421,162.4527821692069,trd_vestas2_1axis
2045.0,Chile,0.0,0.7045959920667986,0.0,3.84446675882888e-15,0.0,105.58226286262914,0.35064,24.376078632,0.0,16.019029918717848,9.729895828586207,trd_vestas2_1axis
2045.0,Paraguay,-0.47548802630360776,0.07238797499999956,0.0,4.765715600193427,0.010167182957898396,3.250930169693966,0.0,68.46572655274585,0.0,1.346044935442521,0.0,trd_vestas2_1axis
