type,period,load_zone,trade,Scenario,multiplier,trade_1
export,2020,Paraguay,0.00825,Trade Vestas V164 7000 Single-Axis,-1,-0.00825
export,2020,Uruguay,0.73492,Trade Vestas V164 7000 Single-Axis,-1,-0.73492
export,2025,Argentina,1.29135,Trade Vestas V164 7000 Single-Axis,-1,-1.29135
export,2025,Brazil,1.45811,Trade Vestas V164 7000 Single-Axis,-1,-1.45811
export,2025,Chile,0.00157,Trade Vestas V164 7000 Single-Axis,-1,-0.00157
export,2025,Paraguay,0.00785,Trade Vestas V164 7000 Single-Axis,-1,-0.00785
export,2025,Uruguay,0.18785,Trade Vestas V164 7000 Single-Axis,-1,-0.18785
export,2030,Argentina,1.58269,Trade Vestas V164 7000 Single-Axis,-1,-1.58269
export,2030,Brazil,2.37391,Trade Vestas V164 7000 Single-Axis,-1,-2.37391
export,2030,Chile,0.00141,Trade Vestas V164 7000 Single-Axis,-1,-0.00141
export,2030,Paraguay,0.0078,Trade Vestas V164 7000 Single-Axis,-1,-0.0078
export,2030,Uruguay,0.04936,Trade Vestas V164 7000 Single-Axis,-1,-0.04936
export,2035,Argentina,2.05763,Trade Vestas V164 7000 Single-Axis,-1,-2.05763
export,2035,Brazil,1.70677,Trade Vestas V164 7000 Single-Axis,-1,-1.70677
export,2035,Chile,0.00274,Trade Vestas V164 7000 Single-Axis,-1,-0.00274
export,2035,Paraguay,0.0078,Trade Vestas V164 7000 Single-Axis,-1,-0.0078
export,2035,Uruguay,0.15108,Trade Vestas V164 7000 Single-Axis,-1,-0.15108
export,2040,Argentina,2.01747,Trade Vestas V164 7000 Single-Axis,-1,-2.01747
export,2040,Brazil,1.77646,Trade Vestas V164 7000 Single-Axis,-1,-1.77646
export,2040,Chile,0.00217,Trade Vestas V164 7000 Single-Axis,-1,-0.00217
export,2040,Paraguay,0.0078,Trade Vestas V164 7000 Single-Axis,-1,-0.0078
export,2040,Uruguay,0.22866,Trade Vestas V164 7000 Single-Axis,-1,-0.22866
export,2045,Argentina,2.07394,Trade Vestas V164 7000 Single-Axis,-1,-2.07394
export,2045,Brazil,1.37859,Trade Vestas V164 7000 Single-Axis,-1,-1.37859
export,2045,Chile,0.00152,Trade Vestas V164 7000 Single-Axis,-1,-0.00152
export,2045,Paraguay,0.00421,Trade Vestas V164 7000 Single-Axis,-1,-0.00421
export,2045,Uruguay,0.33967,Trade Vestas V164 7000 Single-Axis,-1,-0.33967
export,2050,Argentina,1.98677,Trade Vestas V164 7000 Single-Axis,-1,-1.98677
