scs_id,tech,capacity_cost
prm15_wcost_re15_c2p1_t1,Nuclear,0.0
prm15_wcost_re15_c2p1_t1,Solar,6925038261.178069
prm15_wcost_re15_c2p1_t1,Wind,13246682018.355316
prm15_wcost_re16_c2p1_t1,Battery,436309454.84206516
prm15_wcost_re16_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re16_c2p1_t1,Fossil,17874420331.108658
prm15_wcost_re16_c2p1_t1,Geothermal,0.0
prm15_wcost_re16_c2p1_t1,Hydro,7869910653.292405
prm15_wcost_re16_c2p1_t1,Nuclear,0.0
prm15_wcost_re16_c2p1_t1,Solar,4600018891.630375
prm15_wcost_re16_c2p1_t1,Wind,17481869646.393665
prm15_wcost_re17_c2p1_t1,Battery,319947227.4050929
prm15_wcost_re17_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re17_c2p1_t1,Fossil,17996449287.268303
prm15_wcost_re17_c2p1_t1,Geothermal,0.0
prm15_wcost_re17_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re17_c2p1_t1,Nuclear,0.0
prm15_wcost_re17_c2p1_t1,Solar,6736953891.093155
prm15_wcost_re17_c2p1_t1,Wind,14606081669.453379
prm15_wcost_re18_c2p1_t1,Battery,296128288.3145247
prm15_wcost_re18_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re18_c2p1_t1,Fossil,18483997185.834206
prm15_wcost_re18_c2p1_t1,Geothermal,0.0
prm15_wcost_re18_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re18_c2p1_t1,Nuclear,0.0
prm15_wcost_re18_c2p1_t1,Solar,9713060218.215168
prm15_wcost_re18_c2p1_t1,Wind,8890214303.951668
prm15_wcost_re19_c2p1_t1,Battery,299739301.32845217
prm15_wcost_re19_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re19_c2p1_t1,Fossil,18498449034.8989
prm15_wcost_re19_c2p1_t1,Geothermal,0.0
prm15_wcost_re19_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re19_c2p1_t1,Nuclear,0.0
prm15_wcost_re19_c2p1_t1,Solar,9850413462.97483
prm15_wcost_re19_c2p1_t1,Wind,8596459329.463663
prm15_wcost_re20_c2p1_t1,Battery,398656009.1986158
prm15_wcost_re20_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re20_c2p1_t1,Fossil,17528735142.24023
prm15_wcost_re20_c2p1_t1,Geothermal,0.0
prm15_wcost_re20_c2p1_t1,Hydro,7830260049.142584
prm15_wcost_re20_c2p1_t1,Nuclear,0.0
prm15_wcost_re20_c2p1_t1,Solar,1802536284.5706158
prm15_wcost_re20_c2p1_t1,Wind,21204607855.324635
prm15_wcost_re1_c2p1_co2_cut90p_t1,Battery,3070601521.2866282
prm15_wcost_re1_c2p1_co2_cut90p_t1,Biomass,1567608409.4794521
prm15_wcost_re1_c2p1_co2_cut90p_t1,Fossil,11803536899.614073
prm15_wcost_re1_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re1_c2p1_co2_cut90p_t1,Hydro,10739439561.023952
prm15_wcost_re1_c2p1_co2_cut90p_t1,Nuclear,0.0
prm15_wcost_re1_c2p1_co2_cut90p_t1,Solar,16197057889.095789
prm15_wcost_re1_c2p1_co2_cut90p_t1,Wind,40708690235.3817
prm15_wcost_re2_c2p1_co2_cut90p_t1,Battery,3200909249.094738
prm15_wcost_re2_c2p1_co2_cut90p_t1,Biomass,2285603034.8047156
prm15_wcost_re2_c2p1_co2_cut90p_t1,Fossil,10527116434.124407
prm15_wcost_re2_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re2_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re2_c2p1_co2_cut90p_t1,Nuclear,960687039.2856284
prm15_wcost_re2_c2p1_co2_cut90p_t1,Solar,17141954800.302649
prm15_wcost_re2_c2p1_co2_cut90p_t1,Wind,44583996972.57938
prm15_wcost_re3_c2p1_co2_cut90p_t1,Battery,3303020824.968102
prm15_wcost_re3_c2p1_co2_cut90p_t1,Biomass,7987591154.315893
prm15_wcost_re3_c2p1_co2_cut90p_t1,Fossil,8925928194.989428
prm15_wcost_re3_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re3_c2p1_co2_cut90p_t1,Hydro,12301085948.169155
prm15_wcost_re3_c2p1_co2_cut90p_t1,Nuclear,4874654654.570856
prm15_wcost_re3_c2p1_co2_cut90p_t1,Solar,17863613350.55726
prm15_wcost_re3_c2p1_co2_cut90p_t1,Wind,38890953899.26918
prm15_wcost_re4_c2p1_co2_cut90p_t1,Battery,3246803911.40891
prm15_wcost_re4_c2p1_co2_cut90p_t1,Biomass,2117015291.2681174
prm15_wcost_re4_c2p1_co2_cut90p_t1,Fossil,10223561575.924696
prm15_wcost_re4_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re4_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re4_c2p1_co2_cut90p_t1,Nuclear,2822604342.8555403
prm15_wcost_re4_c2p1_co2_cut90p_t1,Solar,17160827062.82484
prm15_wcost_re4_c2p1_co2_cut90p_t1,Wind,44030391020.11818
prm15_wcost_re5_c2p1_co2_cut90p_t1,Battery,3144640339.0543823
prm15_wcost_re5_c2p1_co2_cut90p_t1,Biomass,1984507173.42979
prm15_wcost_re5_c2p1_co2_cut90p_t1,Fossil,10992832552.183887
prm15_wcost_re5_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re5_c2p1_co2_cut90p_t1,Hydro,11530542540.857618
prm15_wcost_re5_c2p1_co2_cut90p_t1,Nuclear,361706472.22313553
prm15_wcost_re5_c2p1_co2_cut90p_t1,Solar,16995610896.238134
prm15_wcost_re5_c2p1_co2_cut90p_t1,Wind,44575443452.77739
prm15_wcost_re6_c2p1_co2_cut90p_t1,Battery,3002803753.2583513
prm15_wcost_re6_c2p1_co2_cut90p_t1,Biomass,1567608409.4794521
prm15_wcost_re6_c2p1_co2_cut90p_t1,Fossil,11568700008.729565
prm15_wcost_re6_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re6_c2p1_co2_cut90p_t1,Hydro,11038287633.042053
prm15_wcost_re6_c2p1_co2_cut90p_t1,Nuclear,0.0
prm15_wcost_re6_c2p1_co2_cut90p_t1,Solar,16519264654.482054
prm15_wcost_re6_c2p1_co2_cut90p_t1,Wind,42165952562.28174
prm15_wcost_re7_c2p1_co2_cut90p_t1,Battery,3102812949.6263924
prm15_wcost_re7_c2p1_co2_cut90p_t1,Biomass,1697150922.7697163
prm15_wcost_re7_c2p1_co2_cut90p_t1,Fossil,10789782305.535215
prm15_wcost_re7_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re7_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re7_c2p1_co2_cut90p_t1,Nuclear,0.0
prm15_wcost_re7_c2p1_co2_cut90p_t1,Solar,16924083155.221117
prm15_wcost_re7_c2p1_co2_cut90p_t1,Wind,44384615145.39755
prm15_wcost_re8_c2p1_co2_cut90p_t1,Battery,3295096203.4535446
prm15_wcost_re8_c2p1_co2_cut90p_t1,Biomass,5297231820.685474
prm15_wcost_re8_c2p1_co2_cut90p_t1,Fossil,9514854818.844313
prm15_wcost_re8_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re8_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re8_c2p1_co2_cut90p_t1,Nuclear,4874654654.570856
prm15_wcost_re8_c2p1_co2_cut90p_t1,Solar,17582787879.66578
prm15_wcost_re8_c2p1_co2_cut90p_t1,Wind,40355837849.640144
prm15_wcost_re9_c2p1_co2_cut90p_t1,Battery,3283056743.7647824
prm15_wcost_re9_c2p1_co2_cut90p_t1,Biomass,3317547197.7116055
prm15_wcost_re9_c2p1_co2_cut90p_t1,Fossil,9737892151.631721
prm15_wcost_re9_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re9_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re9_c2p1_co2_cut90p_t1,Nuclear,4874654654.570856
prm15_wcost_re9_c2p1_co2_cut90p_t1,Solar,17658732448.617214
prm15_wcost_re9_c2p1_co2_cut90p_t1,Wind,42624673199.893074
prm15_wcost_re10_c2p1_co2_cut90p_t1,Battery,2848315316.34603
prm15_wcost_re10_c2p1_co2_cut90p_t1,Biomass,1567608409.4794521
prm15_wcost_re10_c2p1_co2_cut90p_t1,Fossil,11882539242.681328
prm15_wcost_re10_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re10_c2p1_co2_cut90p_t1,Hydro,10842090569.545156
prm15_wcost_re10_c2p1_co2_cut90p_t1,Nuclear,0.0
prm15_wcost_re10_c2p1_co2_cut90p_t1,Solar,15937939867.605759
prm15_wcost_re10_c2p1_co2_cut90p_t1,Wind,40174167601.097176
prm15_wcost_re11_c2p1_co2_cut90p_t1,Battery,2001640135.360903
prm15_wcost_re11_c2p1_co2_cut90p_t1,Biomass,1567608409.4794521
prm15_wcost_re11_c2p1_co2_cut90p_t1,Fossil,11067888907.728594
prm15_wcost_re11_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re11_c2p1_co2_cut90p_t1,Hydro,11410856457.960934
prm15_wcost_re11_c2p1_co2_cut90p_t1,Nuclear,0.0
prm15_wcost_re11_c2p1_co2_cut90p_t1,Solar,13524964881.731005
prm15_wcost_re11_c2p1_co2_cut90p_t1,Wind,48613991008.10625
prm15_wcost_re12_c2p1_co2_cut90p_t1,Battery,2538161299.3235245
prm15_wcost_re12_c2p1_co2_cut90p_t1,Biomass,3676406099.200496
prm15_wcost_re12_c2p1_co2_cut90p_t1,Fossil,9699088026.250387
prm15_wcost_re12_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re12_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re12_c2p1_co2_cut90p_t1,Nuclear,2758652407.710171
prm15_wcost_re12_c2p1_co2_cut90p_t1,Solar,16056472688.23257
prm15_wcost_re12_c2p1_co2_cut90p_t1,Wind,48434500851.64955
prm15_wcost_re13_c2p1_co2_cut90p_t1,Battery,2776133193.5632563
prm15_wcost_re13_c2p1_co2_cut90p_t1,Biomass,9230671651.060387
prm15_wcost_re13_c2p1_co2_cut90p_t1,Fossil,8197688926.719376
prm15_wcost_re13_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re13_c2p1_co2_cut90p_t1,Hydro,12301085948.169155
prm15_wcost_re13_c2p1_co2_cut90p_t1,Nuclear,4874654654.570856
prm15_wcost_re13_c2p1_co2_cut90p_t1,Solar,16859360221.574339
prm15_wcost_re13_c2p1_co2_cut90p_t1,Wind,45839730607.78689
prm15_wcost_re14_c2p1_co2_cut90p_t1,Battery,2594046670.8937144
prm15_wcost_re14_c2p1_co2_cut90p_t1,Biomass,3200017374.5483494
prm15_wcost_re14_c2p1_co2_cut90p_t1,Fossil,9410117770.152584
prm15_wcost_re14_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re14_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re14_c2p1_co2_cut90p_t1,Nuclear,4874654654.570856
prm15_wcost_re14_c2p1_co2_cut90p_t1,Solar,16277539408.936998
prm15_wcost_re14_c2p1_co2_cut90p_t1,Wind,47851592701.00497
prm15_wcost_re15_c2p1_co2_cut90p_t1,Battery,2559361530.751906
prm15_wcost_re15_c2p1_co2_cut90p_t1,Biomass,2700308024.609361
prm15_wcost_re15_c2p1_co2_cut90p_t1,Fossil,9960330246.136703
prm15_wcost_re15_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re15_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re15_c2p1_co2_cut90p_t1,Nuclear,2282602864.331557
prm15_wcost_re15_c2p1_co2_cut90p_t1,Solar,15868978967.52416
prm15_wcost_re15_c2p1_co2_cut90p_t1,Wind,48532549369.06998
prm15_wcost_re16_c2p1_co2_cut90p_t1,Battery,2081624963.0898156
prm15_wcost_re16_c2p1_co2_cut90p_t1,Biomass,1898437114.0047033
prm15_wcost_re16_c2p1_co2_cut90p_t1,Fossil,10538723110.489166
prm15_wcost_re16_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re16_c2p1_co2_cut90p_t1,Hydro,11961999855.643457
prm15_wcost_re16_c2p1_co2_cut90p_t1,Nuclear,0.0
prm15_wcost_re16_c2p1_co2_cut90p_t1,Solar,14274242502.917744
prm15_wcost_re16_c2p1_co2_cut90p_t1,Wind,49526854354.886375
prm15_wcost_re17_c2p1_co2_cut90p_t1,Battery,2515373652.2319293
prm15_wcost_re17_c2p1_co2_cut90p_t1,Biomass,3778994701.0050325
prm15_wcost_re17_c2p1_co2_cut90p_t1,Fossil,9995468597.419008
prm15_wcost_re17_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re17_c2p1_co2_cut90p_t1,Hydro,11988727299.92223
prm15_wcost_re17_c2p1_co2_cut90p_t1,Nuclear,746051115.9012867
prm15_wcost_re17_c2p1_co2_cut90p_t1,Solar,15409233182.756388
prm15_wcost_re17_c2p1_co2_cut90p_t1,Wind,48992775015.32377
prm15_wcost_re18_c2p1_co2_cut90p_t1,Battery,2727331923.6013618
prm15_wcost_re18_c2p1_co2_cut90p_t1,Biomass,8527214089.94758
prm15_wcost_re18_c2p1_co2_cut90p_t1,Fossil,8592318695.039284
prm15_wcost_re18_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re18_c2p1_co2_cut90p_t1,Hydro,11988727299.922226
prm15_wcost_re18_c2p1_co2_cut90p_t1,Nuclear,4874654654.570856
prm15_wcost_re18_c2p1_co2_cut90p_t1,Solar,16546978912.50567
prm15_wcost_re18_c2p1_co2_cut90p_t1,Wind,44897449472.57723
prm15_wcost_re19_c2p1_co2_cut90p_t1,Battery,2707620193.6546774
prm15_wcost_re19_c2p1_co2_cut90p_t1,Biomass,5939095446.12357
prm15_wcost_re19_c2p1_co2_cut90p_t1,Fossil,8704953739.057678
prm15_wcost_re19_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re19_c2p1_co2_cut90p_t1,Hydro,12301085948.169155
prm15_wcost_re19_c2p1_co2_cut90p_t1,Nuclear,4874654654.570856
prm15_wcost_re19_c2p1_co2_cut90p_t1,Solar,16558552891.371878
prm15_wcost_re19_c2p1_co2_cut90p_t1,Wind,47780688842.30958
prm15_wcost_re20_c2p1_co2_cut90p_t1,Battery,1855709949.705001
prm15_wcost_re20_c2p1_co2_cut90p_t1,Biomass,1567608409.4794521
prm15_wcost_re20_c2p1_co2_cut90p_t1,Fossil,11856606233.51743
prm15_wcost_re20_c2p1_co2_cut90p_t1,Geothermal,71501680.77040648
prm15_wcost_re20_c2p1_co2_cut90p_t1,Hydro,10193289202.38252
prm15_wcost_re20_c2p1_co2_cut90p_t1,Nuclear,0.0
prm15_wcost_re20_c2p1_co2_cut90p_t1,Solar,12685092604.058998
prm15_wcost_re20_c2p1_co2_cut90p_t1,Wind,48920831139.19297
prm15_wcost_re1_c2p1_tn,Battery,0.0
prm15_wcost_re1_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re1_c2p1_tn,Fossil,17850735678.15507
prm15_wcost_re1_c2p1_tn,Geothermal,0.0
prm15_wcost_re1_c2p1_tn,Hydro,7822917344.670394
prm15_wcost_re1_c2p1_tn,Nuclear,0.0
prm15_wcost_re1_c2p1_tn,Solar,10787297045.43142
prm15_wcost_re1_c2p1_tn,Wind,14739846656.665592
prm15_wcost_re2_c2p1_tn,Battery,0.0
prm15_wcost_re2_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re2_c2p1_tn,Fossil,18473601550.156628
prm15_wcost_re2_c2p1_tn,Geothermal,0.0
prm15_wcost_re2_c2p1_tn,Hydro,7974911327.244711
prm15_wcost_re2_c2p1_tn,Nuclear,0.0
prm15_wcost_re2_c2p1_tn,Solar,12176471490.838549
prm15_wcost_re2_c2p1_tn,Wind,9033840424.146482
prm15_wcost_re3_c2p1_tn,Battery,0.0
prm15_wcost_re3_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re3_c2p1_tn,Fossil,18591621193.00056
prm15_wcost_re3_c2p1_tn,Geothermal,0.0
prm15_wcost_re3_c2p1_tn,Hydro,8396235709.858929
prm15_wcost_re3_c2p1_tn,Nuclear,0.0
prm15_wcost_re3_c2p1_tn,Solar,13251463183.084536
prm15_wcost_re3_c2p1_tn,Wind,4447485100.786155
prm15_wcost_re4_c2p1_tn,Battery,0.0
prm15_wcost_re4_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re4_c2p1_tn,Fossil,18566758520.76267
prm15_wcost_re4_c2p1_tn,Geothermal,0.0
prm15_wcost_re4_c2p1_tn,Hydro,8024841717.655598
prm15_wcost_re4_c2p1_tn,Nuclear,0.0
prm15_wcost_re4_c2p1_tn,Solar,12558311911.801638
prm15_wcost_re4_c2p1_tn,Wind,7460909031.082657
prm15_wcost_re5_c2p1_tn,Battery,0.0
prm15_wcost_re5_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re5_c2p1_tn,Fossil,18503735114.28296
prm15_wcost_re5_c2p1_tn,Geothermal,0.0
prm15_wcost_re5_c2p1_tn,Hydro,7869910653.292405
prm15_wcost_re5_c2p1_tn,Nuclear,0.0
prm15_wcost_re5_c2p1_tn,Solar,11782163337.050968
prm15_wcost_re5_c2p1_tn,Wind,9367380583.052332
prm15_wcost_re6_c2p1_tn,Battery,0.0
prm15_wcost_re6_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re6_c2p1_tn,Fossil,18283044730.70741
prm15_wcost_re6_c2p1_tn,Geothermal,0.0
prm15_wcost_re6_c2p1_tn,Hydro,7830260049.142584
prm15_wcost_re6_c2p1_tn,Nuclear,0.0
prm15_wcost_re6_c2p1_tn,Solar,10272917264.378908
prm15_wcost_re6_c2p1_tn,Wind,11872422457.991503
prm15_wcost_re7_c2p1_tn,Battery,0.0
prm15_wcost_re7_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re7_c2p1_tn,Fossil,18475138694.732754
prm15_wcost_re7_c2p1_tn,Geothermal,0.0
prm15_wcost_re7_c2p1_tn,Hydro,7869910653.292405
prm15_wcost_re7_c2p1_tn,Nuclear,0.0
prm15_wcost_re7_c2p1_tn,Solar,11494685281.757294
prm15_wcost_re7_c2p1_tn,Wind,9828347740.092787
prm15_wcost_re8_c2p1_tn,Battery,0.0
prm15_wcost_re8_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re8_c2p1_tn,Fossil,18458866539.42523
prm15_wcost_re8_c2p1_tn,Geothermal,0.0
prm15_wcost_re8_c2p1_tn,Hydro,8396235709.858929
prm15_wcost_re8_c2p1_tn,Nuclear,0.0
prm15_wcost_re8_c2p1_tn,Solar,13038607991.906836
prm15_wcost_re8_c2p1_tn,Wind,6053645119.524741
prm15_wcost_re9_c2p1_tn,Battery,0.0
prm15_wcost_re9_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re9_c2p1_tn,Fossil,18448935450.48636
prm15_wcost_re9_c2p1_tn,Geothermal,0.0
prm15_wcost_re9_c2p1_tn,Hydro,8396235709.858929
prm15_wcost_re9_c2p1_tn,Nuclear,0.0
prm15_wcost_re9_c2p1_tn,Solar,13076986808.77263
prm15_wcost_re9_c2p1_tn,Wind,6135112396.096072
prm15_wcost_re10_c2p1_tn,Battery,0.0
prm15_wcost_re10_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re10_c2p1_tn,Fossil,17636446904.538654
prm15_wcost_re10_c2p1_tn,Geothermal,0.0
prm15_wcost_re10_c2p1_tn,Hydro,7822917344.670394
prm15_wcost_re10_c2p1_tn,Nuclear,0.0
prm15_wcost_re10_c2p1_tn,Solar,9085922173.521227
prm15_wcost_re10_c2p1_tn,Wind,17197603870.53464
prm15_wcost_re11_c2p1_tn,Battery,0.0
prm15_wcost_re11_c2p1_tn,Biomass,1567608409.4794521
prm15_wcost_re11_c2p1_tn,Fossil,17740624556.53933
prm15_wcost_re11_c2p1_tn,Geothermal,0.0
prm15_wcost_re11_c2p1_tn,Hydro,7830260049.142583
