index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_solar_1axis
58,-39.75,-69.75,p_solar_Argentina_AR149,Argentina,153.4,0.2,0.00425709,0.27433765938069143
59,-40.25,-69.75,p_solar_Argentina_AR150,Argentina,153.3,0.2,21.64748627,0.27335860655737726
60,-40.75,-69.75,p_solar_Argentina_AR151,Argentina,153.3,0.2,64.75385853,0.27279974954462627
61,-41.25,-69.75,p_solar_Argentina_AR152,Argentina,153.0,0.19,108.9317881,0.26759733606557334
62,-41.75,-69.75,p_solar_Argentina_AR153,Argentina,153.0,0.18,128.879259,0.26342281420765035
63,-28.25,-69.25,p_solar_Argentina_AR174,Argentina,149.5,0.23,150.9868148,0.392294398907116
64,-28.75,-69.25,p_solar_Argentina_AR175,Argentina,149.5,0.22,121.0061516,0.38710484972678527
65,-29.25,-69.25,p_solar_Argentina_AR176,Argentina,149.5,0.21,82.21404339,0.37718647540984285
66,-29.75,-69.25,p_solar_Argentina_AR177,Argentina,149.4,0.21,52.26116798,0.3660532786885288
67,-30.25,-69.25,p_solar_Argentina_AR178,Argentina,149.4,0.21,12.50857795,0.3536135018214952
68,-30.75,-69.25,p_solar_Argentina_AR179,Argentina,149.3,0.22,13.25990708,0.3437575136612022
69,-31.25,-69.25,p_solar_Argentina_AR180,Argentina,149.3,0.23,19.87612108,0.33762192622950854
70,-31.75,-69.25,p_solar_Argentina_AR181,Argentina,149.3,0.24,36.56614236,0.33756329690346193
71,-32.25,-69.25,p_solar_Argentina_AR182,Argentina,149.1,0.25,57.46984527,0.33931489071038357
72,-32.75,-69.25,p_solar_Argentina_AR183,Argentina,149.1,0.25,33.60643496,0.3381042805100205
73,-33.25,-69.25,p_solar_Argentina_AR184,Argentina,149.0,0.24,9.475373784,0.3351822632058297
74,-33.75,-69.25,p_solar_Argentina_AR185,Argentina,149.0,0.24,22.32161528,0.33452675318761504
75,-34.25,-69.25,p_solar_Argentina_AR186,Argentina,148.9,0.24,15.63740813,0.33380475865209536
76,-34.75,-69.25,p_solar_Argentina_AR187,Argentina,148.8,0.23,26.29059916,0.32335359744991005
77,-35.25,-69.25,p_solar_Argentina_AR188,Argentina,148.8,0.23,26.56293739,0.3136544854280512
78,-35.75,-69.25,p_solar_Argentina_AR189,Argentina,148.6,0.23,40.25385292,0.31317770947176693
79,-36.25,-69.25,p_solar_Argentina_AR190,Argentina,148.6,0.23,82.78105933,0.3105193533697623
80,-36.75,-69.25,p_solar_Argentina_AR191,Argentina,148.6,0.22,44.52922621,0.3013755692167582
81,-37.25,-69.25,p_solar_Argentina_AR192,Argentina,148.5,0.22,7.664587064,0.2918028233151184
82,-37.75,-69.25,p_solar_Argentina_AR193,Argentina,148.4,0.21,6.514206222,0.2861358151183966
83,-38.25,-69.25,p_solar_Argentina_AR194,Argentina,148.4,0.21,20.00321838,0.280628301457195
84,-38.75,-69.25,p_solar_Argentina_AR195,Argentina,148.2,0.21,3.549043967,0.276992486338797
85,-39.25,-69.25,p_solar_Argentina_AR196,Argentina,148.1,0.21,17.76477644,0.27452219945355083
86,-39.75,-69.25,p_solar_Argentina_AR197,Argentina,147.9,0.21,10.25396003,0.27370081967213095
87,-40.25,-69.25,p_solar_Argentina_AR198,Argentina,147.7,0.2,43.84787107,0.276812727686703
88,-40.75,-69.25,p_solar_Argentina_AR199,Argentina,147.6,0.2,88.49102894,0.2780506602914391
89,-41.25,-69.25,p_solar_Argentina_AR200,Argentina,147.6,0.19,133.401802,0.2747950819672129
90,-41.75,-69.25,p_solar_Argentina_AR201,Argentina,147.6,0.19,148.3210421,0.2666229508196717
91,-42.25,-69.25,p_solar_Argentina_AR202,Argentina,147.6,0.18,92.7963529,0.2601236338797808
92,-42.75,-69.25,p_solar_Argentina_AR203,Argentina,147.6,0.18,37.26680343,0.25649931693989064
93,-27.25,-68.75,p_solar_Argentina_AR222,Argentina,145.0,0.25,95.50781307,0.4005903916211468
94,-27.75,-68.75,p_solar_Argentina_AR223,Argentina,144.9,0.23,105.3000649,0.3987474954462819
95,-28.25,-68.75,p_solar_Argentina_AR224,Argentina,144.5,0.22,101.9236527,0.38717611566485527
96,-28.75,-68.75,p_solar_Argentina_AR225,Argentina,144.5,0.2,84.49143094,0.36125648907103974
97,-29.25,-68.75,p_solar_Argentina_AR226,Argentina,144.5,0.2,53.06759155,0.337949453551912
98,-29.75,-68.75,p_solar_Argentina_AR227,Argentina,144.4,0.2,15.21528245,0.3217835837887063
99,-30.25,-68.75,p_solar_Argentina_AR228,Argentina,144.4,0.2,0.696466295,0.3118346994535521
100,-30.75,-68.75,p_solar_Argentina_AR229,Argentina,144.3,0.2,11.04828099,0.3110265255009103
101,-31.75,-68.75,p_solar_Argentina_AR231,Argentina,144.2,0.23,14.02598716,0.30822427140255004
102,-32.25,-68.75,p_solar_Argentina_AR232,Argentina,144.2,0.23,10.83480687,0.3008886612021855
103,-32.75,-68.75,p_solar_Argentina_AR233,Argentina,143.9,0.23,4.038415152,0.29260450819672146
104,-33.25,-68.75,p_solar_Argentina_AR234,Argentina,143.7,0.23,2.607231911,0.288687841530055
105,-33.75,-68.75,p_solar_Argentina_AR235,Argentina,143.6,0.23,18.98836799,0.2920883424408008
106,-34.25,-68.75,p_solar_Argentina_AR236,Argentina,143.4,0.23,0.416428961,0.29790027322404344
107,-34.75,-68.75,p_solar_Argentina_AR237,Argentina,143.1,0.23,8.923626507,0.3006944444444449
108,-35.25,-68.75,p_solar_Argentina_AR238,Argentina,142.9,0.23,28.45018955,0.3054688069216763
109,-35.75,-68.75,p_solar_Argentina_AR239,Argentina,142.9,0.23,60.69556337,0.3104682377049179
110,-36.25,-68.75,p_solar_Argentina_AR240,Argentina,142.9,0.22,42.04360675,0.304423724954462
111,-36.75,-68.75,p_solar_Argentina_AR241,Argentina,142.9,0.22,26.47975814,0.2925443989071031
112,-37.25,-68.75,p_solar_Argentina_AR242,Argentina,142.8,0.21,20.54559766,0.2863981102003643
113,-37.75,-68.75,p_solar_Argentina_AR243,Argentina,142.7,0.21,19.90895717,0.28074168943533756
114,-38.25,-68.75,p_solar_Argentina_AR244,Argentina,142.5,0.21,4.52562235,0.275660519125683
115,-38.75,-68.75,p_solar_Argentina_AR245,Argentina,142.5,0.21,22.15650206,0.2738484744990884
116,-39.25,-68.75,p_solar_Argentina_AR246,Argentina,142.5,0.21,0.39539936,0.27381864754098395
117,-39.75,-68.75,p_solar_Argentina_AR247,Argentina,142.4,0.21,23.56852484,0.2769097222222217
118,-40.25,-68.75,p_solar_Argentina_AR248,Argentina,142.3,0.21,50.40666688,0.2806703096539165
119,-40.75,-68.75,p_solar_Argentina_AR249,Argentina,142.3,0.2,103.3996328,0.2767596766848818
120,-41.25,-68.75,p_solar_Argentina_AR250,Argentina,142.2,0.2,157.7185239,0.27150910746812396
121,-41.75,-68.75,p_solar_Argentina_AR251,Argentina,142.1,0.19,152.685745,0.26858913934426143
122,-42.25,-68.75,p_solar_Argentina_AR252,Argentina,142.1,0.19,98.2132058,0.262760245901639
123,-42.75,-68.75,p_solar_Argentina_AR253,Argentina,142.0,0.18,43.50423932,0.25886384335154816
124,-43.25,-68.75,p_solar_Argentina_AR254,Argentina,141.8,0.18,11.06688153,0.25779701730418825
125,-43.75,-68.75,p_solar_Argentina_AR255,Argentina,141.7,0.18,66.15070405,0.25602424863387957
126,-44.25,-68.75,p_solar_Argentina_AR256,Argentina,141.7,0.18,121.0035559,0.2516755464480874
127,-24.75,-68.25,p_solar_Argentina_AR270,Argentina,140.6,0.28,87.1647166,0.39128654371585464
128,-25.25,-68.25,p_solar_Argentina_AR271,Argentina,140.5,0.28,140.5447714,0.39300284608379943
129,-25.75,-68.25,p_solar_Argentina_AR272,Argentina,140.3,0.28,157.3557681,0.39364025500911853
130,-26.25,-68.25,p_solar_Argentina_AR273,Argentina,140.2,0.27,107.5977155,0.39509050546449287
131,-26.75,-68.25,p_solar_Argentina_AR274,Argentina,140.2,0.26,67.30712104,0.3949398907103956
132,-27.25,-68.25,p_solar_Argentina_AR275,Argentina,140.2,0.24,46.52646749,0.3885033014572059
133,-27.75,-68.25,p_solar_Argentina_AR276,Argentina,140.1,0.22,58.02656119,0.3743466530054703
134,-28.25,-68.25,p_solar_Argentina_AR277,Argentina,140.1,0.2,52.8741763,0.3534042577413491
135,-28.75,-68.25,p_solar_Argentina_AR278,Argentina,140.0,0.19,66.16299516,0.3335034153005466
136,-29.25,-68.25,p_solar_Argentina_AR279,Argentina,139.9,0.18,11.35067821,0.32088422131147637
137,-29.75,-68.25,p_solar_Argentina_AR280,Argentina,139.8,0.18,18.51614867,0.31271459471766916
138,-30.25,-68.25,p_solar_Argentina_AR281,Argentina,139.7,0.18,4.704408792,0.30474168943533686
139,-30.75,-68.25,p_solar_Argentina_AR282,Argentina,139.5,0.19,36.76064982,0.2990624999999998
140,-31.25,-68.25,p_solar_Argentina_AR283,Argentina,139.5,0.2,34.42360091,0.2985796903460836
141,-31.75,-68.25,p_solar_Argentina_AR284,Argentina,139.3,0.22,11.08616524,0.2960824225865209
142,-32.25,-68.25,p_solar_Argentina_AR285,Argentina,139.2,0.22,24.65994944,0.29234949908925295
143,-32.75,-68.25,p_solar_Argentina_AR286,Argentina,139.0,0.22,25.44912075,0.29067748178506353
144,-33.25,-68.25,p_solar_Argentina_AR287,Argentina,139.0,0.22,8.708867257,0.2901055327868839
145,-33.75,-68.25,p_solar_Argentina_AR288,Argentina,139.0,0.22,50.83036326,0.2895089936247722
146,-34.25,-68.25,p_solar_Argentina_AR289,Argentina,138.9,0.22,37.2317222,0.2874418260473593
