lz_from,lz_to,period,net_flow_twh,scenario
Argentina,Uruguay,2050,1.7803982947137094,prm15_wcost_re2_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re2_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re2_c2p1_t1
Brazil,Paraguay,2030,0.0,prm15_wcost_re2_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re2_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re2_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re2_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re2_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re2_c2p1_t1
Brazil,Uruguay,2025,1.8544469345282135,prm15_wcost_re2_c2p1_t1
Brazil,Uruguay,2030,2.559933512534223,prm15_wcost_re2_c2p1_t1
Brazil,Uruguay,2035,2.118810461632815,prm15_wcost_re2_c2p1_t1
Brazil,Uruguay,2040,2.183915453005039,prm15_wcost_re2_c2p1_t1
Brazil,Uruguay,2045,1.9899206778298537,prm15_wcost_re2_c2p1_t1
Brazil,Uruguay,2050,1.959308733671424,prm15_wcost_re2_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re3_c2p1_t1
Argentina,Brazil,2025,0.3321081,prm15_wcost_re3_c2p1_t1
Argentina,Brazil,2030,0.41338095720417845,prm15_wcost_re3_c2p1_t1
Argentina,Brazil,2035,0.45248040000000006,prm15_wcost_re3_c2p1_t1
Argentina,Brazil,2040,0.4696808267527976,prm15_wcost_re3_c2p1_t1
Argentina,Brazil,2045,0.49499820000000005,prm15_wcost_re3_c2p1_t1
Argentina,Brazil,2050,0.5505984,prm15_wcost_re3_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re3_c2p1_t1
Argentina,Chile,2025,0.0050376480000000005,prm15_wcost_re3_c2p1_t1
Argentina,Chile,2030,0.005034777000000001,prm15_wcost_re3_c2p1_t1
Argentina,Chile,2035,0.004959174,prm15_wcost_re3_c2p1_t1
Argentina,Chile,2040,0.00491634825,prm15_wcost_re3_c2p1_t1
Argentina,Chile,2045,0.002839419,prm15_wcost_re3_c2p1_t1
Argentina,Chile,2050,0.003193509,prm15_wcost_re3_c2p1_t1
Argentina,Paraguay,2020,0.0082466625,prm15_wcost_re3_c2p1_t1
Argentina,Paraguay,2025,0.00784222,prm15_wcost_re3_c2p1_t1
Argentina,Paraguay,2030,0.007801740000000001,prm15_wcost_re3_c2p1_t1
Argentina,Paraguay,2035,0.007801740000000001,prm15_wcost_re3_c2p1_t1
Argentina,Paraguay,2040,0.007801740000000001,prm15_wcost_re3_c2p1_t1
Argentina,Paraguay,2045,0.00756144,prm15_wcost_re3_c2p1_t1
Argentina,Paraguay,2050,0.00703634,prm15_wcost_re3_c2p1_t1
Argentina,Uruguay,2020,1.5678710946154313,prm15_wcost_re3_c2p1_t1
Argentina,Uruguay,2025,1.744903010385101,prm15_wcost_re3_c2p1_t1
Argentina,Uruguay,2030,1.7297421725137103,prm15_wcost_re3_c2p1_t1
Argentina,Uruguay,2035,1.7100084012485786,prm15_wcost_re3_c2p1_t1
Argentina,Uruguay,2040,1.7685874323725237,prm15_wcost_re3_c2p1_t1
Argentina,Uruguay,2045,1.7883221616011233,prm15_wcost_re3_c2p1_t1
Argentina,Uruguay,2050,1.8263702359148033,prm15_wcost_re3_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re3_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re3_c2p1_t1
Brazil,Paraguay,2030,0.0,prm15_wcost_re3_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re3_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re3_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re3_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re3_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re3_c2p1_t1
Brazil,Uruguay,2025,1.9366363602625614,prm15_wcost_re3_c2p1_t1
Brazil,Uruguay,2030,2.6572066377973327,prm15_wcost_re3_c2p1_t1
Brazil,Uruguay,2035,2.196202092570127,prm15_wcost_re3_c2p1_t1
Brazil,Uruguay,2040,2.6085532792109865,prm15_wcost_re3_c2p1_t1
Brazil,Uruguay,2045,2.424520367770498,prm15_wcost_re3_c2p1_t1
Brazil,Uruguay,2050,2.2797030307008797,prm15_wcost_re3_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re4_c2p1_t1
Argentina,Brazil,2025,0.3321081,prm15_wcost_re4_c2p1_t1
Argentina,Brazil,2030,0.41338095720417856,prm15_wcost_re4_c2p1_t1
Argentina,Brazil,2035,0.49322070000000007,prm15_wcost_re4_c2p1_t1
Argentina,Brazil,2040,0.46834450540872835,prm15_wcost_re4_c2p1_t1
Argentina,Brazil,2045,0.49286520000000006,prm15_wcost_re4_c2p1_t1
Argentina,Brazil,2050,0.5484654000000001,prm15_wcost_re4_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re4_c2p1_t1
Argentina,Chile,2025,0.0055716540000000005,prm15_wcost_re4_c2p1_t1
Argentina,Chile,2030,0.005006067,prm15_wcost_re4_c2p1_t1
Argentina,Chile,2035,0.004959174,prm15_wcost_re4_c2p1_t1
Argentina,Chile,2040,0.0048570142500000005,prm15_wcost_re4_c2p1_t1
Argentina,Chile,2045,0.002839419,prm15_wcost_re4_c2p1_t1
Argentina,Chile,2050,0.003193509,prm15_wcost_re4_c2p1_t1
Argentina,Paraguay,2020,0.0082466625,prm15_wcost_re4_c2p1_t1
Argentina,Paraguay,2025,0.00784233,prm15_wcost_re4_c2p1_t1
Argentina,Paraguay,2030,0.007801740000000001,prm15_wcost_re4_c2p1_t1
Argentina,Paraguay,2035,0.007801740000000001,prm15_wcost_re4_c2p1_t1
Argentina,Paraguay,2040,0.007801740000000001,prm15_wcost_re4_c2p1_t1
Argentina,Paraguay,2045,0.00756144,prm15_wcost_re4_c2p1_t1
Argentina,Paraguay,2050,0.00703634,prm15_wcost_re4_c2p1_t1
Argentina,Uruguay,2020,1.5678710946154313,prm15_wcost_re4_c2p1_t1
Argentina,Uruguay,2025,1.7077794703758848,prm15_wcost_re4_c2p1_t1
Argentina,Uruguay,2030,1.5917777066968355,prm15_wcost_re4_c2p1_t1
Argentina,Uruguay,2035,1.806007277619751,prm15_wcost_re4_c2p1_t1
Argentina,Uruguay,2040,1.7911570057726514,prm15_wcost_re4_c2p1_t1
Argentina,Uruguay,2045,1.8036140095243332,prm15_wcost_re4_c2p1_t1
Argentina,Uruguay,2050,1.8008263436039207,prm15_wcost_re4_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re4_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re4_c2p1_t1
