Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_1axis,cf_fixed
-40.25,-71.75,p_solar_Argentina_AR13,Argentina,866.2,0.19,24.6984852,0.2319847449908924,0.1817750455373406
-40.75,-71.75,p_solar_Argentina_AR14,Argentina,863.8,0.19,6.065691441,0.2316642759562841,0.18223736338797814
-41.25,-71.75,p_solar_Argentina_AR15,Argentina,848.6,0.18,49.09909275,0.2306567622950818,0.18175523679417122
-39.25,-71.25,p_solar_Argentina_AR33,Argentina,729.2,0.2,23.61911958,0.2649032331511844,0.20287693533697634
-39.75,-71.25,p_solar_Argentina_AR34,Argentina,726.2,0.2,7.681807314,0.261887636612021,0.20158697632058287
-40.25,-71.25,p_solar_Argentina_AR35,Argentina,715.6,0.19,6.963270806,0.2626405965391623,0.2021113387978142
-40.75,-71.25,p_solar_Argentina_AR36,Argentina,712.3,0.19,26.97389697,0.2608222905282329,0.20080954007285975
-41.25,-71.25,p_solar_Argentina_AR37,Argentina,710.1,0.18,52.5428613,0.2562366803278683,0.1979698315118397
-36.75,-70.75,p_solar_Argentina_AR58,Argentina,469.1,0.22,0.995230218,0.3224930555555564,0.23639549180327873
-37.25,-70.75,p_solar_Argentina_AR59,Argentina,466.8,0.22,0.026400114,0.3150554417122053,0.23218567850637523
-37.75,-70.75,p_solar_Argentina_AR60,Argentina,462.5,0.21,2.70912778,0.3038416438979966,0.22598189890710382
-38.25,-70.75,p_solar_Argentina_AR61,Argentina,443.8,0.21,8.744686224,0.2953268442622954,0.22115209471766845
-38.75,-70.75,p_solar_Argentina_AR62,Argentina,442.0,0.21,16.92022736,0.2869458105646643,0.21645787795992713
-39.25,-70.75,p_solar_Argentina_AR63,Argentina,439.8,0.2,13.0935712,0.2820866347905286,0.2135076275045537
-39.75,-70.75,p_solar_Argentina_AR64,Argentina,428.0,0.2,11.85949044,0.2767882513661201,0.21017110655737706
-40.25,-70.75,p_solar_Argentina_AR65,Argentina,413.8,0.2,4.177343107,0.2721719034608371,0.20690459927140256
-40.75,-70.75,p_solar_Argentina_AR66,Argentina,395.7,0.19,18.21445133,0.2688210382513668,0.20483561020036434
-41.25,-70.75,p_solar_Argentina_AR67,Argentina,387.8,0.18,73.74041579,0.2667297358834248,0.20386099726775958
-30.75,-70.25,p_solar_Argentina_AR89,Argentina,241.8,0.24,80.51062936,0.3714658469945416,0.2666713342440802
-31.25,-70.25,p_solar_Argentina_AR90,Argentina,239.4,0.25,70.98229399,0.3703973132969099,0.26631022313296904
-31.75,-70.25,p_solar_Argentina_AR91,Argentina,239.0,0.26,86.79079899,0.3662881375227748,0.26389719945355194
-32.25,-70.25,p_solar_Argentina_AR92,Argentina,237.7,0.27,123.9364334,0.3589647085610251,0.25885724043715846
-34.75,-70.25,p_solar_Argentina_AR93,Argentina,232.2,0.25,74.04835464,0.3449495673952674,0.24869672131147544
-35.25,-70.25,p_solar_Argentina_AR94,Argentina,230.0,0.24,53.84517349,0.3431498178506399,0.2479849726775956
-35.75,-70.25,p_solar_Argentina_AR95,Argentina,222.3,0.24,63.76833705,0.3391244307832445,0.24660530510018216
-36.25,-70.25,p_solar_Argentina_AR96,Argentina,222.1,0.23,69.57137407,0.3349097222222248,0.24457354280510016
-36.75,-70.25,p_solar_Argentina_AR97,Argentina,218.4,0.23,26.41318082,0.3265772996357018,0.2396170309653916
-37.25,-70.25,p_solar_Argentina_AR98,Argentina,217.1,0.22,1.405221721,0.312697404371585,0.231327868852459
-37.75,-70.25,p_solar_Argentina_AR99,Argentina,203.2,0.21,3.513042647,0.3014414845173042,0.2247846083788707
-38.25,-70.25,p_solar_Argentina_AR100,Argentina,198.4,0.21,8.671382619,0.2948531420765031,0.22086657559198541
-38.75,-70.25,p_solar_Argentina_AR101,Argentina,198.3,0.21,1.359211209,0.2902591074681233,0.21796015482695813
-39.25,-70.25,p_solar_Argentina_AR102,Argentina,197.3,0.21,31.95609071,0.2854867941712222,0.2147764116575592
-39.75,-70.25,p_solar_Argentina_AR103,Argentina,196.4,0.2,13.62578708,0.2776086065573777,0.20972563752276868
-40.25,-70.25,p_solar_Argentina_AR104,Argentina,193.4,0.2,4.916320926,0.2728209244080148,0.20669193989071036
-40.75,-70.25,p_solar_Argentina_AR105,Argentina,192.6,0.2,39.63131213,0.269860883424408,0.20505555555555557
-41.25,-70.25,p_solar_Argentina_AR106,Argentina,190.5,0.19,84.81288929,0.2655007969034602,0.20288239981785064
-41.75,-70.25,p_solar_Argentina_AR107,Argentina,184.9,0.18,92.28808044,0.2642386156648454,0.2026648451730419
-29.25,-69.75,p_solar_Argentina_AR128,Argentina,156.5,0.23,123.2804907,0.3857108378870768,0.2765147996357012
-29.75,-69.75,p_solar_Argentina_AR129,Argentina,156.5,0.23,80.96457716,0.3823241120218671,0.27478142076502726
-30.25,-69.75,p_solar_Argentina_AR130,Argentina,156.4,0.23,53.26444686,0.377087431693996,0.27167235883424407
-30.75,-69.75,p_solar_Argentina_AR131,Argentina,155.9,0.23,33.04021145,0.3715334699453615,0.26816848816029143
-31.25,-69.75,p_solar_Argentina_AR132,Argentina,155.9,0.24,25.3102217,0.3663234289617533,0.2649039162112933
-31.75,-69.75,p_solar_Argentina_AR133,Argentina,155.8,0.25,51.34395902,0.3632797131147593,0.26365767304189436
-32.25,-69.75,p_solar_Argentina_AR134,Argentina,155.8,0.26,102.4213932,0.3615248178506429,0.26273144353369765
-32.75,-69.75,p_solar_Argentina_AR135,Argentina,155.7,0.26,67.33830687,0.360393897996363,0.2615168488160291
-33.25,-69.75,p_solar_Argentina_AR136,Argentina,155.5,0.26,52.92063731,0.3578849043715904,0.2586832877959927
-33.75,-69.75,p_solar_Argentina_AR137,Argentina,155.1,0.26,62.11607339,0.3548521174863425,0.25623690801457194
-34.25,-69.75,p_solar_Argentina_AR138,Argentina,155.1,0.25,61.54868303,0.3550876593806955,0.2565162795992714
-34.75,-69.75,p_solar_Argentina_AR139,Argentina,155.0,0.24,43.13211245,0.3492766393442658,0.25304178051001824
-35.25,-69.75,p_solar_Argentina_AR140,Argentina,155.0,0.24,8.391914704,0.3382786885245916,0.2465475865209472
-35.75,-69.75,p_solar_Argentina_AR141,Argentina,154.9,0.23,29.53378162,0.3319664162112938,0.2429903233151184
-36.25,-69.75,p_solar_Argentina_AR142,Argentina,154.9,0.23,63.34678331,0.326895036429874,0.24029143897996355
-36.75,-69.75,p_solar_Argentina_AR143,Argentina,154.9,0.22,12.7128994,0.3156706511839721,0.23347518214936247
-37.25,-69.75,p_solar_Argentina_AR144,Argentina,154.8,0.22,6.553908791,0.3018274134790525,0.22494330601092896
-37.75,-69.75,p_solar_Argentina_AR145,Argentina,154.8,0.21,34.87132872,0.2931731557377047,0.2196947859744991
-38.25,-69.75,p_solar_Argentina_AR146,Argentina,154.2,0.21,9.221510674,0.2879375000000003,0.21645047814207652
-38.75,-69.75,p_solar_Argentina_AR147,Argentina,154.1,0.21,9.92631172,0.284939207650273,0.2144098360655738
-39.25,-69.75,p_solar_Argentina_AR148,Argentina,153.7,0.21,33.84781211,0.2806394581056474,0.21140619307832423
-39.75,-69.75,p_solar_Argentina_AR149,Argentina,153.4,0.2,0.00425709,0.2743376593806914,0.2073334471766849
-40.25,-69.75,p_solar_Argentina_AR150,Argentina,153.3,0.2,21.64748627,0.2733586065573772,0.20682468123861564
-40.75,-69.75,p_solar_Argentina_AR151,Argentina,153.3,0.2,64.75385853,0.2727997495446262,0.2067211976320583
-41.25,-69.75,p_solar_Argentina_AR152,Argentina,153.0,0.19,108.9317881,0.2675973360655733,0.20398622495446267
-41.75,-69.75,p_solar_Argentina_AR153,Argentina,153.0,0.18,128.879259,0.2634228142076503,0.20208754553734062
-28.25,-69.25,p_solar_Argentina_AR174,Argentina,149.5,0.23,150.9868148,0.392294398907116,0.280921106557377
-28.75,-69.25,p_solar_Argentina_AR175,Argentina,149.5,0.22,121.0061516,0.3871048497267852,0.2777273451730419
-29.25,-69.25,p_solar_Argentina_AR176,Argentina,149.5,0.21,82.21404339,0.3771864754098428,0.2720793488160292
-29.75,-69.25,p_solar_Argentina_AR177,Argentina,149.4,0.21,52.26116798,0.3660532786885288,0.2657182377049181
-30.25,-69.25,p_solar_Argentina_AR178,Argentina,149.4,0.21,12.50857795,0.3536135018214952,0.25835405282331514
-30.75,-69.25,p_solar_Argentina_AR179,Argentina,149.3,0.22,13.25990708,0.3437575136612022,0.2523590619307833
-31.25,-69.25,p_solar_Argentina_AR180,Argentina,149.3,0.23,19.87612108,0.3376219262295085,0.24859892987249546
-31.75,-69.25,p_solar_Argentina_AR181,Argentina,149.3,0.24,36.56614236,0.3375632969034619,0.2489501366120219
-32.25,-69.25,p_solar_Argentina_AR182,Argentina,149.1,0.25,57.46984527,0.3393148907103835,0.2502362249544626
-32.75,-69.25,p_solar_Argentina_AR183,Argentina,149.1,0.25,33.60643496,0.3381042805100205,0.24914264571949
-33.25,-69.25,p_solar_Argentina_AR184,Argentina,149.0,0.24,9.475373784,0.3351822632058297,0.2466773679417122
-33.75,-69.25,p_solar_Argentina_AR185,Argentina,149.0,0.24,22.32161528,0.334526753187615,0.2456918260473588
-34.25,-69.25,p_solar_Argentina_AR186,Argentina,148.9,0.24,15.63740813,0.3338047586520953,0.24498258196721312
-34.75,-69.25,p_solar_Argentina_AR187,Argentina,148.8,0.23,26.29059916,0.32335359744991,0.23881136156648453
-35.25,-69.25,p_solar_Argentina_AR188,Argentina,148.8,0.23,26.56293739,0.3136544854280512,0.23317474954462664
-35.75,-69.25,p_solar_Argentina_AR189,Argentina,148.6,0.23,40.25385292,0.3131777094717669,0.2329504781420765
-36.25,-69.25,p_solar_Argentina_AR190,Argentina,148.6,0.23,82.78105933,0.3105193533697623,0.2309025500910747
-36.75,-69.25,p_solar_Argentina_AR191,Argentina,148.6,0.22,44.52922621,0.3013755692167582,0.22443032786885247
-37.25,-69.25,p_solar_Argentina_AR192,Argentina,148.5,0.22,7.664587064,0.2918028233151184,0.21873850182149362
-37.75,-69.25,p_solar_Argentina_AR193,Argentina,148.4,0.21,6.514206222,0.2861358151183966,0.21518055555555557
-38.25,-69.25,p_solar_Argentina_AR194,Argentina,148.4,0.21,20.00321838,0.280628301457195,0.21190516848816032
-38.75,-69.25,p_solar_Argentina_AR195,Argentina,148.2,0.21,3.549043967,0.276992486338797,0.20956659836065575
-39.25,-69.25,p_solar_Argentina_AR196,Argentina,148.1,0.21,17.76477644,0.2745221994535508,0.20773497267759564
-39.75,-69.25,p_solar_Argentina_AR197,Argentina,147.9,0.21,10.25396003,0.2737008196721309,0.20682103825136613
-40.25,-69.25,p_solar_Argentina_AR198,Argentina,147.7,0.2,43.84787107,0.276812727686703,0.2087969034608379
-40.75,-69.25,p_solar_Argentina_AR199,Argentina,147.6,0.2,88.49102894,0.2780506602914391,0.20978312841530056
-41.25,-69.25,p_solar_Argentina_AR200,Argentina,147.6,0.19,133.401802,0.2747950819672129,0.20769956739526413
-41.75,-69.25,p_solar_Argentina_AR201,Argentina,147.6,0.19,148.3210421,0.2666229508196717,0.20387693533697632
-42.25,-69.25,p_solar_Argentina_AR202,Argentina,147.6,0.18,92.7963529,0.2601236338797808,0.2004700591985428
-42.75,-69.25,p_solar_Argentina_AR203,Argentina,147.6,0.18,37.26680343,0.2564993169398906,0.19779132513661202
-27.25,-68.75,p_solar_Argentina_AR222,Argentina,145.0,0.25,95.50781307,0.4005903916211468,0.2882956511839709
-27.75,-68.75,p_solar_Argentina_AR223,Argentina,144.9,0.23,105.3000649,0.3987474954462819,0.28707616120218576
-28.25,-68.75,p_solar_Argentina_AR224,Argentina,144.5,0.22,101.9236527,0.3871761156648552,0.2785734289617487
-28.75,-68.75,p_solar_Argentina_AR225,Argentina,144.5,0.2,84.49143094,0.3612564890710397,0.26298417577413485
-29.25,-68.75,p_solar_Argentina_AR226,Argentina,144.5,0.2,53.06759155,0.337949453551912,0.2504604963570128
-29.75,-68.75,p_solar_Argentina_AR227,Argentina,144.4,0.2,15.21528245,0.3217835837887063,0.2415336976320583
-30.25,-68.75,p_solar_Argentina_AR228,Argentina,144.4,0.2,0.696466295,0.3118346994535521,0.23572620673952643
-30.75,-68.75,p_solar_Argentina_AR229,Argentina,144.3,0.2,11.04828099,0.3110265255009103,0.23485701275045537
