period,load_zone,Battery_new,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2045,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,14.171045590651701,0.04,0.0,6.949,0.575,0.0,0.0,3.258,2.39175271271747,2.507,0.0,prm15_wcost_re1_c2p1_t1
2045,Paraguay,0.5343586994934411,0.022,0.0,0.0,0.0,0.025,0.11618105174065779,0.0,1.7199916301510756,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.8617687435905907,0.0,0.0,prm15_wcost_re1_c2p1_t1
2045,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,5.53,0.0,0.0,1.538,0.0,0.0,0.0,0.256,2.1578397864252032,1.514,3.2505134533642566,prm15_wcost_re1_c2p1_t1
2050,Argentina,0.0,0.046,0.0,0.9942000000000001,0.0,1.663,0.0,16.346799999999998,50.04394665759126,0.0,0.0,11.236,2.11,1.755,0.0,0.0,5.089910608246093,0.0,8.991,prm15_wcost_re1_c2p1_t1
2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,68.31218102855892,0.0,0.0,104.603,50.635,1.99,0.0,0.0,115.5618,0.0,80.235,prm15_wcost_re1_c2p1_t1
2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,34.58,0.04,0.0,6.949,0.575,0.0,0.0,0.0,6.566879393697939,0.0,0.0,prm15_wcost_re1_c2p1_t1
2050,Paraguay,3.5519502023542993,0.022,0.0,0.0,0.0,0.025,0.125,0.0,2.7854300336971445,0.0,0.0,8.81,0.0,0.0,0.0,0.0,3.8726410921516163,0.0,1.8809891765592095,prm15_wcost_re1_c2p1_t1
2050,Uruguay,0.04428336755796367,0.425,0.0,0.0,0.0,0.084,0.0,1.106,5.53,0.0,0.0,1.538,0.0,0.0,0.0,0.0,3.1726100433480378,0.0,6.634680505363126,prm15_wcost_re1_c2p1_t1
2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,0.0,0.0,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re2_c2p1_t1
2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,0.0,0.0,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re2_c2p1_t1
2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,0.0,0.0,3.258,0.0,2.507,0.0,prm15_wcost_re2_c2p1_t1
