scenario,technology,load_zone,new_build_mw,cap_mw,new_cap_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re16_c2p1_t1,SolarPV,Paraguay,3700.5,11360.1,3700.5,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,SolarPV,Brazil,54041.5,134739.3,54041.5,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,SolarPV,Argentina,0.0,68590.4,0.0,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re1_c2p1_t1,Wind,Argentina,8991.0,631578.0,8991.0,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re12_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re1_c2p1_t1,Wind,Brazil,80235.0,281991.0,80235.0,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Paraguay,1880.9891765592095,80313.0,1880.9891765592095,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,11360.1,6146.4953248761885,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Chile,6566.879393697942,94117.1,6566.879393697942,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Brazil,126359.17232388906,134739.3,126359.17232388906,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Argentina,7012.020883884406,68590.4,7012.020883884406,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re20_c2p1_t1,SolarPV,Argentina,0.0,68590.4,0.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Brazil,18161.4,134739.3,18161.4,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Paraguay,3563.3164188517276,11360.1,3563.3164188517276,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Uruguay,2463.6679151903427,8111.2,2463.6679151903427,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Argentina,12750.0,631578.0,12750.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re2_c2p1_t1,SolarPV,Uruguay,4008.7016101593154,8111.2,4008.7016101593154,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re20_c2p1_t1,Wind,Brazil,116146.94076827864,281991.0,116146.94076827864,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Paraguay,1840.3347537687443,80313.0,1840.3347537687443,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Uruguay,7183.921896415075,102552.0,7183.921896415075,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Argentina,0.0,68590.4,0.0,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Brazil,82626.5,134739.3,82626.5,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Paraguay,2576.645513732091,11360.1,2576.645513732091,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Uruguay,3067.755049043202,8111.2,3067.755049043202,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Argentina,5931.463456174226,631578.0,5931.463456174226,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Brazil,72177.0,281991.0,72177.0,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re2_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,Wind,Brazil,50643.0,281991.0,50643.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Uruguay,6203.921787464457,102552.0,6203.921787464457,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Brazil,28587.0,281991.0,28587.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Uruguay,4620.690888917156,8111.2,4620.690888917156,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,11360.1,6146.4953248761885,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Chile,6566.87939369794,94117.1,6566.87939369794,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Brazil,128729.7,134739.3,128729.7,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,SolarPV,Argentina,7134.310606093095,68590.4,7134.310606093095,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Uruguay,6634.680505363126,102552.0,6634.680505363126,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re14_c2p1_t1,SolarPV,Argentina,501.9,68590.4,501.9,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Brazil,98261.3,134739.3,98261.3,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Paraguay,2488.6233168875924,11360.1,2488.6233168875924,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,SolarPV,Uruguay,3368.607936072067,8111.2,3368.607936072067,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Argentina,5769.0322771278625,631578.0,5769.0322771278625,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Brazil,64172.31478575975,281991.0,64172.31478575975,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Uruguay,7569.45213044104,102552.0,7569.45213044104,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re2_c2p1_t1,Wind,Uruguay,6576.093530784887,102552.0,6576.093530784887,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re12_c2p1_t1,Wind,Brazil,65337.0,281991.0,65337.0,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Uruguay,7616.403368421052,102552.0,7616.403368421052,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Uruguay,3351.5398290852872,8111.2,3351.5398290852872,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re8_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,11360.1,6146.4953248761885,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Chile,6566.879393697938,94117.1,6566.879393697938,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Brazil,128578.9,134739.3,128578.9,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,SolarPV,Argentina,7134.310606093096,68590.4,7134.310606093096,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Argentina,7126.616401915071,68590.4,7126.616401915071,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Brazil,128578.9,134739.3,128578.9,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re12_c2p1_t1,Wind,Argentina,5851.4430192310265,631578.0,5851.4430192310265,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re9_c2p1_t1,SolarPV,Chile,6566.879393697941,94117.1,6566.879393697941,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,11360.1,6146.4953248761885,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,SolarPV,Uruguay,4506.310008307901,8111.2,4506.310008307901,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,Wind,Brazil,38430.0,281991.0,38430.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Uruguay,6589.2044816263415,102552.0,6589.2044816263415,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,SolarPV,Argentina,0.0,68590.4,0.0,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,SolarPV,Brazil,23835.891347964265,134739.3,23835.891347964265,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,SolarPV,Paraguay,3608.8991262330733,11360.1,3608.8991262330733,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re8_c2p1_t1,SolarPV,Uruguay,4296.359449472198,8111.2,4296.359449472198,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Brazil,38745.0,281991.0,38745.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Brazil,86047.00931161719,281991.0,86047.00931161719,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Argentina,12750.0,631578.0,12750.0,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Uruguay,3174.616552191111,8111.2,3174.616552191111,0,1,10,0,"NoCut,Lim",010
