load_zone,scs_id_x,variable_om_cost_total_x,fuel_cost_total_x,startup_cost_total_x,capacity_cost_x,transmission_capacity_cost_x,mwh_x,MtCO2_x,total_costs_x,operations_cost_total_x,emis_policy_x,exist_trd,op_char,fixed_pv,pol_x,group_x,split_tx_cost_x,new_total_cost_x,scs_id_y,variable_om_cost_total_y,fuel_cost_total_y,startup_cost_total_y,capacity_cost_y,transmission_capacity_cost_y,mwh_y,MtCO2_y,total_costs_y,operations_cost_total_y,emis_policy_y,pol_y,group_y,split_tx_cost_y,new_total_cost_y,tx_diff,cap_diff,op_diff,tot_diff,cost_prem
Region-wide,prm15_wcost_re1_c2p1_co2_cut90p_tn,35516593804.40489,33156152889.95487,128390780.60838804,230.73129110093305,3606160947.681829,10201172370.5,447.1541586080632,303138589523.583,68.80113747496814,1,0,1,0,"90%Cut,Full",100,3.6061609476818286,303.138589523583,prm15_wcost_re1_c2p1_tn,44018813100.17289,74679698599.19754,8592329.429436183,167.17240247320964,0.0,10201172370.5,1177.3590616792108,285879506502.0095,118.70710402879986,0,"NoCut,Full",0,0.0,285.8795065020095,3.6061609476818286,63.558888627723405,-49.90596655383172,17.259083021573474,0.06037187916249658
Region-wide,prm15_wcost_re19_c2p1_co2_cut90p_tn,37206555292.73985,35498337397.33484,93546473.93790495,262.624072863095,6140304814.546045,10201172370.5,447.1541586080143,341562816841.6537,72.7984391640126,1,0,19,1,"90%Cut,Full",101,6.140304814546046,341.5628168416536,prm15_wcost_re19_c2p1_tn,48604072883.60371,104103766444.3134,2002633.1684124945,145.55855235747975,930856551.7403818,10201172370.5,1593.251510421427,299199250870.30566,152.70984196108554,0,"NoCut,Full",1,0.9308565517403818,299.19925087030566,5.209448262805664,117.06552050561527,-79.91140279707294,42.36356597134795,0.14158981296952294
Region-wide,prm15_wcost_re18_c2p1_co2_cut90p_tn,37891020184.53131,35346277296.86356,98578754.61185622,261.1266331578383,6402771959.133991,10201172370.5,447.1541586080715,340865281352.979,73.33587623600673,1,0,18,1,"90%Cut,Full",101,6.402771959133992,340.865281352979,prm15_wcost_re18_c2p1_tn,48360760403.78912,102437608383.02435,1976270.5570276328,147.19763564090778,931117159.7419196,10201172370.5,1569.9015225243293,298929097858.0202,150.80034505737052,0,"NoCut,Full",1,0.9311171597419196,298.92909785802027,5.4716547993920726,113.92899751693051,-77.4644688213638,41.936183494958755,0.14028806093302038
Region-wide,prm15_wcost_re17_c2p1_co2_cut90p_tn,35768468059.12074,34177642058.436607,61109840.92249346,248.26886936022584,5450678224.001024,10201172370.5,447.1541586080779,323726767542.70667,70.00721995847984,1,0,17,1,"90%Cut,Full",101,5.450678224001024,323.72676754270674,prm15_wcost_re17_c2p1_tn,46353411489.00504,90090552334.99762,2587849.06597441,157.62946798449852,139902491.71833193,10201172370.5,1383.0870586033177,294215922149.28546,136.44655167306863,0,"NoCut,Full",1,0.1399024917183319,294.21592214928546,5.310775732282692,90.63940137572732,-66.43933171458879,29.510845393421278,0.10030335944377423
Region-wide,prm15_wcost_re16_c2p1_co2_cut90p_tn,35615737487.036224,34100890283.807938,40695841.69665305,241.62143453821693,4914190004.915742,10201172370.5,447.15415860809,316292948155.67346,69.75732361254082,1,0,16,1,"90%Cut,Full",101,4.914190004915743,316.2929481556735,prm15_wcost_re16_c2p1_tn,45769032310.02951,86820307437.2938,1829635.27646556,158.63757342311533,31395680.97156172,10201172370.5,1335.253393097762,291260138486.68665,132.59116938259976,0,"NoCut,Full",1,0.0313956809715617,291.2601384866866,4.882794323944181,82.9838611151016,-62.83384577005894,25.032809668986886,0.0859465692732654
Region-wide,prm15_wcost_re15_c2p1_co2_cut90p_tn,35791159384.2633,34324532883.570717,58880767.80823698,249.54172804618597,6036014597.909868,10201172370.5,447.154158608085,325752315679.73804,70.17457303564225,1,0,15,1,"90%Cut,Full",101,6.036014597909868,325.75231567973805,prm15_wcost_re15_c2p1_tn,46636018401.91492,92333149919.46896,2635036.945251762,155.83421865503314,167473999.90461597,10201172370.5,1410.4897912727968,294973496013.2669,138.97180335832914,0,"NoCut,Full",1,0.1674739999046159,294.9734960132669,5.868540598005252,93.70750939115283,-68.79723032268689,30.778819666471122,0.10434435663700034
Region-wide,prm15_wcost_re20_c2p1_co2_cut90p_tn,35544587158.14436,33503564804.522,45092900.982703865,236.66592056011623,4118525131.411257,10201172370.5,447.1541586081008,309877690555.1766,69.09324486364905,1,0,20,1,"90%Cut,Full",101,4.118525131411257,309.8776905551765,prm15_wcost_re20_c2p1_tn,45083208276.78122,82971970111.17622,1497204.466693234,160.23967437561168,739943.227670057,10201172370.5,1275.0131287950635,288297089911.2635,128.05667559242414,0,"NoCut,Full",1,0.00073994322767,288.29708991126347,4.117785188183587,76.42624618450455,-58.963430728775094,21.580600643913044,0.07485542310037002
Region-wide,prm15_wcost_re9_c2p1_co2_cut90p_tn,35785632562.83726,34700976355.358376,298187521.63175136,246.90611674494917,5951963177.850229,10201172370.5,447.15415860805183,323642876362.6268,70.78479643982737,1,0,9,0,"90%Cut,Full",100,5.951963177850231,323.6428763626268,prm15_wcost_re9_c2p1_tn,46491311723.962685,90803911187.96477,11066632.83545927,154.8876214878332,675704016.8463187,10201172370.5,1399.387332581084,292869615049.4424,137.3062895447629,0,"NoCut,Full",0,0.6757040168463188,292.8696150494424,5.276259161003912,92.01849525711597,-66.52149310493553,30.773261313184378,0.10507495394491237
Region-wide,prm15_wcost_re8_c2p1_co2_cut90p_tn,36593388925.49664,34671233451.42681,304628670.00829154,245.84008002066932,6096223777.813594,10201172370.5,447.1541586080776,323505554845.4147,71.56925104693175,1,0,8,0,"90%Cut,Full",100,6.096223777813593,323.5055548454147,prm15_wcost_re8_c2p1_tn,46502760978.72499,90816500646.92387,11188741.64503658,154.7186169816358,675660285.6011683,10201172370.5,1400.062686582296,292724727634.5309,137.3304503672939,0,"NoCut,Full",0,0.6756602856011683,292.7247276345309,5.420563492212425,91.12146303903353,-65.76119932036215,30.780827210883785,0.10515280844095237
Region-wide,prm15_wcost_re7_c2p1_co2_cut90p_tn,35581031082.93528,33658640481.237217,185546486.062742,237.8549353179461,4235778192.1073647,10201172370.5,447.15415860807866,311515931560.2887,69.42521805023524,1,0,7,0,"90%Cut,Full",100,4.2357781921073645,311.5159315602887,prm15_wcost_re7_c2p1_tn,45889856096.67908,86492197163.01584,11397641.72711583,157.80303719758615,162709510.39298737,10201172370.5,1341.3406898048434,290359197609.4012,132.39345090142203,0,"NoCut,Full",0,0.1627095103929873,290.3591976094012,4.0730686817143775,80.05189812035994,-62.968232851186784,21.156733950887542,0.07286400473990887
Region-wide,prm15_wcost_re6_c2p1_co2_cut90p_tn,35557300032.44264,33438401072.42814,137173389.01376578,233.03621723293148,4081665669.13391,10201172370.5,447.1541586080403,306250757395.94995,69.13287449388456,1,0,6,0,"90%Cut,Full",100,4.08166566913391,306.25075739595,prm15_wcost_re6_c2p1_tn,45179795249.44096,82333885805.00346,7579800.451522378,161.16406170536075,18631926.5456402,10201172370.5,1278.7641156539378,288703954486.8024,127.52126085489596,0,"NoCut,Full",0,0.0186319265456402,288.7039544868024,4.06303374258827,71.87215552757073,-58.3883863610114,17.54680290914763,0.06077784054028173
Region-wide,prm15_wcost_re5_c2p1_co2_cut90p_tn,35658572389.424126,33968418218.81887,192846171.80970967,238.4481857128332,4632822113.528047,10201172370.5,447.1541586080504,312900844606.41394,69.81983678005271,1,0,5,0,"90%Cut,Full",100,4.632822113528047,312.90084460641395,prm15_wcost_re5_c2p1_tn,45894404266.89793,86582649302.87675,12053558.888629729,158.11940969590975,183979627.12243024,10201172370.5,1340.2325405936808,290792496451.6955,132.4891071286633,0,"NoCut,Full",0,0.1839796271224302,290.7924964516955,4.448842486405617,80.32877601692346,-62.669270348610596,22.108348154718442,0.07602791827330019
Region-wide,prm15_wcost_re4_c2p1_co2_cut90p_tn,35700241717.1802,34287058667.05078,250217415.46729016,242.33085909171768,5878254047.155133,10201172370.5,447.1541586080506,318446630938.571,70.23751779969827,1,0,4,0,"90%Cut,Full",100,5.878254047155132,318.44663093857105,prm15_wcost_re4_c2p1_tn,46283315545.59039,89255578866.78087,11488876.269113824,155.98439565420753,541271134.4546425,10201172370.5,1379.0354317268184,292076050077.3025,135.55038328864038,0,"NoCut,Full",0,0.5412711344546426,292.07605007730257,5.33698291270049,86.34646343751015,-65.31286548894211,26.37058086126848,0.09028669366861503
Region-wide,prm15_wcost_re3_c2p1_co2_cut90p_tn,37574313142.25986,34727834540.14318,337420465.5011636,247.75549035874675,6180503164.907309,10201172370.5,447.15415860807184,326575561671.5582,72.6395681479042,1,0,3,0,"90%Cut,Full",100,6.180503164907307,326.5755616715582,prm15_wcost_re3_c2p1_tn,46656955948.0321,92115580147.96132,10403513.27319548,153.4589180767517,784075807.1855268,10201172370.5,1416.7751021027743,293025933493.20386,138.78293960926663,0,"NoCut,Full",0,0.7840758071855268,293.02593349320387,5.39642735772178,94.29657228199505,-66.14337146136243,33.54962817835434,0.11449371657451764
Region-wide,prm15_wcost_re2_c2p1_co2_cut90p_tn,35671016902.69957,34209023042.142944,206000472.1801032,239.75211313411168,5293639318.099683,10201172370.5,447.15415860805786,315131792869.23395,70.08604041702262,1,0,2,0,"90%Cut,Full",100,5.2936393180996815,315.13179286923395,prm15_wcost_re2_c2p1_tn,46002911068.31992,87184682738.21375,11832973.586945107,157.87263684253148,321254591.76508534,10201172370.5,1352.1576461042223,291393318214.4172,133.1994267801206,0,"NoCut,Full",0,0.3212545917650853,291.39331821441715,4.972384726334596,81.8794762915802,-63.11338636309799,23.738474654816798,0.08146540490454629
Region-wide,prm15_wcost_re14_c2p1_co2_cut90p_tn,36118607977.448425,34872248271.41263,80543526.35696039,255.8230021441698,6790218001.710257,10201172370.5,447.1541586081045,333684619921.0981,71.07139977521801,1,0,14,1,"90%Cut,Full",101,6.790218001710257,333.6846199210981,prm15_wcost_re14_c2p1_tn,47577203627.69099,98130361788.68344,1919358.021406719,151.0713063346732,708880019.9204466,10201172370.5,1495.61559153681,297489671128.98944,145.7094847743958,0,"NoCut,Full",1,0.7088800199204466,297.4896711289895,6.081337981789811,104.7516958094966,-74.63808499917779,36.19494879210856,0.12166791759440507
Region-wide,prm15_wcost_re13_c2p1_co2_cut90p_tn,38234931234.253,35870938782.445526,126650505.21559767,264.19090030669804,6967037679.869187,10201172370.5,447.1541586081016,345390458508.4813,74.23252052191411,1,0,13,1,"90%Cut,Full",101,6.967037679869187,345.39045850848134,prm15_wcost_re13_c2p1_tn,48749339097.11192,105320665499.85043,2083149.653788897,144.57614395660232,927723573.1284332,10201172370.5,1609.2997137398445,299575955276.3469,154.07208774661615,0,"NoCut,Full",1,0.9277235731284332,299.5759552763469,6.039314106740754,119.61475635009572,-79.83956722470204,45.81450323213443,0.15293117630175748
Region-wide,prm15_wcost_re12_c2p1_co2_cut90p_tn,35836834167.6121,34620694443.32311,59950435.33716788,252.2235820919236,6317762766.534412,10201172370.5,447.1541586080861,329058823904.73035,70.51747904627238,1,0,12,1,"90%Cut,Full",101,6.317762766534411,329.05882390473033,prm15_wcost_re12_c2p1_tn,47135043231.53572,96104127288.0727,1557352.2874646313,152.37993574842645,541676773.0601994,10201172370.5,1459.91964486537,296162340393.3825,143.24072787189587,0,"NoCut,Full",1,0.5416767730601993,296.1623403933825,5.7760859934742115,99.84364634349714,-72.72324882562349,32.89648351134781,0.11107584937251817
Region-wide,prm15_wcost_re11_c2p1_co2_cut90p_tn,35573727028.385735,33647785870.02956,45006379.40078011,237.95286718879893,4613951801.572766,10201172370.5,447.1541586080857,311833338268.18774,69.26651927781607,1,0,11,1,"90%Cut,Full",101,4.613951801572767,311.83333826818773,prm15_wcost_re11_c2p1_tn,45504252066.0339,85454701244.22401,1934552.4721259635,158.19242683120427,883503.6652089367,10201172370.5,1315.02428019257,289154198197.59955,130.96088786273003,0,"NoCut,Full",1,0.0008835036652089,289.1541981975996,4.613068297907558,79.76044035759466,-61.69436858491396,22.67914007058812,0.0784326847472913
Region-wide,prm15_wcost_re10_c2p1_co2_cut90p_tn,35471021798.18393,33130486601.87916,108536507.99328987,229.52372831262537,3503940683.754086,10201172370.5,447.1541586080671,301737713904.43585,68.71004490805637,1,0,10,0,"90%Cut,Full",100,3.503940683754086,301.73771390443585,prm15_wcost_re10_c2p1_tn,44071453594.18807,76187628598.5644,2811586.776784863,166.34242510057533,0.0,10201172370.5,1190.0108218522928,286604318880.1046,120.26189377952925,0,"NoCut,Full",0,0.0,286.60431888010453,3.503940683754086,63.18130321205004,-51.55184887147287,15.133395024331321,0.052802396989216654
