SolarPV Argentina,SolarPV Brazil,SolarPV Chile,SolarPV Paraguay,SolarPV Uruguay,Wind Argentina,Wind Brazil,Wind Chile,Wind Paraguay,Wind Uruguay,emis_policy,exist_trd,op_char,fixed_pv,pol,group,Argentina,Brazil,Uruguay,Paraguay,Chile
0.0,80845.52113893225,0.0,2577.870703893069,3006.004694077064,5921.185416290466,81609.0,0.0,144.51832886240393,7562.849140514099,0,1,17,1,"NoCut,Lim",011,0.015789827776774575,0.43321205637048604,0.028183610225576437,0.007259704087347927,0.0
7012.020883884406,126359.17232388906,6566.879393697942,6146.4953248761885,4008.7016101593154,0.0,50643.0,0.0,0.0,6576.093530784887,0,1,2,0,"NoCut,Lim",010,0.018698722357025084,0.4720057928637041,0.028226120375851208,0.016390654199669837,0.01751167838319451
501.9,98261.3,0.0,2488.6233168875924,3368.607936072067,5769.0322771278625,64172.31478575975,0.0,0.0,7569.45213044104,0,1,14,1,"NoCut,Lim",011,0.016722486072340965,0.4331563060953594,0.029168160177368282,0.00663632884503358,0.0
7134.310606093095,128729.7,6566.87939369794,6146.4953248761885,4620.690888917156,0.0,28587.0,0.0,0.0,6203.921787464457,0,1,3,0,"NoCut,Lim",010,0.01902482828291492,0.41951120000000003,0.028865633803684305,0.016390654199669837,0.017511678383194507
1361.824595719103,109583.5,0.0,2488.623316887592,3628.520595912104,1452.0,49410.0,0.0,0.0,7717.999729802756,0,1,18,1,"NoCut,Lim",011,0.007503532255250941,0.4239826666666667,0.030257387535239627,0.006636328845033578,0.0
1878.8,114479.8,0.0,2488.6233168875924,3957.6207322724927,585.0,42544.678027807466,0.0,0.0,7709.872733686067,0,1,13,1,"NoCut,Lim",011,0.006570133333333334,0.41873194140748654,0.031113315909222825,0.00663632884503358,0.0
7134.310606093099,127785.7,6566.879393697939,6146.4953248761885,4117.086027475342,0.0,47275.09642138583,0.0,0.0,6622.161585355635,0,1,4,0,"NoCut,Lim",010,0.019024828282914928,0.4668287904570289,0.02863799363421594,0.016390654199669837,0.017511678383194503
5089.910608246093,115561.8,6566.879393697939,3872.6410921516162,3172.610043348038,8991.0,80235.0,0.0,1880.9891765592095,6634.680505363126,0,1,1,0,"NoCut,Lim",010,0.037549094955322916,0.5221248,0.026152774796563104,0.015343014049895534,0.017511678383194503
6474.467052270434,122906.79867398652,6566.879393697936,6060.2,3754.941805602406,0.0,51231.0,0.0,48.83068719731842,6648.635064140196,0,1,5,0,"NoCut,Lim",010,0.017265245472721156,0.4643674631306307,0.027742871652646942,0.016290748499192848,0.017511678383194496
0.0,82626.5,0.0,2576.645513732091,3067.755049043202,5931.463456174226,72177.0,0.0,144.35510258146323,7616.403368421052,0,1,15,1,"NoCut,Lim",011,0.01581723588313127,0.4128093333333333,0.02849108911323801,0.007256001643502811,0.0
239.0,89110.44347734698,0.0,2571.0460592699355,3351.5398290852872,5851.4430192310265,65337.0,0.0,114.97840163601856,7651.403284671533,0,1,12,1,"NoCut,Lim",011,0.016241181384616072,0.41185984927292524,0.029341181636684855,0.007162731895749211,0.0
6013.046761531181,118106.8,6566.879393697939,3841.6,3356.095760393116,3258.0,68850.0,0.0,1809.3780187943678,6658.20628628062,0,1,6,0,"NoCut,Lim",010,0.02472279136408315,0.4985514666666666,0.02670480545779663,0.015069274716784981,0.017511678383194503
0.0,54041.5,0.0,3700.5,2748.715863163657,8318.068708627894,95582.68241786798,0.0,1840.7077973988767,7329.189917907082,0,1,16,1,"NoCut,Lim",011,0.02218151655634105,0.3989978197809813,0.02687441541618864,0.014776554126397003,0.0
0.0,23835.891347964265,0.0,3608.8991262330733,2609.0134007682786,7973.857284734425,105852.0,0.0,1866.690411221058,7191.057904188354,0,1,11,1,"NoCut,Lim",011,0.021263619425958467,0.3458343769279047,0.026133523479884353,0.014601572099877684,0.0
6212.8,122015.4,6566.879393697935,5621.4,3694.1420128289355,0.0,55980.0,0.0,337.86308518802696,6589.2044816263415,0,1,7,0,"NoCut,Lim",010,0.016567466666666666,0.4746544,0.027422257318547402,0.015891368227168072,0.017511678383194493
1868.3083106052807,109583.5,0.0,2488.623316887591,3853.095773447498,1491.7352227069246,47649.0,0.0,0.0,7584.227203482047,0,1,19,1,"NoCut,Lim",011,0.008960116088832546,0.41928666666666664,0.030499527938478786,0.0066363288450335765,0.0
7134.310606093096,128578.9,6566.879393697938,6146.4953248761885,4296.359449472198,0.0,38745.0,0.0,0.0,6538.809280838827,0,1,8,0,"NoCut,Lim",010,0.01902482828291492,0.44619706666666664,0.028893783280829404,0.016390654199669837,0.017511678383194503
4759.7,110461.4,6566.625560847519,3554.8663669040743,3174.616552191111,12750.0,86047.00931161719,0.0,1940.373831368368,6530.60097365173,0,1,10,0,"NoCut,Lim",010,0.046692533333333334,0.5240224248309792,0.025880580068914243,0.014653973862059846,0.017511001495593384
7126.616401915071,128578.9,6566.879393697941,6146.4953248761885,4506.310008307901,0.0,38430.0,0.0,0.0,6273.338202561742,0,1,9,0,"NoCut,Lim",010,0.019004310405106858,0.44535706666666663,0.02874572856231905,0.016390654199669837,0.01751167838319451
0.0,18161.4,0.0,3563.3164188517276,2463.6679151903427,12750.0,116146.94076827864,0.0,1840.3347537687443,7183.921896415075,0,1,20,1,"NoCut,Lim",011,0.034,0.3581555753820764,0.025726906164281114,0.014409736460321258,0.0
4631.7,112152.1999999996,6572.4691618979,5465.7999999995,3228.098656574,8991.0,78885.0,0.0,4232.687901036,6546.8508291999,0,0,1,0,"NoCut,Full",000,0.036327200000000004,0.5094325333333323,0.02606653196206373,0.025862634402761334,0.017526584431727735
373.4,109432.7515290898,0.0,5376.4934921294,1971.72078145316,584.9999999995999,49410.0,0.0,5592.0,0.0,0,0,18,1,"NoCut,Full",001,0.0025557333333322664,0.4235806707442395,0.0052579220838750934,0.029249315979011734,0.0
501.9,109583.4999999996,0.0,5011.3,1971.7207814532,0.0,47649.0,0.0,5659.78078323,0.0,0,0,19,1,"NoCut,Full",001,0.0013384,0.4192866666666656,0.0052579220838752,0.028456215421946672,0.0
4343.287655718,119052.69999999912,5640.817496071,6203.8,3759.5999999999,0.0,51966.72290521,0.0,3724.95670827,5424.0,0,0,2,0,"NoCut,Full",000,0.011582100415247999,0.456051794413891,0.024489599999999733,0.026476684555386668,0.015042179989522668
5154.319990803,121436.8999999991,5640.817496071,6986.9000299025,3542.2729781046,0.0,44673.708703571,0.0,2238.381143955,3898.701463748,0,0,4,0,"NoCut,Full",000,0.013744853308808,0.44296162320952026,0.019842598511606933,0.024600749796953335,0.015042179989522668
5172.8,114709.9999999994,5640.817496071,5779.79999999981,3534.64593433572,0.0,53433.632667151,0.0,3564.526309204,6082.857578158,0,0,5,0,"NoCut,Full",000,0.013794133333333333,0.4483830204457344,0.02564667603331659,0.024918203491210163,0.015042179989522668
3815.4773620028,103364.6,5640.817496071,4857.2,3197.8835773197998,3054.0,64263.0,0.0,4574.756488673,6714.71605193,0,0,6,0,"NoCut,Full",000,0.01831860629867413,0.44700693333333336,0.026433599011332794,0.025151883969794668,0.015042179989522668
