Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,22.152454120915404,20.4012455135178,24.897241886722586,25.93927332899453,20.425625796606454,25.1820850728647,24.793786697406436,24.746221375096713,20.1326579539264,24.3827627757943,17.418169126775403,24.7084200510114,20.4755706675671,17.251905589981302,9.5910445359783,13.681181604436299,9.11948820024747,13.5348293675442,16.3747220981033,14.7699313770523,15.819713268736802,18.6488869679302,20.247839660683397,24.4586621796803
2,19.490678103864497,20.651042424815298,21.797558113883703,24.8350833543225,19.1241262805651,24.565608402272943,23.779659530079,20.68334632458271,21.9355634662194,17.90738134341207,17.2068507712188,20.303730133579403,14.887179172526398,13.607652178891003,10.96097885403562,10.0488761667935,9.445489235539801,9.945436053260352,11.683667043737401,11.9668833656592,11.689170292195,17.324123180136205,18.92700125170777,21.05902758520917
3,-0.24424860746712018,8.2397660140666,8.81242942116226,12.51757761311071,10.571173611956436,9.781279973203,8.258901087683324,5.907875492328781,1.8966901856647798,-1.4189385827377001,-3.0024207395725,-3.8823063886195,-1.6133036544774995,-1.8546637685844996,0.3981873239369009,1.3399457466090463,1.6830557083804991,1.166759448782701,0.3252978091429326,-3.5496452415835478,-3.1218556260628088,-1.9462722919408995,-1.5821756628302,-0.7969685063502
4,10.9487974286568,13.4288868634184,13.349460605095501,15.386090424413496,13.7082863637224,10.176441748810484,11.1582768915261,10.981418095843498,11.072349040957501,12.358914739732796,10.931026609311399,10.051128115748401,14.5990055421574,2.7965072348589013,1.6862963374363207,-0.0796199264377,1.7211997306944,4.538796873572399,3.8413636305081,1.2396349265305,5.380877199532799,9.89558411472791,14.266636415135299,10.7526037172504
5,15.844182627666797,20.2103950551895,19.45867982756917,19.066187376932202,17.3800708177844,17.5368697033998,17.506628518544602,17.993565987756625,16.081292319766902,17.3163118906653,11.546509035125599,5.4446458482533995,11.674634109686998,5.979722871299448,5.772213739794599,5.26590598880233,5.7299142333762,4.8056903194058025,9.016593107281313,5.8780922380595,4.7418078015832,8.9814799827626,14.121863221962297,12.9459662027565
6,20.417709726504498,21.9763492683314,15.713951518448402,17.681037098950213,17.505818130636104,20.3668160479869,19.511671675333933,16.7267746328854,21.494837530823396,21.056456230633803,21.551876233011402,23.5496247422484,19.022979850644504,14.292553311343504,13.527434341381399,11.283525315672401,11.17795819038544,10.940431015343302,13.0495766578134,16.4861350649534,19.4730879517025,22.4465972183015,19.5979620628624,20.821353703568498
7,16.363827805700403,18.369262813041,18.85420688116099,19.767792146585002,19.537437320968387,19.3396674770154,18.236151812587497,18.386347691318228,15.314399593603447,15.9930081557305,19.452896364787932,11.678435205873441,9.760602452168401,8.6093708672403,8.0066425613371,11.4383679719837,12.061875127267902,11.3262122511634,9.7400978032649,8.6528154103164,7.663133515926099,12.108173851955657,16.213270258453004,18.326287568554115
8,25.589813219876504,25.69496343358869,25.045348432106405,20.18386795484068,20.456643293396404,20.144927893016877,20.466766906943118,21.2352995626961,20.674712871131998,24.521669939405403,21.907394672985397,22.705321754893504,18.335781093964304,9.5652613946359,10.3903810932692,9.2583620722174,9.32846020145212,4.780424755811439,10.960746497016498,17.2722086307283,21.554019888771403,25.135213967616,25.812774828990403,25.5459255974249
9,17.551211795851085,19.8029400902712,21.3265852822875,24.159359825907597,21.937950183221503,21.9450737433938,21.3534206489174,18.64119676717703,16.5351911934084,15.952117463277403,16.189955738135886,17.091177767108704,12.0746459330594,8.4945510396602,6.1304037899458,5.969771095469299,7.063549490775421,8.713802032884342,10.9270134401974,8.6977320342118,11.524892617163799,17.042335914104,17.52242932124546,16.86663201303405
10,25.812774828990403,25.0343695213774,21.46621555506265,21.430186335856604,21.531400299483604,21.3516691540684,19.205010130358502,16.98649114789164,22.3470162953275,21.4086746385384,21.68589439559,19.83942873702573,17.360151365183402,13.7978093274763,11.4381604876412,10.143408495537999,8.933105946272129,10.0993036332343,5.962886262284091,11.952147342946883,14.609472339491399,18.5267160004834,18.6792054876857,19.7505432270354
11,18.1805025492472,17.569720408791802,19.3422438071141,19.88777080232063,18.653031573871424,19.418143359929047,21.1530858690279,17.1599184790839,16.907577348553,17.241277161426698,17.054880510577604,16.2782709996448,12.04343188119894,10.5197421387045,12.095208112240359,10.024288073749798,11.498961397820398,10.842248767455299,10.903085078113499,10.4427760796964,11.4349666841214,15.283077269680202,18.98264232325699,21.006233885614648
12,18.442844130006996,18.109018537354192,20.4692068713477,20.882946539779603,20.5242246755834,20.711795788667,20.852708572579605,19.177422633072403,19.420756941029598,19.15647059323054,16.58535413682157,17.2430328380724,13.856590868331399,11.638116896291397,9.29742214751097,7.734579774002101,8.846658369350699,10.110986173674,9.183316739134199,12.079721958064539,13.988173233409299,16.6937932946141,19.849928115334198,18.9873781150635
