month,Battery_discharge,Biomass,Coal,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Wind,load,curt,Battery_charge,group
4,0.0,0.388499999999999,0.0,0.0,5.935317360378141,0.04,77.0027347481234,3.745,0.0,2.4803357,89.0751,0.3629058,0.0,1
4,0.0,0.38849999999999885,0.0,0.0,5.64706947974875,0.04,71.57106346025125,3.745,0.0,2.5442485600000007,83.16470000000001,0.42567554000000013,0.0,1
4,0.0,0.38849999999999685,0.0,0.0,5.931829624195982,0.04,68.38817804247068,3.745,0.0,2.727149833333334,80.3299,0.38606319999999955,0.0,1
4,0.0,0.3884999999999986,0.0,0.0,5.9948888285840605,0.04,66.50193109141594,3.745,0.0,2.7612375799999995,78.465,0.43571881999999995,0.0,1
4,0.0,0.38849999999999996,0.0,0.0,5.444142631960476,0.04,65.87841112602118,3.745,0.0,2.97248292,77.4707,0.2629052799999999,0.0,1
4,0.0,0.3884999999999991,0.0,0.0,5.865900013016721,0.04,65.32261536314329,3.745,0.0,2.8481525666666676,77.2093,0.2517754000000001,0.0,1
4,0.0,0.3884999999999986,0.0,0.0,5.445969076512137,0.04,66.45463152348788,3.745,0.0,2.7265554000000005,77.8198,0.2730228666666661,0.0,1
4,0.0,0.38849999999999735,0.0,0.0,5.720873416664899,0.04,71.36792140578159,3.745,0.0,2.497787373333334,82.9085,0.4370261933333334,0.0,1
4,0.0,0.38849999999999846,0.0,0.0,6.061096402021435,0.04,78.06919364464524,3.745,0.0,2.4727274533333334,90.0908,0.4151139133333334,0.0,1
4,0.0,0.38849999999999973,0.0,0.0,6.108983976938682,0.04,82.09728012306131,3.745,0.0,2.4499519000000007,94.2574,0.4110821000000001,0.0,1
4,0.0,0.38849999999999685,0.0,0.0,5.791740904045625,0.04,85.28916559595439,3.745,0.0053090999999997005,2.5429013999999994,97.3251,0.21908426666666675,0.0,1
4,0.0,0.38849999999999973,0.0,0.0,6.053152900439121,0.04,85.60902762622754,3.745,1.5373866200000004,1.977650353333334,98.952,0.3331417933333326,0.0,1
4,0.0,0.3884999999999981,0.0,0.0,6.449521900358873,0.04,83.47085386480933,3.745,2.8284112633333347,1.7430750200000003,98.34660000000001,0.3360677166666658,0.0,1
4,0.0,0.3884999999999994,0.0,0.0,6.263427358004071,0.04,86.48057524199594,3.745,3.4388962533333327,2.089255646666667,102.23490000000001,0.4418367333333334,0.0,1
4,0.0,0.38849999999999796,0.0,0.0,6.080599644994662,0.04,88.03765871500535,3.745,3.6498069066666674,2.238342733333333,103.99839999999999,0.33717012666666657,0.0,1
4,0.0,0.3884999999999996,0.0,0.0,5.803082457281997,0.04,88.282933960158,3.745,3.8273427066666685,2.0041255733333325,103.88489999999999,0.3990725866666662,0.0,1
4,0.0,0.3884999999999983,0.0,0.0,5.751719186669938,0.04,87.12580293333005,3.745,3.7428231066666684,1.9496107733333337,102.4666,0.4449234866666666,0.0,1
4,0.0,0.38849999999999885,0.0,0.0,6.0368099820607,0.04,81.36068304460598,3.745,3.6197882,1.9411762733333338,96.7257,0.42133009333333343,0.0,1
4,0.0,0.38849999999999923,0.0,0.0,5.911513353367977,0.04,80.97091362129869,3.745,3.49347572,1.932914973333333,96.0383,0.4186036733333335,0.0,1
4,0.0,0.38849999999999846,0.0,0.0,5.904559479809626,0.04,82.35441677123039,3.745,3.2812064400000005,2.053261466666666,97.39280000000001,0.24751202666666666,0.0,1
4,0.0,0.3884999999999986,0.0,0.0,5.881528097168839,0.04,84.20261624725782,3.745,2.631704926666667,1.948815866666666,98.53859999999999,0.39812013999999984,0.0,1
4,0.0,0.388499999999999,0.0,0.0,5.487015919440351,0.04,86.87153618055964,3.745,1.1648909999999997,2.1162743999999996,99.5514,0.2606644999999998,0.0,1
4,0.0,0.388499999999999,0.0,0.0,5.942334712568274,0.04,85.38178788743173,3.745,0.0,2.2596974,97.4601,0.3401427,0.0,1
4,0.0,0.3884999999999986,0.0,0.0,5.936138893768611,0.04,80.97260764271726,3.745,0.0,2.4508767600000008,93.11410000000001,0.3119426400000001,0.0,1
8,0.0,11.226824999999996,2.519061554314585,4.27575,26.68423328182583,0.04,39.08220890881935,3.745,0.0,3.552071741935484,96.60309999999998,0.0,0.0,1
8,0.0,11.226824999999998,2.627822807217839,4.27575,26.35594212508959,0.04,27.422344101684576,3.745,0.0,3.7837186129032245,90.05630000000001,0.0,0.0,1
8,0.0,11.226824999999998,2.321180807217839,4.27575,25.79776503548386,0.04,28.50548463516128,3.745,0.0,4.026385354838709,86.94369999999999,0.0,0.0,1
8,0.0,11.226824999999998,2.436521807217839,4.27575,25.244682462428834,0.04,28.83219611891119,3.745,0.0,4.136124903225807,84.9007,0.0,0.0,1
8,0.0,11.226824999999998,2.317034807217839,4.27575,25.028333214542,0.04,20.835978819677408,3.745,0.0,4.143012322580644,83.82889999999999,0.0,0.0,1
8,0.0,11.226825,2.411225807217839,4.27575,25.065023391185086,0.04,30.618529428709667,3.745,0.0,4.111330193548389,83.55810000000001,0.0,0.0,1
8,0.0,11.226824999999998,2.6644168072178394,3.9942162064516133,25.36178586988097,0.04,28.38452766858861,3.745,0.0,4.138191129032259,84.239,0.0,0.0,1
8,0.0,11.226824999999998,2.3596798072178387,4.27575,25.920305656887088,0.04,24.042229176451603,3.745,0.0,4.23117129032258,89.74999999999999,0.0,0.0,1
8,0.0,11.226824999999998,2.3752828072178387,4.27575,26.68423328182584,0.04,26.837761345270916,3.745,0.0,4.282138193548389,97.541,0.0,0.0,1
