Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,23.092897072673903,21.509942875783,26.2232466116619,27.0945176641559,21.647572780749,26.462693034030902,26.2429966275688,25.7943308625699,21.0731009056849,25.3232057275528,18.358612078533902,25.6488630027699,21.804048540815902,18.1923485417398,10.5314874877368,14.6216245561948,10.1047552367378,14.4752723193027,17.3151650498618,15.7103743288108,17.099169495778902,19.59468161752,21.4060727807489,25.399105131438798
2,19.934081055622997,23.9934434369798,25.721137716613402,26.189381413308897,23.616046578360802,25.9922831605238,25.7856381939099,23.8943535610593,24.2391268608159,19.71215098296177,18.4030262497307,21.942428131004903,16.5561074331129,15.105340986082899,12.116966940402099,11.3291612721729,10.7383917131949,11.116188115599401,13.2396861992798,13.0254872830719,13.0489853935758,18.900676355245103,20.00674314147627,22.769890582708
3,0.931346833211,10.8678957412128,12.228546960849,14.212830767973566,14.1782714829609,13.2992979777375,11.4676970135524,7.9477977782841,3.0730687961288,0.21998274188,-0.574957763267,-0.3388888622531,0.600480007723,0.90576264175,3.605846263302501,4.865520451869999,5.069534574246999,4.829775074203201,3.5525162774224324,0.8390942254958523,0.7168542187714301,1.2163047865776,0.34826652322210006,0.10515890128210001
4,16.1949658903343,19.5715031622019,19.776813489083,21.971553011168997,20.0541579063979,16.766235382723984,17.6074857764726,16.835614006129997,16.036997068097,16.722749811620197,14.6646092039739,12.4965371161349,15.8582604939159,5.825788346083401,4.37623202063882,2.4941727437128,4.4607901949609,7.680332740241899,7.1796606857336,4.430225996712,8.2889906637869,12.888414617479,18.225772191847,15.4908701955019
5,21.545910991654196,26.827447253427,26.282337780748904,25.9635277807489,24.3131537695429,24.466392017440697,24.4358834703031,24.443781869591803,21.9226881347214,22.7359904414378,16.5925646140111,9.2976014950769,15.6276840127655,10.65900776958,10.315561395400099,9.8358306446248,10.0460010409093,9.371857108457352,12.7384280176408,10.3685997933969,8.7750808416777,13.15260395958,18.825941100741797,18.297783623624
6,25.0918821370129,25.6495274759219,21.392426001133902,23.662590081391,23.464169297997003,26.133464919818604,25.1132990765633,21.454609739309902,25.2635858906149,24.497112671078902,24.655320114772902,25.8963420631719,21.788088087338004,17.533937448995903,16.9000186257169,14.854159975321801,15.05900657581884,15.359277138531802,17.6245847072889,20.6855600181419,23.165326873445,26.073759774749,23.5718873407489,25.2858935538669
7,19.138318213363902,22.9813868603282,23.9790552486421,25.0591232571639,24.818395689090387,24.5151380049465,23.2265425597641,21.067232574832598,18.510583208114948,18.5726072899479,19.70867876185483,11.7824585239019,9.9878555628749,8.8756813193689,8.330213221152201,11.8250940003773,12.803058044998801,12.596416110023199,11.1268988064653,9.7122589400539,8.333033305434899,12.157816803714157,17.709062549932504,20.602615170262613
8,26.530256171635003,26.5185254898306,26.256177780748903,26.3920847125534,27.029784412232903,26.44880461193768,26.60574526510587,26.5031732110475,24.8591191917409,25.457273406553902,25.5015422558959,25.584921753516003,19.276224045722802,10.5057043463944,11.3308240450277,10.1988050239759,10.36748540129812,9.52204322516724,15.677769296548998,18.2126515824868,22.494462840529902,26.0756569193745,26.7532177807489,26.4863685491834
9,20.007015392484586,24.3116103116816,26.2309525630744,27.2501047807489,26.812316946637804,26.7369278912659,25.8978621650158,22.2976472813036,19.2381460120869,18.015376643179902,17.617793713312984,17.672658908650902,12.4096120893399,8.9159167495889,6.600135362694,5.9548621334693985,7.155141131186401,9.333067255555498,11.8271898339749,9.371165792749899,12.122880846103099,17.3587386296091,18.72951470281096,19.401429798588502
10,27.0758577807489,26.2937388684098,27.1672332877069,27.0759197807489,27.057019780748902,26.6400022819168,24.060551129337902,21.310156711831798,24.9016730833829,24.5151640875389,24.0829472290645,21.3088730919879,18.6232343169419,15.0608922792348,12.7636858383538,11.6224764472965,10.9558552868801,12.4472217077728,8.715790044633799,14.261254742429383,16.6108889334779,20.7509756211459,21.831984386720098,23.9665696495318
11,23.1709024695518,23.577592263141803,25.686676453269904,25.8932799678479,24.5286134850218,25.1315480442539,24.6796129939089,21.7637686213016,20.2285770251639,20.2222162665162,18.394638470429403,18.4717895939458,14.52032083702844,12.551886253286,13.3429352667065,12.077546164265899,13.654885710498599,12.942461786338699,13.1584438775909,12.9743424374159,13.3482444829858,17.971124975206703,22.65876658385649,25.1989183888509
12,22.549675355500497,23.151754597640902,26.0560406295452,26.657152239494103,26.1943627807489,26.164692785578,25.922183894148404,21.783190760349303,22.509675046818998,21.5146799372151,19.549748003147073,20.0643960716939,16.8069569049609,13.446248008208897,10.81740664421207,9.5963751486646,10.801134281556498,12.4396353533105,11.5842934747247,14.08700115409234,15.271665291219898,18.0877005078903,21.826752382243598,22.448466981143
