Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_vestas_2,cf_vestas_7,cf_vestas_3,cf_siemens_36,cf_siemens_23,cf_GE_25,cf_GE_15,cf_gamesa_2,cf_enercon_7,cf_enercon_3,all_avg
-50.75,-71.75,p_wind_Argentina_AR30,Argentina,1191,0.06,25.57051364,0.6241543715846991,0.579974043715847,0.5304816712204009,0.5652848360655737,0.5864289617486338,0.6131914845173042,0.5890516848816029,0.5407481785063752,0.5426719034608378,0.6345117258652094,0.5806498861566485
-51.25,-71.75,p_wind_Argentina_AR31,Argentina,1170,0.1,14.56800821,0.6340400728597424,0.5908286657559199,0.5416479963570128,0.5760374544626594,0.596792349726776,0.6234025500910747,0.5993230874316938,0.5514504781420766,0.5539088114754099,0.6445368852459016,0.5911968351548267
-51.75,-71.75,p_wind_Argentina_AR32,Argentina,918,0.1,40.32457464,0.637649590163934,0.5950114981785063,0.5463216074681239,0.5805873178506376,0.6013342440801457,0.6271402550091075,0.6037740209471767,0.556418602003643,0.5578227459016393,0.6473748861566484,0.5953434767759562
-50.25,-71.25,p_wind_Argentina_AR54,Argentina,1098,0.07,40.30732402,0.6245990437158458,0.5799748406193078,0.5292066256830602,0.5651941029143899,0.5872107240437158,0.6136100865209472,0.5897848360655737,0.5404509335154827,0.5407637750455374,0.6345121812386157,0.5805307149362476
-50.75,-71.25,p_wind_Argentina_AR55,Argentina,1131,0.16,5.735762237,0.627834130236792,0.582774931693989,0.5319757513661203,0.5675922131147542,0.5893983378870673,0.6166948998178508,0.5923058970856101,0.5427287112932604,0.5440949453551912,0.6381415072859745,0.5833541325136609
-51.25,-71.25,p_wind_Argentina_AR56,Argentina,1158,0.23,25.11013168,0.6375415528233138,0.5938672586520947,0.5442849499089253,0.5790480418943534,0.6003051001821494,0.6267660519125683,0.6031688296903461,0.5547908697632059,0.5557421448087431,0.6471845400728597,0.594269933970856
-51.75,-71.25,p_wind_Argentina_AR57,Argentina,1119,0.25,71.47797351,0.6445902777777743,0.6017273451730418,0.5526429872495445,0.5871898907103825,0.6082803961748634,0.6340399590163934,0.6109285063752277,0.5631435564663024,0.5636294398907105,0.6537931466302368,0.6019965505464477
-44.75,-70.75,p_wind_Argentina_AR74,Argentina,708,0.06,180.9757972,0.6075011384335136,0.5616931921675775,0.5108080601092896,0.5468622495446267,0.5692941712204007,0.5961145264116576,0.5724453551912568,0.522570810564663,0.521927140255009,0.6167494307832423,0.5625966074681237
-45.25,-70.75,p_wind_Argentina_AR75,Argentina,690,0.09,140.7599158,0.6082772085610202,0.5622882513661202,0.5110104735883424,0.5471566484517304,0.5695453096539163,0.5968835382513661,0.5727349726775957,0.5225017076502733,0.5226708788706739,0.618095742258652,0.5631164731329691
-45.75,-70.75,p_wind_Argentina_AR76,Argentina,348,0.12,89.62587181,0.6162239298724944,0.5707345173041894,0.5193831967213115,0.5560688752276866,0.5789375000000001,0.6050141165755919,0.5819119990892532,0.5317905282331512,0.5298088570127505,0.62491837431694,0.571479189435337
-46.25,-70.75,p_wind_Argentina_AR77,Argentina,777,0.11,49.19581057,0.5991821493624766,0.5537078779599272,0.5033645264116575,0.5398975409836066,0.5629352231329691,0.5878838797814209,0.5658558743169398,0.5165504326047359,0.5126002959927141,0.6066801001821494,0.5548657900728597
-46.75,-70.75,p_wind_Argentina_AR78,Argentina,579,0.09,36.14894582,0.5673239981785065,0.5209254326047358,0.4719040300546448,0.507628529143898,0.5303456284153006,0.5555605646630237,0.5335270947176686,0.4849708561020037,0.4812578551912568,0.5746533469945355,0.5228097336065575
-47.25,-70.75,p_wind_Argentina_AR79,Argentina,543,0.08,58.15159986,0.5835055783242223,0.53667941712204,0.4862509107468123,0.5227642304189436,0.5458985655737706,0.5717137978142077,0.54916985428051,0.49942793715847,0.4959275956284153,0.5912514799635701,0.5382589367030961
-47.75,-70.75,p_wind_Argentina_AR80,Argentina,339,0.08,105.4924968,0.614466302367942,0.5682056010928962,0.5158901411657559,0.5534861111111111,0.5769731329690345,0.6030574908925319,0.57992793715847,0.5289922586520946,0.5260170765027323,0.623003529143898,0.5690019581056468
-48.25,-70.75,p_wind_Argentina_AR81,Argentina,672,0.08,158.2962233,0.647722222222221,0.6035960837887068,0.5514390938069217,0.5891945582877961,0.6124419398907104,0.637042577413479,0.6146427595628415,0.5645060336976321,0.560853825136612,0.6558196721311476,0.6037258765938068
-48.75,-70.75,p_wind_Argentina_AR82,Argentina,837,0.06,163.2778294,0.6629241803278637,0.6212852914389799,0.5710430327868852,0.6078310564663024,0.6302654826958106,0.6529100637522769,0.6318126138433516,0.5838869535519126,0.5794766621129326,0.6702036657559199,0.6211639002732234
-49.25,-70.75,p_wind_Argentina_AR83,Argentina,978,0.07,146.8350106,0.6405968806921662,0.5984618624772312,0.5489181466302367,0.5848701047358835,0.6067884790528233,0.6303862704918033,0.6086063296903461,0.5609931693989071,0.5583678278688524,0.6487377049180328,0.5986726775956284
-49.75,-70.75,p_wind_Argentina_AR84,Argentina,933,0.08,105.5430528,0.6161243169398882,0.5717609289617486,0.5211709927140256,0.5571435564663023,0.5792185792349727,0.6052542122040073,0.5818023679417123,0.5326647313296904,0.532390368852459,0.6258202413479051,0.5723350295992712
-50.25,-70.75,p_wind_Argentina_AR85,Argentina,876,0.14,59.91047816,0.6099692622950793,0.5635881147540982,0.5117975865209472,0.5482440801457195,0.5707149362477231,0.5984815573770492,0.5738063524590165,0.5231387750455374,0.5240621584699454,0.6204075591985427,0.5644210382513658
