load_zone,coord,IQRR_solar,IQRR_wind,IQRR_hydro,IQRR_fossil,size
Region-wide,Limited,0.16778008489735582,0.45053737722247217,0.13074824548501882,1.3664032142009337,10.0
Region-wide,Full,0.3844526996976108,0.5388750094439472,0.4078140559358614,1.2590649119537565,10.0
Argentina,Limited,0.6385349307771992,0.8607866156857623,0.8004697236878698,0.9057358375138428,7.0
Argentina,Full,0.9690452446768063,1.5979482274103298,0.3780993661050341,0.883523092884827,7.0
Brazil,Limited,0.1285867194847073,0.3467183716960764,0.6251168688001791,1.145429178888101,8.2
Brazil,Full,0.18654137581485655,0.23763451562698554,0.4756817108555222,0.23290664621951032,8.2
Chile,Limited,0.38362673878526915,inf,0.1547362718226317,0.9648292078508075,6.2
Chile,Full,0.4941849119618956,0.0,0.41640371273617105,2.163335790084673,6.2
Paraguay,Limited,0.1489242840545989,0.23850977161196826,0.1841954014664115,0.0818425003803982,5.0
Paraguay,Full,0.26775392387546265,0.18022696184362122,1.433277037675058,1.4332770376750568,5.0
Uruguay,Limited,0.4087912995665992,0.11957368716070543,0.29674337891540503,0.10437502669631346,5.0
Uruguay,Full,0.2583615937164549,0.1290028436593521,0.13283056804467308,0.08588334896850784,5.0
