tech,scs,2020,2025,2030,2035,2040,2045,2050,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Fossil,prm15_wcost_re7_c2p1_t1,12.336722698646719,10.199900931178735,8.98279570033834,14.786653604582545,19.09548244447154,22.120115414967383,20.462309520427706,0,1,7,0,"NoCut,Lim",010
Fossil,prm15_wcost_re8_c2p1_t1,12.336722698646719,11.478550331337308,10.384040494987353,17.42228476723592,21.185747673900956,23.779561316191533,24.302199107224695,0,1,8,0,"NoCut,Lim",010
Fossil,prm15_wcost_re9_c2p1_t1,12.336722698646719,11.478302035359272,10.384078666699232,17.481773177976528,21.187452909126247,23.86376485031348,24.53679145461657,0,1,9,0,"NoCut,Lim",010
Fossil,prm15_wcost_re20_c2p1_t1,12.32965271096591,9.514023767923755,8.881510491161567,13.995018836256401,17.823394925491694,22.503687470842014,20.741584660380607,0,1,20,1,"NoCut,Lim",011
Fossil,prm15_wcost_re2_c2p1_t1,12.336722698646719,11.109957496104968,9.897778223345481,15.747446051390355,20.86759153341371,22.09709881300227,21.54741126121875,0,1,2,0,"NoCut,Lim",010
Fossil,prm15_wcost_re6_c2p1_t1,12.336722698646719,9.913584821191217,8.64424726173286,14.38036494737208,18.045125352436777,18.995795225499982,17.47278063020175,0,1,6,0,"NoCut,Lim",010
Fossil,prm15_wcost_re3_c2p1_t1,12.336722698646719,11.478303792575442,10.218286292665333,16.212471553757645,21.20003504015223,24.127157598276202,26.571487591183303,0,1,3,0,"NoCut,Lim",010
Fossil,prm15_wcost_re4_c2p1_t1,12.336722698646719,11.290730352774444,10.070463316198781,16.02058664541616,21.08114974096778,21.97154474067292,22.141268467883005,0,1,4,0,"NoCut,Lim",010
Fossil,prm15_wcost_re5_c2p1_t1,12.336722698646719,10.616385215233485,9.427082761636749,15.004002425429686,20.02363990326145,22.118703015399326,21.51817679248283,0,1,5,0,"NoCut,Lim",010
Fossil,prm15_wcost_re1_c2p1_t1,12.336722698646719,9.17037882345438,8.061166911461225,12.241174431288227,15.038896845254117,17.827473261349496,14.784385403869646,0,1,1,0,"NoCut,Lim",010
Solar,prm15_wcost_re8_c2p1_t1,0.7795696420052195,8.65549385913869,18.92538178003585,17.08589398339028,16.888609172307206,19.015079833422732,18.665490620448658,0,1,8,0,"NoCut,Lim",010
Solar,prm15_wcost_re7_c2p1_t1,0.7795696420052195,6.01345295491945,14.594726617195095,13.939990025408376,14.400120632191582,16.505791811255452,17.77053365943252,0,1,7,0,"NoCut,Lim",010
Solar,prm15_wcost_re6_c2p1_t1,0.7795696420052195,3.4581823110753835,12.577575892592275,11.91839548913974,12.358584081161256,15.701439105263411,17.23191552005344,0,1,6,0,"NoCut,Lim",010
Solar,prm15_wcost_re4_c2p1_t1,0.7795696420052195,7.598417823205295,18.352681939022133,17.043624780104388,16.25656898255886,18.645505527747332,18.564175829881687,0,1,4,0,"NoCut,Lim",010
Solar,prm15_wcost_re3_c2p1_t1,0.7795696420052195,8.553770894904758,19.145675026159157,17.75042843743966,16.896069729052865,19.2416405645508,18.67941031846628,0,1,3,0,"NoCut,Lim",010
Solar,prm15_wcost_re2_c2p1_t1,0.7795696420052195,6.865997662681901,17.343046944461808,16.243428706668105,15.569040913577497,18.025771548518104,18.371285568108,0,1,2,0,"NoCut,Lim",010
Solar,prm15_wcost_re5_c2p1_t1,0.7795696420052195,6.388516474320887,15.774619610799379,14.963568723586377,14.668709370556234,17.124971515524802,17.89318730122313,0,1,5,0,"NoCut,Lim",010
Solar,prm15_wcost_re9_c2p1_t1,0.7795696420052195,8.44887412628031,18.907790670873368,17.11061664024255,16.878943591078222,19.24423934490352,18.662421444524348,0,1,9,0,"NoCut,Lim",010
Solar,prm15_wcost_re20_c2p1_t1,0.7791228825294704,0.6425620881371102,0.5750614634633813,0.5041696620767786,0.4412687160530646,0.41438267166155074,2.2468330530472764,0,1,20,1,"NoCut,Lim",011
Solar,prm15_wcost_re1_c2p1_t1,0.7795696420052195,3.238256229887234,9.769261216596455,9.596441082924734,11.340069109860986,14.407101334343606,16.882850835259905,0,1,1,0,"NoCut,Lim",010
Solar,prm15_wcost_re10_c2p1_t1,0.7795696420052195,2.832554231328677,9.161083256130466,8.910640728191327,10.59565422481677,13.516489624465732,16.168175061157243,0,1,10,0,"NoCut,Lim",010
Fossil,prm15_wcost_re16_c2p1_t1,12.32965271096591,10.20857342955058,12.065689594459887,15.263517284773004,19.454240293493775,24.76601720559587,22.290638138669202,0,1,16,1,"NoCut,Lim",011
Fossil,prm15_wcost_re17_c2p1_t1,12.32965271096591,11.94935087577585,13.95748830550096,19.05455073075347,26.385548981793086,26.160522672194244,22.911695610978207,0,1,17,1,"NoCut,Lim",011
Fossil,prm15_wcost_re15_c2p1_t1,12.32965271096591,12.38351936607035,13.845399062440155,19.10025377464784,26.42578220520071,26.454625780325436,24.913817817306327,0,1,15,1,"NoCut,Lim",011
Fossil,prm15_wcost_re18_c2p1_t1,12.32965271096591,15.839019914225819,17.24851936490184,20.07170261425426,26.606386224573367,26.754279595788667,27.93313082914648,0,1,18,1,"NoCut,Lim",011
Fossil,prm15_wcost_re19_c2p1_t1,12.32965271096591,17.106680968939145,17.596318513676977,20.37687227586694,26.88904962363306,27.634973100514863,28.43464951378739,0,1,19,1,"NoCut,Lim",011
Solar,prm15_wcost_re11_c2p1_t1,0.7791228825294704,0.6553291137588105,0.6185906870106527,0.5425856567895448,0.7312226859627171,0.6400792048952887,2.929949185159517,0,1,11,1,"NoCut,Lim",011
Solar,prm15_wcost_re12_c2p1_t1,0.7791228825294704,0.6588469734830712,2.524809662746317,4.529626282842619,3.9657295800468875,6.76618246334432,10.647651460196034,0,1,12,1,"NoCut,Lim",011
Fossil,prm15_wcost_re14_c2p1_t1,12.32965271096591,14.869516896925578,16.335556829048333,21.14304213919001,27.45095563951465,26.200250421695205,25.744989875456042,0,1,14,1,"NoCut,Lim",011
Solar,prm15_wcost_re19_c2p1_t1,0.7791228825294704,0.6591498335863294,5.9473457833635335,12.182514401999876,10.670012631611742,11.90192247100581,13.024508750806532,0,1,19,1,"NoCut,Lim",011
Fossil,prm15_wcost_re10_c2p1_t1,12.336722698646719,8.985779175940866,7.807812312779946,12.434019462374106,15.146469249408723,17.459225131439705,13.918945791187731,0,1,10,0,"NoCut,Lim",010
Solar,prm15_wcost_re18_c2p1_t1,0.7791228825294704,0.6591564487865742,5.551414208466087,11.032088395818334,9.664482276123305,11.03073586962213,13.025415590574699,0,1,18,1,"NoCut,Lim",011
Solar,prm15_wcost_re17_c2p1_t1,0.7791228825294704,0.658693043377808,1.1921515136802854,3.9670103787961386,3.4736407889416383,4.157450584743363,9.68882134427236,0,1,17,1,"NoCut,Lim",011
