load_zone,emis,IQRR_solar,IQRR_wind,IQRR_hydro,IQRR_fossil,size
Region-wide,Reference,0.853368602658107,1.0827455061443652,0.9048571322473895,0.8319681331815081,10.0
Region-wide,Mitigation,1.9554160038111739,1.295041264824573,2.822320527326554,0.7666125734087071,10.0
Argentina,Reference,0.7910297250256849,0.8836472595703574,1.361039882021692,0.8333267750432758,7.0
Argentina,Mitigation,1.2004724510546907,1.6403863005717543,0.642882924122606,0.8128898285519378,7.0
Brazil,Reference,0.7302756140426218,1.0512671351510028,1.2539570858520894,0.7891647204899387,8.2
Brazil,Mitigation,1.0594143649784233,0.7205195249219739,0.9541966977829154,0.1604653624613354,8.2
Chile,Reference,0.919500943045296,0.0,0.8967888362387052,0.9506727959766783,6.2
Chile,Mitigation,1.1844937973472878,0.0,2.413307471813662,2.1315943458816085,6.2
Paraguay,Reference,1.7630981537558124,2.4368728288481156,0.31436043497358923,0.0007129669703702457,5.0
Paraguay,Mitigation,3.1699091376704485,1.841392842625691,2.4461283474731617,0.0124859233589248,5.0
Uruguay,Reference,2.169674043708881,1.5214005024304744,1.7643837331073564,0.9211245075566954,5.0
Uruguay,Mitigation,1.3712631466769432,1.641372745280663,0.789787102829489,0.7579328123777214,5.0
