scs,period,load_zone,Battery_new,Biomass_new,Coal_new,Diesel_new,Gas_new,Geothermal_new,Hydro_new,Nuclear_new,Solar_new,Wind_new,emis_policy,exist_trd,op_char,fixed_pv,Fossil_new,pol,group
prm15_wcost_re13_c2p1_t1,2050,Paraguay,2.362258563555539,0.0,0.0,0.125,4.39569162766114,0.0,0.0,0.0,2.488623316887592,0.0,0,1,13,1,4.52069162766114,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Chile,0.0,0.0,0.0,0.0,20.08614195395764,0.0,0.575,0.0,0.0,0.0,0,1,13,1,20.08614195395764,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,2050,Uruguay,0.1248386864272949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.067755049043202,7.616403368421052,0,1,15,1,0.0,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Uruguay,0.0200071426298929,0.0,0.0,0.0,0.3858233255516515,0.0,0.0,0.0,3.628520595912104,7.717999729802756,0,1,18,1,0.3858233255516515,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Argentina,0.0,0.0,0.0,0.0,57.20853086689405,0.0,2.11,0.0,1.868308310605281,1.4917352227069245,0,1,19,1,57.20853086689405,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Brazil,0.0,0.0,0.0,0.0,80.725,0.0,54.489,0.0,109.5835,47.649,0,1,19,1,80.725,"NoCut,Lim",011
prm15_wcost_re9_c2p1_t1,2050,Region-wide,4.265449024138839,0.0,0.0,0.125,163.35813370054086,0.0,57.174,0.0,152.9252011287971,44.70333820256174,0,1,9,0,163.48313370054086,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,2050,Region-wide,3.4038018069642413,0.0,0.0,0.125,160.30320017845597,0.0,53.27,0.0,128.5172084799427,107.26798411663728,0,1,10,0,160.42820017845597,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,2050,Region-wide,3.3663856140982333,0.0,0.0,0.125,158.33866368588366,0.0,53.32,0.0,30.053803874965617,122.88360560014384,0,1,11,1,158.46366368588366,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,2050,Region-wide,2.56991812945088,0.0,0.0,0.125,160.77222878235665,0.0,57.174,0.0,95.27202936570222,78.95482470553858,0,1,12,1,160.89722878235665,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Region-wide,2.470225104069947,0.0,0.0,0.125,164.38633105074322,0.0,57.174,0.0,122.80484404916008,50.839550761493534,0,1,13,1,164.51133105074322,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,2050,Region-wide,2.362262237193245,0.0,0.0,0.125,161.16038786364058,0.0,57.174,0.0,104.62043125295968,77.51079919332865,0,1,14,1,161.28538786364058,"NoCut,Lim",011
