scs,transmission_line,period,new_build_transmission_capacity_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re16_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,6.36562588461,1,0,16,1,"90%Cut,Full",101
prm15_wcost_re16_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,16,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,7.24707512728,1,0,17,1,"90%Cut,Full",101
prm15_wcost_re14_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,11.2501942568,1,0,14,1,"90%Cut,Full",101
prm15_wcost_re17_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,17,1,"NoCut,Full",001
prm15_wcost_re18_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,8.21173870094,1,0,18,1,"90%Cut,Full",101
prm15_wcost_re18_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,18,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,7.03001638297,1,0,19,1,"90%Cut,Full",101
prm15_wcost_re10_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,3.707990019671,1,0,10,0,"90%Cut,Full",100
prm15_wcost_re19_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,19,1,"NoCut,Full",001
prm15_wcost_re1_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,4.286562674331,1,0,1,0,"90%Cut,Full",100
prm15_wcost_re2_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,2,0,"NoCut,Full",000
prm15_wcost_re14_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,16.403537047900002,1,0,14,1,"90%Cut,Full",101
prm15_wcost_re16_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,16,1,"NoCut,Full",001
prm15_wcost_re7_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.20758749279,1,0,7,0,"90%Cut,Full",100
prm15_wcost_re16_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,16.854475444240002,1,0,16,1,"90%Cut,Full",101
prm15_wcost_re7_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,7,0,"NoCut,Full",000
prm15_wcost_re10_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,10,0,"NoCut,Full",000
prm15_wcost_re1_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,13.420803467583,1,0,1,0,"90%Cut,Full",100
prm15_wcost_re8_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.5893034131344,1,0,8,0,"90%Cut,Full",100
prm15_wcost_re20_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,16.22599885654,1,0,20,1,"90%Cut,Full",101
prm15_wcost_re15_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,15,1,"NoCut,Full",001
prm15_wcost_re8_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,8,0,"NoCut,Full",000
prm15_wcost_re13_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,15.82919659491,1,0,13,1,"90%Cut,Full",101
prm15_wcost_re14_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,14,1,"NoCut,Full",001
prm15_wcost_re9_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.5378862942061,1,0,9,0,"90%Cut,Full",100
prm15_wcost_re10_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.10534277349,1,0,10,0,"90%Cut,Full",100
prm15_wcost_re15_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,17.500313987056,1,0,15,1,"90%Cut,Full",101
prm15_wcost_re6_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,6,0,"NoCut,Full",000
prm15_wcost_re20_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,20,1,"NoCut,Full",001
prm15_wcost_re11_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,16.238558005359998,1,0,11,1,"90%Cut,Full",101
prm15_wcost_re6_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.010799959531,1,0,6,0,"90%Cut,Full",100
prm15_wcost_re3_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.5758978591556,1,0,3,0,"90%Cut,Full",100
prm15_wcost_re12_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,17.243548325726,1,0,12,1,"90%Cut,Full",101
prm15_wcost_re3_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,3,0,"NoCut,Full",000
prm15_wcost_re18_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,18,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,19,1,"NoCut,Full",001
prm15_wcost_re4_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.311543743528,1,0,4,0,"90%Cut,Full",100
prm15_wcost_re13_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re18_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,15.884672284613,1,0,18,1,"90%Cut,Full",101
prm15_wcost_re4_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,4,0,"NoCut,Full",000
prm15_wcost_re11_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,11,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.334733319586,1,0,2,0,"90%Cut,Full",100
prm15_wcost_re5_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,14.303111584973,1,0,5,0,"90%Cut,Full",100
prm15_wcost_re1_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,1,0,"NoCut,Full",000
prm15_wcost_re9_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,9,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,5,0,"NoCut,Full",000
prm15_wcost_re12_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,12,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,17.534783696092003,1,0,17,1,"90%Cut,Full",101
prm15_wcost_re19_c2p1_co2_cut90p_tn,Argentina_Chile_New,14245,15.84190636023,1,0,19,1,"90%Cut,Full",101
prm15_wcost_re17_c2p1_tn,Argentina_Chile_New,14245,0.0,0,0,17,1,"NoCut,Full",001
