rscen,tech,emis,diff
prm15_wcost_re9_c2p1,Solar,nocut,0.260313663244661
prm15_wcost_re19_c2p1_co2_cut90p,Solar,cut90p,-1.472797400402074
prm15_wcost_re7_c2p1,Solar,nocut,-0.4596601603265551
prm15_wcost_re6_c2p1_co2_cut90p,Solar,cut90p,-1.01259775945036
prm15_wcost_re4_c2p1_co2_cut90p,Solar,cut90p,-1.0905468019202083
prm15_wcost_re5_c2p1_co2_cut90p,Solar,cut90p,-1.2708033176379825
prm15_wcost_re17_c2p1_co2_cut90p,Solar,cut90p,-1.7126301310764962
prm15_wcost_re5_c2p1_co2_cut90p,Fossil,cut90p,0.5500322576240197
prm15_wcost_re15_c2p1,Fossil,nocut,-0.24414257684511753
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,2.652960794850431
prm15_wcost_re16_c2p1,Fossil,nocut,0.015412534589597016
prm15_wcost_re3_c2p1,Fossil,nocut,0.20610419942945057
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,0.09185509541136483
prm15_wcost_re10_c2p1,Fossil,nocut,-0.03805672595047582
prm15_wcost_re4_c2p1,Fossil,nocut,0.38259430373230785
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,1.7926228788246004
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,1.8827841433905856
prm15_wcost_re20_c2p1,Fossil,nocut,0.010742965341563604
prm15_wcost_re2_c2p1,Fossil,nocut,7.616436565882623e-06
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,0.4276544223339904
prm15_wcost_re18_c2p1,Fossil,nocut,-0.10938285109230961
prm15_wcost_re10_c2p1_co2_cut90p,Fossil,cut90p,1.4379445732618823
prm15_wcost_re11_c2p1_co2_cut90p,Fossil,cut90p,1.207136383609388
prm15_wcost_re6_c2p1,Fossil,nocut,0.16513486352102902
prm15_wcost_re7_c2p1,Fossil,nocut,0.04366574794995515
prm15_wcost_re17_c2p1,Fossil,nocut,-0.237812384588306
prm15_wcost_re19_c2p1_co2_cut90p,Fossil,cut90p,2.660676340703983
prm15_wcost_re1_c2p1,Fossil,nocut,0.040259597342380715
prm15_wcost_re17_c2p1_co2_cut90p,Fossil,cut90p,1.6378390187232874
prm15_wcost_re5_c2p1,Fossil,nocut,0.0263850046264551
prm15_wcost_re11_c2p1,Fossil,nocut,-0.0640484057089985
prm15_wcost_re3_c2p1_co2_cut90p,Fossil,cut90p,2.090131087108757
prm15_wcost_re8_c2p1_co2_cut90p,Fossil,cut90p,1.771199128908295
prm15_wcost_re16_c2p1_co2_cut90p,Fossil,cut90p,1.6066323604186472
prm15_wcost_re12_c2p1,Fossil,nocut,-0.20666939159051623
prm15_wcost_re9_c2p1,Fossil,nocut,0.16946810728425632
prm15_wcost_re14_c2p1_co2_cut90p,Fossil,cut90p,2.2306946755299375
prm15_wcost_re18_c2p1_co2_cut90p,Fossil,cut90p,2.4935464405608165
prm15_wcost_re19_c2p1,Fossil,nocut,-0.10504016990520171
prm15_wcost_re6_c2p1_co2_cut90p,Fossil,cut90p,0.17635206270005632
prm15_wcost_re15_c2p1_co2_cut90p,Fossil,cut90p,1.705194383486031
prm15_wcost_re13_c2p1,Fossil,nocut,-0.08538748293056742
prm15_wcost_re8_c2p1,Fossil,nocut,0.18166160131131548
prm15_wcost_re2_c2p1_co2_cut90p,Fossil,cut90p,1.0457043928578074
prm15_wcost_re14_c2p1,Fossil,nocut,-0.15507567483816942
prm15_wcost_re4_c2p1_co2_cut90p,Fossil,cut90p,1.3048039828325955
prm15_wcost_re7_c2p1_co2_cut90p,Fossil,cut90p,0.7168133103115082
prm15_wcost_re1_c2p1_co2_cut90p,Hydro,cut90p,1.1116854570894485
prm15_wcost_re3_c2p1,Hydro,nocut,-0.0
prm15_wcost_re10_c2p1_co2_cut90p,Hydro,cut90p,-0.4987164877510928
prm15_wcost_re5_c2p1_co2_cut90p,Hydro,cut90p,0.45818475906460776
prm15_wcost_re8_c2p1_co2_cut90p,Hydro,cut90p,0.025993173831549754
prm15_wcost_re7_c2p1_co2_cut90p,Hydro,cut90p,-0.0
prm15_wcost_re2_c2p1_co2_cut90p,Hydro,cut90p,-0.11160910797727652
prm15_wcost_re20_c2p1,Hydro,nocut,-0.0
prm15_wcost_re9_c2p1_co2_cut90p,Hydro,cut90p,-0.11160910797727652
prm15_wcost_re4_c2p1_co2_cut90p,Hydro,cut90p,-0.22556788138565587
prm15_wcost_re3_c2p1_co2_cut90p,Hydro,cut90p,-0.2863654744153781
prm15_wcost_re2_c2p1,Hydro,nocut,0.10500067395230595
prm15_wcost_re12_c2p1,Hydro,nocut,-0.0
prm15_wcost_re19_c2p1,Hydro,nocut,-0.0
prm15_wcost_re16_c2p1_co2_cut90p,Hydro,cut90p,0.026727444278771273
prm15_wcost_re11_c2p1,Hydro,nocut,-8.881784197001252e-16
prm15_wcost_re17_c2p1_co2_cut90p,Hydro,cut90p,0.11983293698612307
prm15_wcost_re10_c2p1,Hydro,nocut,-0.0
prm15_wcost_re1_c2p1,Hydro,nocut,-0.00734270447219032
prm15_wcost_re9_c2p1,Hydro,nocut,-0.0
prm15_wcost_re18_c2p1_co2_cut90p,Hydro,cut90p,-0.01806305300158506
prm15_wcost_re5_c2p1,Hydro,nocut,-0.0
prm15_wcost_re8_c2p1,Hydro,nocut,-0.0
prm15_wcost_re19_c2p1_co2_cut90p,Hydro,cut90p,-0.5509965435930777
prm15_wcost_re7_c2p1,Hydro,nocut,-0.0
prm15_wcost_re6_c2p1,Hydro,nocut,8.881784197001252e-16
prm15_wcost_re20_c2p1_co2_cut90p,Hydro,cut90p,1.795438097539705
prm15_wcost_re15_c2p1_co2_cut90p,Hydro,cut90p,0.025993173831549754
prm15_wcost_re13_c2p1,Hydro,nocut,-0.0
prm15_wcost_re13_c2p1_co2_cut90p,Hydro,cut90p,-0.2863654744153781
prm15_wcost_re14_c2p1,Hydro,nocut,-0.0
prm15_wcost_re14_c2p1_co2_cut90p,Hydro,cut90p,-0.0
prm15_wcost_re11_c2p1_co2_cut90p,Hydro,cut90p,0.5778708419612926
prm15_wcost_re18_c2p1,Hydro,nocut,-0.0
prm15_wcost_re15_c2p1,Hydro,nocut,-0.0
prm15_wcost_re4_c2p1,Hydro,nocut,-0.37139399220333047
