tech,scs,2020,2025,2030,2035,2040,2045,2050,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Fossil,prm15_wcost_re12_c2p1_t1,53.56476651449209,56.485310694042596,47.11598572293278,55.257401107793264,61.72884738106514,66.8427110534107,73.9764320443029,0,1,12,1,"NoCut,Lim",011
Fossil,prm15_wcost_re13_c2p1_t1,53.56476651449209,56.62652383980172,59.55658750943207,65.75184596582493,70.59497848165954,75.17219331302199,80.29935964010926,0,1,13,1,"NoCut,Lim",011
Fossil,prm15_wcost_re15_c2p1_t1,53.56476651449209,56.43729628677224,46.98069060795919,55.15243279094533,61.65998247800585,66.76629647883745,73.90907518657723,0,1,15,1,"NoCut,Lim",011
Fossil,prm15_wcost_re16_c2p1_t1,53.56476651449209,56.400725393037874,46.69290569435818,48.36313147421361,56.388391611887265,62.35160960158077,70.17335463342921,0,1,16,1,"NoCut,Lim",011
Fossil,prm15_wcost_re14_c2p1_t1,53.56476651449209,56.56500216630441,47.42269921895879,55.496509253503426,61.94266415133213,67.01465107239048,74.1190423823265,0,1,14,1,"NoCut,Lim",011
Fossil,prm15_wcost_re11_c2p1_t1,53.56476651449209,56.31061249616285,46.563279728761145,52.87326896244027,60.19046869659147,65.56004581908,70.45184331122515,0,1,11,1,"NoCut,Lim",011
Hydro,prm15_wcost_re10_c2p1_t1,29.830435816869223,29.535145153037835,24.81714645594722,21.576837740399625,19.231473905402495,16.2981168279996,13.67123265759592,0,1,10,0,"NoCut,Lim",010
Fossil,prm15_wcost_re10_c2p1_t1,53.56476651449209,54.94963059305917,49.02446592577843,56.44382251569765,62.237515901418,68.04287870479894,59.170203217286755,0,1,10,0,"NoCut,Lim",010
Fossil,prm15_wcost_re17_c2p1_t1,53.56476651449209,56.437734232480345,46.94742935719147,55.12726187735159,61.64082697546623,66.74157343980484,73.8912759742478,0,1,17,1,"NoCut,Lim",011
Solar,prm15_wcost_re13_c2p1_t1,0.761659002061557,0.6422839734462547,2.8590500053024317,2.415151484274962,2.0408386363164857,1.7241256866948276,1.1804839864582617,0,1,13,1,"NoCut,Lim",011
Solar,prm15_wcost_re12_c2p1_t1,0.761659002061557,0.6443750887635059,0.8413515310243763,0.7104751722246009,0.6003205588020597,0.5070126906880706,0.1524559732314598,0,1,12,1,"NoCut,Lim",011
Solar,prm15_wcost_re11_c2p1_t1,0.761659002061557,0.6469633399041813,0.5422651206457157,0.45791911869656826,0.3869921877538892,0.3266775699905303,0.0,0,1,11,1,"NoCut,Lim",011
Solar,prm15_wcost_re10_c2p1_t1,0.761659002061557,2.0111114790809164,8.65410627742911,7.283087739618889,6.1524884295126485,5.199183887923417,4.120979564648059,0,1,10,0,"NoCut,Lim",010
Solar,prm15_wcost_re14_c2p1_t1,0.761659002061557,0.6431949999169249,1.1660265393416533,0.9850927181242559,0.832107957518283,0.7029630021843024,0.3180245061342804,0,1,14,1,"NoCut,Lim",011
Solar,prm15_wcost_re20_c2p1_t1,0.761659002061557,0.6472746476304737,0.5427643329392735,0.45805496922659333,0.38702934644415354,0.32664568160336094,0.0,0,1,20,1,"NoCut,Lim",011
Solar,prm15_wcost_re1_c2p1_t1,0.761659002061557,2.011132201013535,9.21585591342555,7.753490608979776,6.547926011195031,5.532595303288867,4.402249330734578,0,1,1,0,"NoCut,Lim",010
Solar,prm15_wcost_re19_c2p1_t1,0.761659002061557,0.6422839734462548,2.846526830573198,2.4043295658732844,2.0326795408141316,1.716473369246854,1.174203999867911,0,1,19,1,"NoCut,Lim",011
Solar,prm15_wcost_re17_c2p1_t1,0.761659002061557,0.6450796114690842,0.5420267898427645,0.45757019311851604,0.3864061102189001,0.3266125445528946,0.0,0,1,17,1,"NoCut,Lim",011
Solar,prm15_wcost_re16_c2p1_t1,0.761659002061557,0.6456201449931622,0.5422288350601576,0.4579536944765162,0.3869372498587182,0.32662295170564,0.0,0,1,16,1,"NoCut,Lim",011
Solar,prm15_wcost_re15_c2p1_t1,0.761659002061557,0.6450860966654404,0.5420267898427645,0.4575927871824907,0.38644613240161063,0.3265616892168286,0.0,0,1,15,1,"NoCut,Lim",011
