type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
export,Uruguay,-1,8110,1.90063,-1.90063,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
export,Paraguay,-1,14245,169.26245,-169.26245,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
export,Brazil,-1,14245,8.77148,-8.77148,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
export,Paraguay,-1,14245,170.20814,-170.20814,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
export,Uruguay,-1,8110,2.1116800000000002,-2.1116800000000002,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
export,Paraguay,-1,14245,170.5943,-170.5943,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
export,Argentina,-1,14245,73.98866,-73.98866,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
export,Argentina,-1,14245,59.0486,-59.0486,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
export,Argentina,-1,14245,40.67931,-40.67931,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
export,Argentina,-1,14245,42.17747,-42.17747,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
export,Argentina,-1,14245,94.23544,-94.23544,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
export,Argentina,-1,14245,86.63215,-86.63215,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
export,Argentina,-1,14245,72.49919,-72.49919,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
export,Chile,-1,14245,0.04201,-0.04201,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
export,Uruguay,-1,8110,1.79221,-1.79221,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
export,Uruguay,-1,12205,2.6931599999999998,-2.6931599999999998,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis,0,0,5,0,"NoCut,Full",000
export,Uruguay,-1,14245,3.05921,-3.05921,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
export,Uruguay,-1,8110,2.32138,-2.32138,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
export,Uruguay,-1,8110,1.9288800000000001,-1.9288800000000001,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
export,Uruguay,-1,14245,4.76882,-4.76882,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
export,Uruguay,-1,8110,2.11332,-2.11332,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
export,Uruguay,-1,14245,4.54346,-4.54346,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
export,Argentina,-1,14245,83.57256000000001,-83.57256000000001,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
export,Argentina,-1,14245,51.44095,-51.44095,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
export,Uruguay,-1,14245,5.15351,-5.15351,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
export,Uruguay,-1,14245,5.38004,-5.38004,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
export,Uruguay,-1,10160,2.44764,-2.44764,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
export,Uruguay,-1,8110,1.78209,-1.78209,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
export,Argentina,-1,14245,39.69165,-39.69165,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
export,Argentina,-1,14245,40.3299,-40.3299,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
export,Argentina,-1,14245,51.40081,-51.40081,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis,0,0,5,0,"NoCut,Full",000
export,Argentina,-1,14245,93.85174,-93.85174,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
export,Argentina,-1,14245,49.07643,-49.07643,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
export,Argentina,-1,14245,50.61481,-50.61481,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
export,Argentina,-1,14245,42.1462,-42.1462,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
export,Argentina,-1,14245,43.08133,-43.08133,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
export,Argentina,-1,14245,93.82096999999999,-93.82096999999999,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
export,Argentina,-1,14245,80.71781,-80.71781,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
export,Argentina,-1,14245,80.78613,-80.78613,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis,0,0,9,0,"NoCut,Full",000
export,Uruguay,-1,12205,2.77279,-2.77279,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
export,Chile,-1,14245,0.051609999999999996,-0.051609999999999996,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
export,Brazil,-1,14245,8.1325,-8.1325,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
export,Uruguay,-1,8110,2.29374,-2.29374,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis,0,0,9,0,"NoCut,Full",000
export,Uruguay,-1,14245,3.0076,-3.0076,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
export,Uruguay,-1,14245,5.43583,-5.43583,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
export,Paraguay,-1,14245,168.87017,-168.87017,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
export,Brazil,-1,14245,7.87693,-7.87693,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
export,Brazil,-1,14245,9.14502,-9.14502,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
export,Brazil,-1,14245,10.33932,-10.33932,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis,0,0,9,0,"NoCut,Full",000
export,Brazil,-1,14245,10.07453,-10.07453,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
export,Uruguay,-1,8110,1.88772,-1.88772,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
export,Brazil,-1,14245,6.74211,-6.74211,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
export,Brazil,-1,14245,8.79228,-8.79228,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
export,Brazil,-1,14245,8.09298,-8.09298,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
export,Brazil,-1,14245,11.65983,-11.65983,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
export,Brazil,-1,12210,9.0312,-9.0312,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
export,Brazil,-1,14245,9.70467,-9.70467,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis,0,0,5,0,"NoCut,Full",000
export,Brazil,-1,14245,8.6606,-8.6606,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
export,Brazil,-1,14245,10.242750000000001,-10.242750000000001,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
export,Paraguay,-1,14245,169.62372,-169.62372,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
export,Paraguay,-1,14245,170.85724,-170.85724,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
export,Paraguay,-1,14245,181.06834,-181.06834,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
export,Paraguay,-1,14245,170.46968,-170.46968,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
export,Brazil,-1,14245,9.63069,-9.63069,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
export,Uruguay,-1,14245,5.0237,-5.0237,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
export,Brazil,-1,14245,17.65047,-17.65047,prm15_wcost_re11_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Fixed,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
export,Brazil,-1,14245,40.632509999999996,-40.632509999999996,prm15_wcost_re2_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Single-Axis,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
export,Brazil,-1,14245,39.25936,-39.25936,prm15_wcost_re12_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Fixed,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
