lz_from,lz_to,connection,period,net_flow_twh,sc_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Argentina,Brazil,Argentina-Brazil,14245,99.50678620217676,prm15_wcost_re3_c2p1_co2_cut90p_tn,cut90_vestas3_1axis,1,0,3,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,92.86237043901329,prm15_wcost_re2_c2p1_co2_cut90p_tn,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,81.0011197409132,prm15_wcost_re5_c2p1_co2_cut90p_tn,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,140.86931361343176,prm15_wcost_re9_c2p1_co2_cut90p_tn,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,0.14564696781876102,prm15_wcost_re7_c2p1_tn,ge15_1axis,0,0,7,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.17374746539733482,prm15_wcost_re17_c2p1_tn,ge15_fixed,0,0,17,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,148.7947066152766,prm15_wcost_re8_c2p1_co2_cut90p_tn,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,0.14861253,prm15_wcost_re3_c2p1_tn,vestas3_1axis,0,0,3,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.1514682959669738,prm15_wcost_re10_c2p1_tn,enercon3_1axis,0,0,10,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.1451433269828448,prm15_wcost_re4_c2p1_tn,siemens36_1axis,0,0,4,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.1470862550784593,prm15_wcost_re9_c2p1_tn,enercon7_1axis,0,0,9,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.145880295,prm15_wcost_re2_c2p1_tn,vestas7_1axis,0,0,2,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.1699518229059772,prm15_wcost_re11_c2p1_tn,vestas2_fixed,0,0,11,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,0.1747592956289065,prm15_wcost_re12_c2p1_tn,vestas7_fixed,0,0,12,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,0.1491984104473969,prm15_wcost_re5_c2p1_tn,siemens23_1axis,0,0,5,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.147430635,prm15_wcost_re8_c2p1_tn,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.145850848730107,prm15_wcost_re6_c2p1_tn,ge25_1axis,0,0,6,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.1858087275,prm15_wcost_re19_c2p1_tn,enercon7_fixed,0,0,19,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,0.1693337764366668,prm15_wcost_re20_c2p1_tn,enercon3_fixed,0,0,20,1,"NoCut,Full",001
