Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_1axis,cf_fixed,all_avg
-33.25,-69.75,p_solar_Argentina_AR136,Argentina,155.5,0.26,52.92063731,0.3578849043715904,0.2586832877959927,0.30828409608379154
-33.75,-69.75,p_solar_Argentina_AR137,Argentina,155.1,0.26,62.11607339,0.3548521174863425,0.2562369080145719,0.3055445127504572
-34.25,-69.75,p_solar_Argentina_AR138,Argentina,155.1,0.25,61.54868303,0.3550876593806955,0.2565162795992714,0.30580196948998345
-34.75,-69.75,p_solar_Argentina_AR139,Argentina,155.0,0.24,43.13211245,0.3492766393442658,0.2530417805100182,0.30115920992714196
-35.25,-69.75,p_solar_Argentina_AR140,Argentina,155.0,0.24,8.391914704,0.3382786885245916,0.2465475865209472,0.2924131375227694
-35.75,-69.75,p_solar_Argentina_AR141,Argentina,154.9,0.23,29.53378162,0.3319664162112938,0.2429903233151184,0.2874783697632061
-36.25,-69.75,p_solar_Argentina_AR142,Argentina,154.9,0.23,63.34678331,0.326895036429874,0.2402914389799635,0.28359323770491873
-36.75,-69.75,p_solar_Argentina_AR143,Argentina,154.9,0.22,12.7128994,0.3156706511839721,0.2334751821493624,0.2745729166666672
-37.25,-69.75,p_solar_Argentina_AR144,Argentina,154.8,0.22,6.553908791,0.3018274134790525,0.2249433060109289,0.2633853597449907
-37.75,-69.75,p_solar_Argentina_AR145,Argentina,154.8,0.21,34.87132872,0.2931731557377047,0.2196947859744991,0.25643397085610187
-38.25,-69.75,p_solar_Argentina_AR146,Argentina,154.2,0.21,9.221510674,0.2879375000000003,0.2164504781420765,0.2521939890710384
-38.75,-69.75,p_solar_Argentina_AR147,Argentina,154.1,0.21,9.92631172,0.284939207650273,0.2144098360655738,0.24967452185792338
-39.25,-69.75,p_solar_Argentina_AR148,Argentina,153.7,0.21,33.84781211,0.2806394581056474,0.2114061930783242,0.2460228255919858
-39.75,-69.75,p_solar_Argentina_AR149,Argentina,153.4,0.2,0.00425709,0.2743376593806914,0.2073334471766849,0.24083555327868814
-40.25,-69.75,p_solar_Argentina_AR150,Argentina,153.3,0.2,21.64748627,0.2733586065573772,0.2068246812386156,0.24009164389799642
-40.75,-69.75,p_solar_Argentina_AR151,Argentina,153.3,0.2,64.75385853,0.2727997495446262,0.2067211976320583,0.23976047358834224
-41.25,-69.75,p_solar_Argentina_AR152,Argentina,153.0,0.19,108.9317881,0.2675973360655733,0.2039862249544626,0.23579178051001795
-41.75,-69.75,p_solar_Argentina_AR153,Argentina,153.0,0.18,128.879259,0.2634228142076503,0.2020875455373406,0.23275517987249544
-28.25,-69.25,p_solar_Argentina_AR174,Argentina,149.5,0.23,150.9868148,0.392294398907116,0.280921106557377,0.3366077527322465
-28.75,-69.25,p_solar_Argentina_AR175,Argentina,149.5,0.22,121.0061516,0.3871048497267852,0.2777273451730419,0.3324160974499135
-29.25,-69.25,p_solar_Argentina_AR176,Argentina,149.5,0.21,82.21404339,0.3771864754098428,0.2720793488160292,0.324632912112936
-29.75,-69.25,p_solar_Argentina_AR177,Argentina,149.4,0.21,52.26116798,0.3660532786885288,0.2657182377049181,0.3158857581967235
-30.25,-69.25,p_solar_Argentina_AR178,Argentina,149.4,0.21,12.50857795,0.3536135018214952,0.2583540528233151,0.3059837773224051
-30.75,-69.25,p_solar_Argentina_AR179,Argentina,149.3,0.22,13.25990708,0.3437575136612022,0.2523590619307833,0.29805828779599275
-31.25,-69.25,p_solar_Argentina_AR180,Argentina,149.3,0.23,19.87612108,0.3376219262295085,0.2485989298724954,0.29311042805100196
-31.75,-69.25,p_solar_Argentina_AR181,Argentina,149.3,0.24,36.56614236,0.3375632969034619,0.2489501366120219,0.2932567167577419
-32.25,-69.25,p_solar_Argentina_AR182,Argentina,149.1,0.25,57.46984527,0.3393148907103835,0.2502362249544626,0.29477555783242304
-32.75,-69.25,p_solar_Argentina_AR183,Argentina,149.1,0.25,33.60643496,0.3381042805100205,0.24914264571949,0.29362346311475523
-33.25,-69.25,p_solar_Argentina_AR184,Argentina,149.0,0.24,9.475373784,0.3351822632058297,0.2466773679417122,0.29092981557377096
-33.75,-69.25,p_solar_Argentina_AR185,Argentina,149.0,0.24,22.32161528,0.334526753187615,0.2456918260473588,0.2901092896174869
-34.25,-69.25,p_solar_Argentina_AR186,Argentina,148.9,0.24,15.63740813,0.3338047586520953,0.2449825819672131,0.2893936703096542
-34.75,-69.25,p_solar_Argentina_AR187,Argentina,148.8,0.23,26.29059916,0.32335359744991,0.2388113615664845,0.28108247950819726
-35.25,-69.25,p_solar_Argentina_AR188,Argentina,148.8,0.23,26.56293739,0.3136544854280512,0.2331747495446266,0.2734146174863389
-35.75,-69.25,p_solar_Argentina_AR189,Argentina,148.6,0.23,40.25385292,0.3131777094717669,0.2329504781420765,0.2730640938069217
-36.25,-69.25,p_solar_Argentina_AR190,Argentina,148.6,0.23,82.78105933,0.3105193533697623,0.2309025500910747,0.2707109517304185
-36.75,-69.25,p_solar_Argentina_AR191,Argentina,148.6,0.22,44.52922621,0.3013755692167582,0.2244303278688524,0.26290294854280527
-37.25,-69.25,p_solar_Argentina_AR192,Argentina,148.5,0.22,7.664587064,0.2918028233151184,0.2187385018214936,0.255270662568306
-37.75,-69.25,p_solar_Argentina_AR193,Argentina,148.4,0.21,6.514206222,0.2861358151183966,0.2151805555555555,0.25065818533697604
-38.25,-69.25,p_solar_Argentina_AR194,Argentina,148.4,0.21,20.00321838,0.280628301457195,0.2119051684881603,0.24626673497267765
-38.75,-69.25,p_solar_Argentina_AR195,Argentina,148.2,0.21,3.549043967,0.276992486338797,0.2095665983606557,0.24327954234972632
-39.25,-69.25,p_solar_Argentina_AR196,Argentina,148.1,0.21,17.76477644,0.2745221994535508,0.2077349726775956,0.2411285860655732
-39.75,-69.25,p_solar_Argentina_AR197,Argentina,147.9,0.21,10.25396003,0.2737008196721309,0.2068210382513661,0.2402609289617485
-40.25,-69.25,p_solar_Argentina_AR198,Argentina,147.7,0.2,43.84787107,0.276812727686703,0.2087969034608379,0.24280481557377045
-40.75,-69.25,p_solar_Argentina_AR199,Argentina,147.6,0.2,88.49102894,0.2780506602914391,0.2097831284153005,0.2439168943533698
-41.25,-69.25,p_solar_Argentina_AR200,Argentina,147.6,0.19,133.401802,0.2747950819672129,0.2076995673952641,0.2412473246812385
-41.75,-69.25,p_solar_Argentina_AR201,Argentina,147.6,0.19,148.3210421,0.2666229508196717,0.2038769353369763,0.23524994307832398
-42.25,-69.25,p_solar_Argentina_AR202,Argentina,147.6,0.18,92.7963529,0.2601236338797808,0.2004700591985428,0.23029684653916183
-42.75,-69.25,p_solar_Argentina_AR203,Argentina,147.6,0.18,37.26680343,0.2564993169398906,0.197791325136612,0.2271453210382513
-27.25,-68.75,p_solar_Argentina_AR222,Argentina,145.0,0.25,95.50781307,0.4005903916211468,0.2882956511839709,0.34444302140255884
-27.75,-68.75,p_solar_Argentina_AR223,Argentina,144.9,0.23,105.3000649,0.3987474954462819,0.2870761612021857,0.34291182832423384
-28.25,-68.75,p_solar_Argentina_AR224,Argentina,144.5,0.22,101.9236527,0.3871761156648552,0.2785734289617487,0.332874772313302
-28.75,-68.75,p_solar_Argentina_AR225,Argentina,144.5,0.2,84.49143094,0.3612564890710397,0.2629841757741348,0.31212033242258724
-29.25,-68.75,p_solar_Argentina_AR226,Argentina,144.5,0.2,53.06759155,0.337949453551912,0.2504604963570128,0.2942049749544624
