horizon,variable,value,pol,month
205003,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,2.713432713420619,True,62
205004,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,13.014284369312346,True,63
205005,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,12.530256366536202,True,64
205006,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,8.837428545361213,True,65
205007,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,5.857213476719106,True,66
205008,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,15.115357589780285,True,67
205009,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,6.805398573099794,True,68
205010,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,13.246260439117778,True,69
205011,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,13.478484248541388,True,70
205012,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,13.080880146497037,True,71
202501,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,0
202502,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,1
202503,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,2
202504,prm15_fix_wcost_re1_c2p1_tnt1,0.0120213839999998,False,3
202505,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,4
202506,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,5
202507,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,6
202508,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,7
202509,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,8
202510,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,9
202511,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,10
202512,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,11
203001,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,12
203002,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,13
203003,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,14
203004,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,15
203005,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,16
203006,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,17
203007,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,18
203008,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,19
203009,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,20
203010,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,21
203011,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,22
203012,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,23
203501,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,24
203502,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,25
203503,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,26
203504,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,27
203505,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,28
203506,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,29
203507,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,30
203508,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,31
203509,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,32
203510,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,33
203511,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,34
203512,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,35
204001,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,36
204002,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,37
204003,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,38
204004,prm15_fix_wcost_re1_c2p1_tnt1,0.0580693505559832,False,39
204005,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,40
204006,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,41
204007,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,42
204008,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,43
204009,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,44
204010,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,45
204011,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,46
204012,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,47
204501,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,48
204502,prm15_fix_wcost_re1_c2p1_tnt1,0.0213501615730349,False,49
204503,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,50
204504,prm15_fix_wcost_re1_c2p1_tnt1,0.31741658876023804,False,51
204505,prm15_fix_wcost_re1_c2p1_tnt1,0.2476069382999919,False,52
204506,prm15_fix_wcost_re1_c2p1_tnt1,0.1124974857964855,False,53
204507,prm15_fix_wcost_re1_c2p1_tnt1,0.034843731814756,False,54
204508,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,55
204509,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,56
204510,prm15_fix_wcost_re1_c2p1_tnt1,0.1032750837550545,False,57
204511,prm15_fix_wcost_re1_c2p1_tnt1,0.2049032147731365,False,58
204512,prm15_fix_wcost_re1_c2p1_tnt1,0.1385994304764473,False,59
205001,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,60
205002,prm15_fix_wcost_re1_c2p1_tnt1,0.2407730778465051,False,61
205003,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,62
205004,prm15_fix_wcost_re1_c2p1_tnt1,1.9198320161190514,False,63
205005,prm15_fix_wcost_re1_c2p1_tnt1,2.0209497585064975,False,64
205006,prm15_fix_wcost_re1_c2p1_tnt1,1.12826572374515,False,65
205007,prm15_fix_wcost_re1_c2p1_tnt1,0.5432888686148584,False,66
205008,prm15_fix_wcost_re1_c2p1_tnt1,0.0,False,67
205009,prm15_fix_wcost_re1_c2p1_tnt1,0.2943565663254747,False,68
205010,prm15_fix_wcost_re1_c2p1_tnt1,0.5173212493939718,False,69
205011,prm15_fix_wcost_re1_c2p1_tnt1,1.1788522907026922,False,70
205012,prm15_fix_wcost_re1_c2p1_tnt1,1.012977961086862,False,71
202501,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,0
202502,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,1
202503,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,2
202504,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,2.0135196172094276,True,3
202505,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,4
202506,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,5
202507,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,6
202508,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,7
202509,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,8
202510,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,9
202511,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,10
202512,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,11
203001,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,12
203002,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,13
203003,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,14
203004,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,3.5628267236876856,True,15
203005,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,16
