load_zone,scs_id,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,total_costs,operations_cost_total,emis_policy,exist_trd,op_char,fixed_pv,pol,group,split_tx_cost,new_total_cost
Uruguay,prm15_wcost_re12_c2p1_tn,282636170.58336705,584692705.4392936,1420822.287464627,2.5033677930354616,0.0,170565854.225,2.1855573153500254,3372117491.345587,0.8687496983101254,0,0,12,1,"NoCut,Full",1,0.2708383865300997,3.6429558778756874
Uruguay,prm15_wcost_re14_c2p1_tn,283578501.8260626,585100935.3546947,1782828.021406719,2.604805276935969,0.0,170565854.225,2.147150774988287,3475267542.138133,0.8704622652021641,0,0,14,1,"NoCut,Full",1,0.3544400099602233,3.829707552098357
Uruguay,prm15_wcost_re15_c2p1_tn,285264990.3951549,632333912.5461038,2498506.945251749,3.9663481904609696,0.0,170565854.225,2.6260264783269003,4886445600.34748,0.9200974098865105,0,0,15,1,"NoCut,Full",1,0.0837369999523079,4.970182600299787
Uruguay,prm15_wcost_re16_c2p1_tn,277855062.33137053,532126625.30127794,1693105.2764655512,3.681555833671426,0.0,170565854.225,1.7857934786971197,4493230626.58054,0.811674792909114,0,0,16,1,"NoCut,Full",1,0.0156978404857808,4.508928467066321
Uruguay,prm15_wcost_re17_c2p1_tn,282028386.59984714,594275507.7351345,2451319.065974406,3.540324021135341,0.0,170565854.225,2.326276414551039,4419079234.536297,0.8787552134009561,0,0,17,1,"NoCut,Full",1,0.0699512458591659,4.489030480395464
Uruguay,prm15_wcost_re18_c2p1_tn,280187159.1966393,533806894.5443517,1839740.557027628,2.097961123057493,0.0,170565854.225,1.6986339667136237,2913794917.355511,0.8158337942980185,0,0,18,1,"NoCut,Full",1,0.4655585798709598,3.379353497226471
Uruguay,prm15_wcost_re19_c2p1_tn,279975051.9751115,530550993.93876266,1866103.1684124945,1.5997648804008118,0.0,170565854.225,1.670019395919781,2412157029.483098,0.8123921490822866,0,0,19,1,"NoCut,Full",1,0.4654282758701909,2.877585305353289
Uruguay,prm15_wcost_re1_c2p1_tn,275059162.2641348,488001112.4588528,8419888.23976154,4.606718782102052,0.0,170565854.225,1.3943871681978794,5378198945.064801,0.7714801629627491,0,0,1,0,"NoCut,Full",0,0.0,5.378198945064802
Uruguay,prm15_wcost_re20_c2p1_tn,278260350.460147,533933744.8706806,1360674.4666932295,3.647844910848085,0.0,170565854.225,1.762222386614102,4461399680.645606,0.8135547697975208,0,0,20,1,"NoCut,Full",1,0.000369971613835,4.461769652259441
Uruguay,prm15_wcost_re2_c2p1_tn,275528158.42179406,486499716.5924296,11352774.539949045,3.1866499688896277,0.0,170565854.225,1.355199293527288,3960030618.4438,0.7733806495541726,0,0,2,0,"NoCut,Full",0,0.1606272958825426,4.120657914326342
Paraguay,prm15_wcost_re17_c2p1_tn,2296776113.3700004,22877532.9036,136530.0,1.2959161184944443,0.0,354890645.65000004,0.0312398351999999,3615706294.768045,2.3197901762736004,0,0,17,1,"NoCut,Full",1,0.0,3.615706294768045
Uruguay,prm15_wcost_re13_c2p1_tn,280537304.33977336,539333575.3482739,1946619.653788897,2.114747777197684,0.0,170565854.225,1.747659035638506,2936565276.5395203,0.8218174993418361,0,0,13,1,"NoCut,Full",1,0.4638617865642166,3.400427063103737
Region-wide,prm15_wcost_re9_c2p1_tn,46491311723.962685,90803911187.96477,11066632.83545927,154.8876214878332,675704016.8463187,10201172370.5,1399.387332581084,292869615049.4424,137.3062895447629,0,0,9,0,"NoCut,Full",0,0.6757040168463188,292.8696150494424
Brazil,prm15_wcost_re13_c2p1_tn,31356626315.69336,69798142024.08046,0.0,110.36632288590846,0.0,7114586509.525,750.2180539426415,211521091225.68228,101.15476833977382,0,0,13,1,"NoCut,Full",1,0.0,211.52109122568228
Brazil,prm15_wcost_re20_c2p1_tn,29086402277.45578,52485243256.58803,0.0,118.58338457448605,0.0,7114586509.525,538.6687591174103,200155030108.52985,81.57164553404381,0,0,20,1,"NoCut,Full",1,0.0,200.15503010852984
Chile,prm15_wcost_re11_c2p1_tn,3907744775.7971487,11215981167.317127,6.682057573936027e-09,11.388007745372835,0.0,878433556.575,276.5528732220931,26511733688.48711,15.123725943114277,0,0,11,1,"NoCut,Full",1,0.0,26.511733688487112
Brazil,prm15_wcost_re5_c2p1_tn,29471842462.073277,54751810588.48789,0.0,118.6910465072984,0.0,7114586509.525,571.081373173346,202914699557.8596,84.22365305056115,0,0,5,0,"NoCut,Full",0,0.0,202.9146995578596
Brazil,prm15_wcost_re12_c2p1_tn,30633454532.18973,63722157259.08331,0.0,113.06514828727688,0.0,7114586509.525,677.7147097101667,207420760078.54996,94.35561179127303,0,0,12,1,"NoCut,Full",1,0.0,207.42076007854996
Argentina,prm15_wcost_re19_c2p1_tn,10900357862.062332,23437869738.63077,0.0,20.08363544610784,930856551.7403818,1682695804.525,573.1974602454447,55352719598.541336,34.33822760069311,0,0,19,1,"NoCut,Full",1,0.4654282758701909,54.887291322671146
Brazil,prm15_wcost_re11_c2p1_tn,29356216781.44677,54433607685.13284,1.7244019545606603e-08,118.24695605288974,0.0,7114586509.525,565.7444314004092,202036780519.46933,83.7898244665796,0,0,11,1,"NoCut,Full",1,0.0,202.03678051946935
Chile,prm15_wcost_re10_c2p1_tn,3685836934.898895,10230724392.77945,67461.29058042601,12.57378839118499,0.0,878433556.575,252.37866536914584,26490417180.153915,13.916628788968923,0,0,10,0,"NoCut,Full",0,0.0,26.49041718015392
Brazil,prm15_wcost_re2_c2p1_tn,29462721618.49904,54997519803.84901,0.0,118.63369925575846,0.0,7114586509.525,574.2492313351695,203093940678.1065,84.46024142234805,0,0,2,0,"NoCut,Full",0,0.0,203.0939406781065
Argentina,prm15_wcost_re1_c2p1_tn,9832477541.4999,19698396460.25732,0.0,24.25265906943471,0.0,1682695804.525,481.4707342421991,53783533071.191925,29.53087400175722,0,0,1,0,"NoCut,Full",0,0.0,53.783533071191926
Brazil,prm15_wcost_re9_c2p1_tn,29940839188.75119,58554935071.47504,0.0,116.64781207293004,0.0,7114586509.525,619.9829642487209,205143586333.15628,88.49577426022623,0,0,9,0,"NoCut,Full",0,0.0,205.1435863331563
Argentina,prm15_wcost_re20_c2p1_tn,9513882652.518784,18727410080.24395,0.0,24.71739989839139,739943.227670057,1682695804.525,458.1890725739108,52959432574.38179,28.241292732762734,0,0,20,1,"NoCut,Full",1,0.000369971613835,52.95906260276796
Brazil,prm15_wcost_re10_c2p1_tn,28234300393.38046,46515375569.28939,0.0,122.416332201398,0.0,7114586509.525,473.4679187312756,197166008164.06784,74.74967596266984,0,0,10,0,"NoCut,Full",0,0.0,197.16600816406785
Argentina,prm15_wcost_re2_c2p1_tn,10323959101.22279,21509886463.092278,0.0,20.956266113930397,321254591.76508534,1682695804.525,525.805632088869,53111366270.010544,31.833845564315062,0,0,2,0,"NoCut,Full",0,0.1606272958825426,52.950738974128
Brazil,prm15_wcost_re8_c2p1_tn,29936413132.17897,58511201093.43789,0.0,115.68267929520776,0.0,7114586509.525,619.3497646062058,204130293520.82465,88.44761422561685,0,0,8,0,"NoCut,Full",0,0.0,204.1302935208246
Brazil,prm15_wcost_re3_c2p1_tn,30098866379.860905,59806302193.73047,5.288165993986025e-08,114.63921257340397,0.0,7114586509.525,636.0901718759127,204544381146.9953,89.90516857359137,0,0,3,0,"NoCut,Full",0,0.0,204.5443811469953
Argentina,prm15_wcost_re9_c2p1_tn,10347354557.918789,21586350418.846783,0.0,21.962252867458183,675704016.8463187,1682695804.525,527.6818170069224,54571661861.07008,31.933704976765576,0,0,9,0,"NoCut,Full",0,0.3378520084231594,54.233809852646914
Argentina,prm15_wcost_re3_c2p1_tn,10356051701.690048,21637136302.13292,0.0,22.08577338073828,784075807.1855268,1682695804.525,528.9916261180982,54863037191.74678,31.99318800382297,0,0,3,0,"NoCut,Full",0,0.3920379035927634,54.47099928815401
Brazil,prm15_wcost_re17_c2p1_tn,29995140036.520054,58115187095.73561,0.0,119.20404971052598,0.0,7114586509.525,610.6219036767443,207314376842.7816,88.11032713225566,0,0,17,1,"NoCut,Full",1,0.0,207.31437684278168
Brazil,prm15_wcost_re7_c2p1_tn,29388220582.88392,54495973474.85667,0.0,118.69683436700277,0.0,7114586509.525,568.1544276690494,202581028424.74332,83.88419405774059,0,0,7,0,"NoCut,Full",0,0.0,202.58102842474332
Argentina,prm15_wcost_re4_c2p1_tn,10332104163.233692,21555372297.350758,0.0,21.052434600702764,541271134.4546425,1682695804.525,526.9821839489431,53481182195.74185,31.887476460584445,0,0,4,0,"NoCut,Full",0,0.2706355672273213,53.21054662851453
Brazil,prm15_wcost_re4_c2p1_tn,29743849686.82601,57044751966.89079,0.0,117.53382240686064,0.0,7114586509.525,600.5081965888056,204322424060.57748,86.78860165371681,0,0,4,0,"NoCut,Full",0,0.0,204.32242406057745
